npi,taxonomy_code,medicare_specialty_code,description,primary_flag
1609807122,341600000X,59,Ambulance Service Provider,0
1356334510,261Q00000X,70,Clinic or Group Practice,0
1467494526,208200000X,24,Plastic and Reconstructive Surgery,1
1679518401,363AS0400X,97,Physician Assistant,0
1376520148,207RH0003X,83,Hematology-Oncology,1
1679525521,207Q00000X,08,Family Practice,1
1881610004,207LC0200X,05,Anesthesiology,0
1235138009,207ND0900X,07,Dermatology,0
1184686560,225100000X,65,Physical Therapist in Private Practice,1
1154315083,2085U0001X,30,Diagnostic Radiology,0
1083696561,208D00000X,99,Undefined Physician type,0
1952367799,207QA0505X,08,Family Practice,0
1780603738,207X00000X,20,Orthopedic Surgery,1
1083611875,207RS0012X,C0,Sleep Medicine,0
1922004217,207X00000X,20,Orthopedic Surgery,0
1831160142,2085R0202X,30,Diagnostic Radiology,1
1538264478,332BC3200X,,Customized Equipment,0
1730145160,207R00000X,11,Internal Medicine,1
1023176765,332B00000X,87[3],All Other Suppliers,1
1467431536,208VP0014X,09,Interventional Pain Management,1
1225008949,207R00000X,11,Internal Medicine,1
1134104433,208100000X,25,Physical Medicine and Rehabilitation,0
1285681106,2085R0202X,30,Diagnostic Radiology,1
1124026182,207RP1001X,29,Pulmonary Disease,0
1811957939,207RH0002X,17,Hospice and Palliative Care,0
1245218882,207Q00000X,08,Family Practice,1
1629036009,2085R0202X,30,Diagnostic Radiology,1
1114903515,2085D0003X,30,Diagnostic Radiology,0
1316968761,207RH0003X,83,Hematology-Oncology,1
1982685384,282N00000X,A0[7],Hospital-General,1
1437202595,332BP3500X,,Parenteral & Enteral Nutrition,0
1053307959,2085N0904X,36,Nuclear Medicine,0
1639103864,3416L0300X,59,Ambulance Service Provider,0
1407896954,207RC0000X,11,Internal Medicine,0
1487608212,291U00000X,B4[14],Histocompatibility Laboratory,1
1457510687,207W00000X,18,Ophthalmology,0
1134120512,207RC0000X,11,Internal Medicine,1
1912093501,207R00000X,11,Internal Medicine,0
1467486530,207W00000X,18,Ophthalmology,1
1982605721,207RC0000X,11,Internal Medicine,1
1245225812,333600000X,A5,Pharmacy,1
1548262850,332B00000X,87[3],All Other Suppliers,1
1669565438,207R00000X,11,Internal Medicine,1
1194899310,208600000X,02,General Surgery,1
1073525861,207Q00000X,08,Family Practice,1
1992704324,207RC0000X,11,Internal Medicine,0
1003011404,207N00000X,07,Dermatology,1
1003011404,207ND0101X,D7,Micrographic Dermatologic Surgery,0
1790777936,207P00000X,93,Emergency Medicine,0
1366409674,2085R0202X,30,Diagnostic Radiology,1
1053325605,207R00000X,11,Internal Medicine,1
1992774061,207P00000X,93,Emergency Medicine,1
1568554707,363L00000X,50,Nurse Practitioner,1
1154314987,3416L0300X,59,Ambulance Service Provider,1
1386626828,2085R0202X,30,Diagnostic Radiology,1
1487657862,261QA1903X,49,Ambulatory Surgical Center,1
1063675171,2085R0202X,30,Diagnostic Radiology,1
1407833577,207RE0101X,46,Endocrinology,1
1306850904,208800000X,34,Urology,1
1497797088,315D00000X,B4[14],Rehabilitation Agency,0
1679660021,207R00000X,11,Internal Medicine,0
1992791487,2085P0229X,30,Diagnostic Radiology,0
1174513790,207RH0002X,17,Hospice and Palliative Care,1
1114903515,2085B0100X,,Body Imaging,0
1689995508,225100000X,65,Physical Therapist in Private Practice,1
1851368955,2084P0800X,86,Neuropsychiatry,1
1316906761,332BX2000X,B1,Oxygen supplier,0
1538295712,207Q00000X,08,Family Practice,1
1235164724,2085R0202X,30,Diagnostic Radiology,1
1043205552,207RP1001X,29,Pulmonary Disease,1
1316162332,207RC0000X,11,Internal Medicine,0
1528056066,3336L0003X,A5,Pharmacy,0
1427133685,291U00000X,B4[14],Histocompatibility Laboratory,1
1619951290,207RC0000X,11,Internal Medicine,0
1184665739,207RP1001X,29,Pulmonary Disease,0
1114903515,2085N0700X,13,Neurology,0
1376548065,207X00000X,20,Orthopedic Surgery,1
1417136029,213E00000X,48,Podiatry,0
1114970084,207R00000X,11,Internal Medicine,1
1487605168,282N00000X,A0[7],Hospital-General,1
1467431536,207LP2900X,05,Anesthesiology,0
1881740090,207W00000X,18,Ophthalmology,1
1932209129,207ZD0900X,22,Pathology,0
1245225812,332BX2000X,B1,Oxygen supplier,0
1548247182,207Q00000X,08,Family Practice,1
1902833346,2085R0202X,30,Diagnostic Radiology,1
1952347981,291U00000X,B4[14],Histocompatibility Laboratory,0
1184669640,207L00000X,79,Addiction Medicine,1
1821015462,282N00000X,A0[7],Hospital-General,1
1326299017,363LA2200X,50,Nurse Practitioner,1
1831185651,208600000X,02,General Surgery,1
1700889227,332BC3200X,,Customized Equipment,0
1538258744,207R00000X,11,Internal Medicine,1
1255328621,282NR1301X,A0[7],Hospitals,1
1184625220,207RS0012X,C0,Sleep Medicine,1
1770572224,152W00000X,41,Optometry,1
1528142197,207XS0114X,20,Orthopedic Surgery,1
1841261567,332B00000X,87[3],All Other Suppliers,0
1497740641,207R00000X,11,Internal Medicine,1
1003895236,207RP1001X,29,Pulmonary Disease,1
1659358943,207Q00000X,08,Family Practice,1
1669422630,2085R0202X,30,Diagnostic Radiology,1
1891770657,207L00000X,79,Addiction Medicine,1
1710944939,207RI0011X,C3,Interventional Cardiology,1
1992754097,2085R0202X,30,Diagnostic Radiology,1
1649235151,207RP1001X,29,Pulmonary Disease,0
1922001767,207Q00000X,08,Family Practice,1
1366411647,207RC0200X,81,Critical Care,1
1083650733,2085R0202X,30,Diagnostic Radiology,1
1669554739,207RN0300X,39,Nephrology,1
1518039536,225200000X,,Physical Therapy Assistant,0
1174728794,207R00000X,11,Internal Medicine,1
1588691125,207KA0200X,03,Allergy/Immunology,0
1871573956,2085R0204X,94,Interventional Radiology,1
1811957939,2084P0805X,86,Neuropsychiatry,0
1104827625,207Q00000X,08,Family Practice,1
1255355178,207ZP0101X,22,Pathology,1
1548266943,225100000X,65,Physical Therapist in Private Practice,1
1154314987,341600000X,59,Ambulance Service Provider,0
1518996255,207RG0300X,38,Geriatric Medicine,1
1568453942,207RH0003X,83,Hematology-Oncology,1
1144223330,341600000X,59,Ambulance Service Provider,0
1114965332,2086S0129X,77,Vascular Surgery,1
1972587491,207W00000X,18,Ophthalmology,1
1356317747,2085P0229X,30,Diagnostic Radiology,0
1245214410,207WX0107X,,Retina Specialist,1
1891704326,207RP1001X,29,Pulmonary Disease,0
1134104672,282N00000X,A0[7],Hospital-General,1
1801865530,225X00000X,67,Occupational Therapist in Private Practice,1
1417051491,3336C0003X,A5,Pharmacy,0
1376529347,207RC0000X,11,Internal Medicine,1
1093750028,207RP1001X,29,Pulmonary Disease,1
1154383826,207RC0000X,11,Internal Medicine,1
1730135955,207RN0300X,39,Nephrology,1
1164649588,207L00000X,79,Addiction Medicine,1
1548214224,2085N0904X,36,Nuclear Medicine,0
1881975357,213ES0103X,48,Podiatry,1
1497797088,343900000X,,Non-emergency Medical Transport,0
1851370837,207RC0200X,81,Critical Care,0
1609008200,231H00000X,64,Audiologist,1
1245217975,207Q00000X,08,Family Practice,1
1962403071,207W00000X,18,Ophthalmology,1
1376572842,207R00000X,11,Internal Medicine,1
1427029578,2085R0202X,30,Diagnostic Radiology,0
1346210903,207RC0000X,11,Internal Medicine,1
1912912056,3336C0003X,A5,Pharmacy,0
1568470656,332B00000X,87[3],All Other Suppliers,1
1487628236,207XS0106X,40,Hand Surgery,1
1063404150,207Q00000X,08,Family Practice,1
1366635484,207P00000X,93,Emergency Medicine,1
1013952050,207Q00000X,08,Family Practice,1
1932184322,291U00000X,B4[14],Histocompatibility Laboratory,1
1114928140,2085R0202X,30,Diagnostic Radiology,1
1265412910,174400000X,,Specialist,0
1134190275,2085R0202X,30,Diagnostic Radiology,1
1154686467,363LF0000X,50,Nurse Practitioner,1
1114081270,333600000X,A5,Pharmacy,1
1992770556,163W00000X,,Registered Nurse,0
1669441531,207Q00000X,08,Family Practice,1
1679553366,335E00000X,53,Medical Supply Company with Orthotist-Prosthetist,0
1770781726,2085U0001X,30,Diagnostic Radiology,0
1881686558,207W00000X,18,Ophthalmology,0
1891743571,341600000X,59,Ambulance Service Provider,1
1184653701,111N00000X,35,Chiropractic,1
1952397085,207R00000X,11,Internal Medicine,1
1174513311,3416L0300X,59,Ambulance Service Provider,1
1306887260,341600000X,59,Ambulance Service Provider,1
1447253380,208C00000X,28,Colorectal Surgery,1
1487697546,207R00000X,11,Internal Medicine,1
1508892688,163WD0400X,,Diabetes Educator,0
1427074459,207R00000X,11,Internal Medicine,1
1245225812,3336C0004X,A5,Pharmacy,0
1083668669,282N00000X,A0[7],Hospital-General,1
1093751133,207X00000X,20,Orthopedic Surgery,0
1578510764,3416L0300X,59,Ambulance Service Provider,1
1063479939,2084P0800X,86,Neuropsychiatry,1
1174517775,207RC0000X,11,Internal Medicine,0
1538105366,291U00000X,B4[14],Histocompatibility Laboratory,1
1427053891,2085R0202X,30,Diagnostic Radiology,1
1114985520,207QA0401X,79,Addiction Medicine,0
1093750028,207RC0200X,81,Critical Care,0
1063485720,111N00000X,35,Chiropractic,1
1770597528,2085R0202X,30,Diagnostic Radiology,1
1356328314,2085R0202X,30,Diagnostic Radiology,1
1811977010,332BX2000X,B1,Oxygen supplier,0
1184688624,207Q00000X,08,Family Practice,1
1801974225,207Q00000X,08,Family Practice,1
1205232022,332BX2000X,B1,Oxygen supplier,1
1629056890,282N00000X,A0[7],Hospital-General,1
1891704326,207R00000X,11,Internal Medicine,1
1922004217,207XX0005X,23,Sports Medicine,1
1952391849,208M00000X,C6,Hospitalist,0
1487917571,207Q00000X,08,Family Practice,1
1184686446,207Q00000X,08,Family Practice,1
1487623906,207UN0901X,36,Nuclear Medicine,0
1114903515,207U00000X,36,Nuclear Medicine,0
1881745917,207NS0135X,07,Dermatology,0
1477537082,225100000X,65,Physical Therapist in Private Practice,1
1770781726,2085R0202X,30,Diagnostic Radiology,1
1861498529,332B00000X,87[3],All Other Suppliers,1
1013900323,207RC0000X,11,Internal Medicine,1
1053323493,207RC0000X,11,Internal Medicine,0
1710120365,390200000X,,Student in an Organized Health Care Education/Training Program,0
1831191584,207R00000X,11,Internal Medicine,0
1184678096,111N00000X,35,Chiropractic,1
1295002806,261QA1903X,49,Ambulatory Surgical Center,1
1679545008,207LC0200X,05,Anesthesiology,1
1750376869,2084P0800X,86,Neuropsychiatry,1
1881610004,207RP1001X,29,Pulmonary Disease,1
1720317480,332B00000X,87[3],All Other Suppliers,1
1417953654,207WX0107X,,Retina Specialist,1
1952367799,207QG0300X,38,Geriatric Medicine,0
1720064207,2086S0129X,77,Vascular Surgery,1
1396793006,2085R0202X,30,Diagnostic Radiology,1
1629056890,273Y00000X,A0[7],Hospital-Rehabilitation Unit,0
1023090057,207RC0000X,11,Internal Medicine,1
1962445841,207V00000X,16,Obstetrics & Gynecology,0
1538165774,2085R0202X,30,Diagnostic Radiology,1
1407820194,207W00000X,18,Ophthalmology,1
1871764977,207RG0300X,38,Geriatric Medicine,1
1780815027,2085R0202X,30,Diagnostic Radiology,1
1538133301,207RC0000X,11,Internal Medicine,1
1417271198,208800000X,34,Urology,1
1568535037,333600000X,A5,Pharmacy,0
1306841952,207RE0101X,46,Endocrinology,1
1306883525,2085N0904X,36,Nuclear Medicine,0
1760437941,207R00000X,11,Internal Medicine,1
1376548065,207XX0004X,20,Orthopedic Surgery,0
1356340475,2085R0202X,30,Diagnostic Radiology,1
1669840666,332BX2000X,B1,Oxygen supplier,1
1497797088,282N00000X,A0[7],Hospital-General,1
1275512931,208VP0000X,72,Pain Management,0
1497737365,2085R0202X,30,Diagnostic Radiology,1
1982732228,2085R0202X,30,Diagnostic Radiology,1
1770781726,2085N0904X,36,Nuclear Medicine,0
1134111727,207RC0000X,11,Internal Medicine,1
1265418669,291U00000X,B4[14],Histocompatibility Laboratory,1
1558302687,363L00000X,50,Nurse Practitioner,1
1083692115,207Q00000X,08,Family Practice,1
1518958388,207RC0000X,11,Internal Medicine,0
1265662928,208M00000X,C6,Hospitalist,0
1356367171,207RC0200X,81,Critical Care,0
1649220765,207R00000X,11,Internal Medicine,0
1619951290,207RI0011X,C3,Interventional Cardiology,1
1205815529,207R00000X,11,Internal Medicine,0
1114951431,207P00000X,93,Emergency Medicine,0
1366496937,282N00000X,A0[7],Hospital-General,1
1356317747,2085U0001X,30,Diagnostic Radiology,0
1144380593,261QA1903X,49,Ambulatory Surgical Center,1
1710915756,282N00000X,A0[7],Hospital-General,1
1952309957,207RP1001X,29,Pulmonary Disease,1
1194816272,207RP1001X,29,Pulmonary Disease,1
1295827780,332B00000X,87[3],All Other Suppliers,1
1992956494,2085R0202X,30,Diagnostic Radiology,1
1124109970,2085R0202X,30,Diagnostic Radiology,1
1801878186,207R00000X,11,Internal Medicine,1
1154326387,207R00000X,11,Internal Medicine,1
1801995642,2084P0800X,86,Neuropsychiatry,1
1861498529,3336H0001X,A5,Pharmacy,0
1598727679,2085R0202X,30,Diagnostic Radiology,1
1780691303,363L00000X,50,Nurse Practitioner,1
1538146907,2084N0400X,86,Neuropsychiatry,1
1891796983,207RP1001X,29,Pulmonary Disease,1
1538167143,207W00000X,18,Ophthalmology,1
1679553366,332BX2000X,B1,Oxygen supplier,0
1790777688,207P00000X,93,Emergency Medicine,1
1851361125,152W00000X,41,Optometry,1
1407946916,2085R0202X,30,Diagnostic Radiology,1
1356334510,282NR1301X,A0[7],Hospitals,1
1710905245,332BX2000X,B1,Oxygen supplier,1
1437123346,367500000X,43,Certified Registered Nurse Anesthetist,1
1104052752,261Q00000X,70,Clinic or Group Practice,1
1114985520,208VP0014X,09,Interventional Pain Management,1
1598792830,207RC0000X,11,Internal Medicine,1
1427011493,207RC0000X,11,Internal Medicine,1
1477598597,2085R0204X,94,Interventional Radiology,0
1528056066,261QH0700X,,Hearing and Speech,0
1881662062,207RC0200X,81,Critical Care,0
1043213689,207R00000X,11,Internal Medicine,0
1851361778,207RC0200X,81,Critical Care,0
1811957939,2084H0002X,86,Neuropsychiatry,0
1265412910,207R00000X,11,Internal Medicine,1
1689642282,207Q00000X,08,Family Practice,1
1174517056,207Q00000X,08,Family Practice,1
1427154780,341600000X,59,Ambulance Service Provider,1
1578963906,363AS0400X,97,Physician Assistant,1
1881610004,207R00000X,11,Internal Medicine,0
1043205552,207RC0200X,81,Critical Care,0
1992765986,261QA1903X,49,Ambulatory Surgical Center,1
1548469372,2085R0202X,30,Diagnostic Radiology,1
1366552531,2085R0202X,30,Diagnostic Radiology,1
1992865323,332B00000X,87[3],All Other Suppliers,1
1124026182,207RN0300X,39,Nephrology,0
1497742084,207NS0135X,07,Dermatology,0
1568751600,207L00000X,79,Addiction Medicine,1
1346537859,213EP1101X,48,Podiatry,0
1487628236,207X00000X,20,Orthopedic Surgery,0
1104816941,213E00000X,48,Podiatry,1
1700818416,208600000X,02,General Surgery,1
1093763567,207RC0000X,11,Internal Medicine,1
1588614572,207RI0011X,C3,Interventional Cardiology,1
1902896103,208800000X,34,Urology,1
1720089170,207R00000X,11,Internal Medicine,1
1710947734,207Q00000X,08,Family Practice,1
1235197781,207RS0012X,C0,Sleep Medicine,0
1114980901,207RC0000X,11,Internal Medicine,1
1427182013,2084P0800X,86,Neuropsychiatry,1
1265818488,261QR0400X,B4[14],Rehabilitation Agency,0
1871524439,207RI0011X,C3,Interventional Cardiology,0
1114949963,207R00000X,11,Internal Medicine,1
1407882129,152W00000X,41,Optometry,1
1417925926,207Q00000X,08,Family Practice,1
1508865619,207Q00000X,08,Family Practice,1
1184614240,207Q00000X,08,Family Practice,1
1790770477,207X00000X,20,Orthopedic Surgery,1
1386610665,207Q00000X,08,Family Practice,1
1356639801,341600000X,59,Ambulance Service Provider,0
1588665939,207W00000X,18,Ophthalmology,1
1497708416,207RC0000X,11,Internal Medicine,1
1811957939,2084P0015X,86,Neuropsychiatry,0
1437202595,332BX2000X,B1,Oxygen supplier,0
1952347981,261QA1903X,49,Ambulatory Surgical Center,0
1184665739,207P00000X,93,Emergency Medicine,1
1114903515,2085R0204X,94,Interventional Radiology,0
1053307959,2085R0202X,30,Diagnostic Radiology,1
1215997929,261QA1903X,49,Ambulatory Surgical Center,1
1588625743,207RC0000X,11,Internal Medicine,1
1174517775,207RC0001X,21,Clinical Cardiac Electrophysiology,1
1366443640,207RS0012X,C0,Sleep Medicine,0
1225476997,332BX2000X,B1,Oxygen supplier,0
1003077934,207RP1001X,29,Pulmonary Disease,1
1356367171,207RP1001X,29,Pulmonary Disease,1
1346290996,335E00000X,53,Medical Supply Company with Orthotist-Prosthetist,0
1275512931,208100000X,25,Physical Medicine and Rehabilitation,1
1578544987,2085R0202X,30,Diagnostic Radiology,1
1518279660,2085R0202X,30,Diagnostic Radiology,1
1578569141,2085R0204X,94,Interventional Radiology,0
1770781726,2085B0100X,,Body Imaging,0
1114985520,207L00000X,79,Addiction Medicine,0
1295807006,207RP1001X,29,Pulmonary Disease,1
1710970637,207RC0000X,11,Internal Medicine,1
1700874054,207Q00000X,08,Family Practice,1
1770569436,207ZD0900X,22,Pathology,1
1417136029,213EP1101X,48,Podiatry,1
1952392110,207RP1001X,29,Pulmonary Disease,1
1437128469,207Q00000X,08,Family Practice,1
1376532283,207RC0000X,11,Internal Medicine,1
1881627503,3416L0300X,59,Ambulance Service Provider,0
1306883525,2085B0100X,,Body Imaging,0
1407896954,207RI0011X,C3,Interventional Cardiology,1
1992774061,207PE0005X,D4,Undersea and Hyperbaric Medicine,0
1073553699,207P00000X,93,Emergency Medicine,1
1427053826,207W00000X,18,Ophthalmology,1
1861463416,207X00000X,20,Orthopedic Surgery,1
1578768131,390200000X,,Student in an Organized Health Care Education/Training Program,0
1346537859,213ES0000X,48,Podiatry,0
1396734117,213ES0103X,48,Podiatry,1
1518958388,207RC0001X,21,Clinical Cardiac Electrophysiology,1
1619922879,208800000X,34,Urology,1
1437152808,207R00000X,11,Internal Medicine,1
1114977246,363LA2200X,50,Nurse Practitioner,1
1447227657,207Q00000X,08,Family Practice,1
1952393639,207Q00000X,08,Family Practice,1
1952397085,207RP1001X,29,Pulmonary Disease,0
1316906761,332BP3500X,,Parenteral & Enteral Nutrition,0
1316062482,207Q00000X,08,Family Practice,1
1508864505,207Q00000X,08,Family Practice,1
1295755023,261QA1903X,49,Ambulatory Surgical Center,1
1306862164,363A00000X,97,Physician Assistant,1
1043270564,261QM2500X,,Medical Specialty,0
1952336000,207RG0300X,38,Geriatric Medicine,1
1922005792,207RN0300X,39,Nephrology,1
1356360192,2085B0100X,,Body Imaging,0
1861447179,261QR0400X,B4[14],Rehabilitation Agency,0
1922005354,207X00000X,20,Orthopedic Surgery,1
1447225149,208600000X,02,General Surgery,1
1396794046,173000000X,,Legal Medicine,0
1295827780,333600000X,A5,Pharmacy,0
1750541827,207P00000X,93,Emergency Medicine,0
1407814791,207R00000X,11,Internal Medicine,1
1578569141,2085U0001X,30,Diagnostic Radiology,0
1972821825,207R00000X,11,Internal Medicine,0
1205882610,332B00000X,87[3],All Other Suppliers,1
1285730242,332B00000X,87[3],All Other Suppliers,1
1376545079,207XX0801X,20,Orthopedic Surgery,0
1922376136,282N00000X,A0[7],Hospital-General,1
1548266943,2251X0800X,65,Physical Therapist in Private Practice,0
1578561452,225100000X,65,Physical Therapist in Private Practice,1
1366635484,207Q00000X,08,Family Practice,0
1578569885,282N00000X,A0[7],Hospital-General,1
1053323493,207RC0001X,21,Clinical Cardiac Electrophysiology,1
1114991155,225400000X,,Rehabilitation Practitioner,1
1992791487,2085U0001X,30,Diagnostic Radiology,0
1154382513,207Q00000X,08,Family Practice,1
1184694978,207Q00000X,08,Family Practice,1
1841240835,207RC0000X,11,Internal Medicine,0
1235138009,207NS0135X,07,Dermatology,0
1821019092,261QI0500X,,Infusion Therapy,0
1164649588,207RG0100X,11,Internal Medicine,0
1962698589,367H00000X,32,Anesthesiology Assistant,1
1841295342,213ES0103X,48,Podiatry,1
1225063324,207RC0000X,11,Internal Medicine,1
1366423048,2084N0400X,86,Neuropsychiatry,1
1447672779,282N00000X,A0[7],Hospital-General,1
1689086597,111N00000X,35,Chiropractic,1
1750346755,207R00000X,11,Internal Medicine,0
1700998697,282N00000X,A0[7],Hospital-General,1
1679518401,363A00000X,97,Physician Assistant,1
1750541827,207R00000X,11,Internal Medicine,0
1427012574,207RC0000X,11,Internal Medicine,0
1093791352,207W00000X,18,Ophthalmology,1
1154342327,3416L0300X,59,Ambulance Service Provider,1
1356317747,2085B0100X,,Body Imaging,0
1649220765,207RN0300X,39,Nephrology,1
1881667905,174400000X,,Specialist,1
1912991845,174400000X,,Specialist,0
1518960749,146N00000X,,Emergency Medical Technician/Basic,0
1184657926,207P00000X,93,Emergency Medicine,1
1922084904,207ZP0105X,22,Pathology,1
1912912056,332B00000X,87[3],All Other Suppliers,0
1679557375,207RI0011X,C3,Interventional Cardiology,1
1740220987,237600000X,,Audiologist-Hearing Aid Fitter,1
1104986983,332BC3200X,,Customized Equipment,0
1710054267,207Q00000X,08,Family Practice,1
1922019702,207RP1001X,29,Pulmonary Disease,1
1235129214,282NR1301X,A0[7],Hospitals,1
1326094707,111N00000X,35,Chiropractic,1
1437155082,152WL0500X,41,Optometry,0
1891741013,207RC0000X,11,Internal Medicine,1
1427054295,363L00000X,50,Nurse Practitioner,1
1043220650,282N00000X,A0[7],Hospital-General,1
1922124502,2085R0202X,30,Diagnostic Radiology,1
1720032311,2084N0400X,86,Neuropsychiatry,1
1558318964,2085R0202X,30,Diagnostic Radiology,1
1598979668,207RC0000X,11,Internal Medicine,0
1528054749,207RC0000X,11,Internal Medicine,1
1225063324,207UN0901X,36,Nuclear Medicine,0
1396771192,207X00000X,20,Orthopedic Surgery,1
1316959687,207Q00000X,08,Family Practice,1
1083633473,208800000X,34,Urology,1
1972674109,332B00000X,87[3],All Other Suppliers,1
1497707053,207RC0000X,11,Internal Medicine,1
1144416710,2085R0202X,30,Diagnostic Radiology,1
1083611875,207RP1001X,29,Pulmonary Disease,1
1487604088,2085R0202X,30,Diagnostic Radiology,1
1063573764,207RC0000X,11,Internal Medicine,0
1518910660,207R00000X,11,Internal Medicine,1
1659360220,275N00000X,A0[7],Hospital-Swing Bed Approved,0
1245213347,207RH0003X,83,Hematology-Oncology,1
1710944939,208000000X,37,Pediatric Medicine,0
1144255159,282N00000X,A0[7],Hospital-General,1
1588780134,2085R0202X,30,Diagnostic Radiology,1
1295767804,208800000X,34,Urology,1
1346347374,332B00000X,87[3],All Other Suppliers,1
1588667067,207W00000X,18,Ophthalmology,1
1265433437,363LF0000X,50,Nurse Practitioner,1
1679560502,3416L0300X,59,Ambulance Service Provider,1
1487612404,207Q00000X,08,Family Practice,1
1316000706,282N00000X,A0[7],Hospital-General,1
1710910807,207R00000X,11,Internal Medicine,1
1275598526,207W00000X,18,Ophthalmology,1
1144223330,3416A0800X,59,Ambulance Service Provider,0
1467549105,363AS0400X,97,Physician Assistant,1
1215934674,207RH0003X,83,Hematology-Oncology,1
1629056890,273R00000X,A0[7],Hospital-Psychiatric Unit,0
1518992585,207R00000X,11,Internal Medicine,1
1043271539,291U00000X,B4[14],Histocompatibility Laboratory,1
1063468809,207R00000X,11,Internal Medicine,1
1821060641,291U00000X,B4[14],Histocompatibility Laboratory,1
1851369920,208800000X,34,Urology,1
1528325255,341600000X,59,Ambulance Service Provider,1
1588691125,207K00000X,03,Allergy/Immunology,0
1124029160,207R00000X,11,Internal Medicine,1
1780680355,207R00000X,11,Internal Medicine,0
1124026182,207RG0100X,11,Internal Medicine,0
1073588620,207X00000X,20,Orthopedic Surgery,1
1992791487,2085N0700X,13,Neurology,0
1649377813,207R00000X,11,Internal Medicine,1
1003077934,207RC0200X,81,Critical Care,0
1922019702,174400000X,,Specialist,0
1508864877,207RR0500X,66,Rheumatology,1
1275618399,363L00000X,50,Nurse Practitioner,1
1497742225,207RC0001X,21,Clinical Cardiac Electrophysiology,1
1679542518,2084N0400X,86,Neuropsychiatry,0
1164405007,207Q00000X,08,Family Practice,1
1235138009,207N00000X,07,Dermatology,1
1538323563,207ZP0102X,22,Pathology,1
1114903515,2085R0001X,92,Radiation Oncology,0
