concept_name,concept_oid,code,code_system
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305378002,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305379005,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305380008,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305382000,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305383005,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305384004,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305385003,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305386002,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305387006,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305388001,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305389009,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305390000,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305391001,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305392008,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305393003,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305394009,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305395005,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305396006,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305397002,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305399004,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305400006,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305401005,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305402003,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305403008,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305405001,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305406000,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305407009,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305408004,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305409007,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305410002,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305411003,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305412005,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305413000,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305414006,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305415007,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305416008,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305417004,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305418009,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305419001,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305420007,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305421006,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305422004,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305423009,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305424003,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305425002,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305426001,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305427005,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305428000,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305429008,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305430003,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305431004,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305432006,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305433001,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305434007,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305435008,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,306732000,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,306803007,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,306967009,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,308251003,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,308252005,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,308253000,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,310361003,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,3241000175106,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,32485007,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,373113001,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,397769005,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,398162007,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,405614004,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,417005,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,432621000124105,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,442281000124108,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,447941000124106,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,448421000124105,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,448431000124108,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,448441000124103,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,448851000124103,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,4563007,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,45702004,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,47348005,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,48183000,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,50699000,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,51032003,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,51501005,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,5161006,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,52748007,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,60059000,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,63551005,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,699124006,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,70755000,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,71290004,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,73607007,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,74857009,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,76193006,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,76464004,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,78680009,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,81672003,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,82942009,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,8715000,snomed-ct
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,99221,hcpcs
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,99222,hcpcs
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,99223,hcpcs
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,99231,hcpcs
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,99232,hcpcs
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,99233,hcpcs
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,99234,hcpcs
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,99235,hcpcs
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,99236,hcpcs
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,99238,hcpcs
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,99239,hcpcs
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,99252,hcpcs
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,99253,hcpcs
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,99254,hcpcs
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,99255,hcpcs
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,99291,hcpcs
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,100721000119109,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,100731000119107,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,10091002,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1010333003,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1010334009,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1010616001,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,101281000119107,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,101421000119107,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1017196003,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1017197007,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,10335000,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,10349009,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,103511000119103,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,103611000119102,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,104981000119104,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,105041000119109,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,105051000119106,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,10532003,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,105421000119105,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,106021000119105,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,10633002,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,10672271000119100,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,10676831000119101,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,107571000119101,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,107581000119103,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,10762071000119109,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,107811000119106,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,107831000119101,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1079531000119106,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1079541000119102,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,108101000119101,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,108131000119108,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,108201000119105,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,108211000119108,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1082601000112109,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,109819003,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,109848009,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,109912006,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,111283005,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,111411000119103,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1141626005,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,11471000224106,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1148551007,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1148924004,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1155991005,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1156413005,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1156414004,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1156415003,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1156416002,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1156417006,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1156455001,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1156456000,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1156460002,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1156461003,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1156469001,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1156471001,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1156472008,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1156789004,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1156798001,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1156800008,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1156822001,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1157060001,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1163119007,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1163147006,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,116811000119106,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,116821000119104,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,11717361000119108,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1177007001,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1177062005,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1179377000,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1186612004,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1186724002,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1186728004,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1186735007,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1186869002,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1186877003,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1186879000,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1186880002,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1186881003,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1186883000,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1186887004,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1187004001,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1187126002,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1187285005,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1187519007,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1187521002,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,120851000119104,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,120861000119102,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,120871000119108,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,120881000119106,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,120891000119109,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,120901000119108,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,12241031000119108,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,12241071000119106,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,12246481000119106,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,12246561000119101,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,12246601000119101,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,12246641000119104,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,12348006,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,123604002,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,123606000,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,12368000,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,123716002,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,123717006,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,127991000119101,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,128001000119105,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,128462008,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,128465005,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,130121000119104,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,13274008,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,13351431000119102,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,135091000119106,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,13839000,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,14070001,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,141991000119109,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,142001000119106,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,142011000119109,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,143401000119106,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,145501000119108,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,145511000119106,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,14700006,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,153891000119101,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,153931000119109,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,153941000119100,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,153951000119103,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,15629541000119106,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,15629591000119103,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,15629641000119107,snomed-ct
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,15629741000119102,snomed-ct
