oid,valuesetname,expansionversion,code,descriptor,codesystemname,codesystemversion,codesystemoid,purpose
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,183489008,Non-urgent psychiatric admission (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,183491000,Non-urgent geriatric admission (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,183492007,Non-urgent pediatric admission (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,183493002,Non-urgent gynecological admission (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,183494008,Non-urgent obstetric admission (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,183495009,Non-urgent orthopedic admission (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,183496005,"Non-urgent ear, nose and throat admission (procedure)",SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,183497001,Non-urgent trauma admission (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,183498006,Non-urgent ophthalmological admission (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,183499003,Non-urgent rheumatology admission (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,183500007,Non-urgent dermatology admission (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,183501006,Non-urgent neurology admission (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,183502004,Non-urgent urology admission (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,183503009,Non-urgent radiotherapy admission (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,183504003,Non-urgent hematology admission (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,183505002,Non-urgent plastic surgery admission (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,183506001,Non-urgent diabetic admission (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,183507005,Non-urgent respiratory admission (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,183508000,Non-urgent psychogeriatric admission (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,183509008,Non-urgent renal medicine admission (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,183510003,Non-urgent neurosurgical admission (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,183511004,Non-urgent cardiothoracic admission (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,183512006,Non-urgent oral surgical admission (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,19951005,"Hospital admission, emergency, from emergency room, medical nature (procedure)",SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,2252009,"Hospital admission, urgent, 48 hours (procedure)",SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,235313004,Non-emergency appendectomy (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,25986004,"Hospital admission, under police custody (procedure)",SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,287927002,Dilatation and curettage: routine (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,304566005,Admission for treatment (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,305337004,Admission to community hospital (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,305338009,Admission to general practice hospital (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,305339001,Admission to private hospital (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,305341000,Admission to tertiary referral hospital (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,305342007,Admission to ward (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,305350003,Admission to anesthetic department (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,305354007,Admission to medical department (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,305355008,Admission to clinical allergy department (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,305356009,Admission to audiology department (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,305357000,Admission to cardiology department (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,305358005,Admission to chest medicine department (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,305359002,Admission to thoracic medicine department (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,305360007,Admission to respiratory medicine department (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,305361006,Admission to clinical immunology department (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
2.16.840.1.113883.3.464.1003.101.12.1083,Acute Inpatient,eCQM Update 2022-05-05,305362004,Admission to clinical neurophysiology department (procedure),SNOMEDCT,2021-09,2.16.840.1.113883.6.96,"(Clinical Focus: The purpose of this value set is to represent concepts for encounters for acute inpatient visits.),(Data Element Scope: This value set may use a model element related to Encounter.),(Inclusion Criteria: Includes concepts that represent an encounter for comprehensive history, evaluation, and management of a patient in an acute inpatient setting.),(Exclusion Criteria: Excludes concepts that represent encounters other than an acute inpatient visit.)"
