code,value_set_name,pqi_number
02104AC,cardiac_procedure_codes,appendix_b
02104AF,cardiac_procedure_codes,appendix_b
02104AW,cardiac_procedure_codes,appendix_b
02104D4,cardiac_procedure_codes,appendix_b
02104J3,cardiac_procedure_codes,appendix_b
02104J8,cardiac_procedure_codes,appendix_b
02104J9,cardiac_procedure_codes,appendix_b
02104JC,cardiac_procedure_codes,appendix_b
02104JF,cardiac_procedure_codes,appendix_b
02104JW,cardiac_procedure_codes,appendix_b
02104K3,cardiac_procedure_codes,appendix_b
02104K8,cardiac_procedure_codes,appendix_b
02104K9,cardiac_procedure_codes,appendix_b
02104KC,cardiac_procedure_codes,appendix_b
02104KF,cardiac_procedure_codes,appendix_b
02104KW,cardiac_procedure_codes,appendix_b
02104Z3,cardiac_procedure_codes,appendix_b
02104Z8,cardiac_procedure_codes,appendix_b
02104Z9,cardiac_procedure_codes,appendix_b
02104ZC,cardiac_procedure_codes,appendix_b
02104ZF,cardiac_procedure_codes,appendix_b
0211083,cardiac_procedure_codes,appendix_b
0211088,cardiac_procedure_codes,appendix_b
0211089,cardiac_procedure_codes,appendix_b
021108C,cardiac_procedure_codes,appendix_b
021108F,cardiac_procedure_codes,appendix_b
021108W,cardiac_procedure_codes,appendix_b
0211093,cardiac_procedure_codes,appendix_b
0211098,cardiac_procedure_codes,appendix_b
0211099,cardiac_procedure_codes,appendix_b
021109C,cardiac_procedure_codes,appendix_b
021109F,cardiac_procedure_codes,appendix_b
021109W,cardiac_procedure_codes,appendix_b
02110A3,cardiac_procedure_codes,appendix_b
02110A8,cardiac_procedure_codes,appendix_b
02110A9,cardiac_procedure_codes,appendix_b
02110AC,cardiac_procedure_codes,appendix_b
02110AF,cardiac_procedure_codes,appendix_b
02110AW,cardiac_procedure_codes,appendix_b
02110J3,cardiac_procedure_codes,appendix_b
02110J8,cardiac_procedure_codes,appendix_b
02110J9,cardiac_procedure_codes,appendix_b
02110JC,cardiac_procedure_codes,appendix_b
02110JF,cardiac_procedure_codes,appendix_b
02110JW,cardiac_procedure_codes,appendix_b
02110K3,cardiac_procedure_codes,appendix_b
02110K8,cardiac_procedure_codes,appendix_b
02110K9,cardiac_procedure_codes,appendix_b
02110KC,cardiac_procedure_codes,appendix_b
02110KF,cardiac_procedure_codes,appendix_b
02110KW,cardiac_procedure_codes,appendix_b
02110Z3,cardiac_procedure_codes,appendix_b
02110Z8,cardiac_procedure_codes,appendix_b
02110Z9,cardiac_procedure_codes,appendix_b
02110ZC,cardiac_procedure_codes,appendix_b
02110ZF,cardiac_procedure_codes,appendix_b
0211344,cardiac_procedure_codes,appendix_b
02113D4,cardiac_procedure_codes,appendix_b
0211444,cardiac_procedure_codes,appendix_b
0211483,cardiac_procedure_codes,appendix_b
0211488,cardiac_procedure_codes,appendix_b
0211489,cardiac_procedure_codes,appendix_b
021148C,cardiac_procedure_codes,appendix_b
021148F,cardiac_procedure_codes,appendix_b
021148W,cardiac_procedure_codes,appendix_b
0211493,cardiac_procedure_codes,appendix_b
0211498,cardiac_procedure_codes,appendix_b
0211499,cardiac_procedure_codes,appendix_b
021149C,cardiac_procedure_codes,appendix_b
021149F,cardiac_procedure_codes,appendix_b
021149W,cardiac_procedure_codes,appendix_b
02114A3,cardiac_procedure_codes,appendix_b
02114A8,cardiac_procedure_codes,appendix_b
02114A9,cardiac_procedure_codes,appendix_b
02114AC,cardiac_procedure_codes,appendix_b
02114AF,cardiac_procedure_codes,appendix_b
02114AW,cardiac_procedure_codes,appendix_b
02114D4,cardiac_procedure_codes,appendix_b
02114J3,cardiac_procedure_codes,appendix_b
02114J8,cardiac_procedure_codes,appendix_b
02114J9,cardiac_procedure_codes,appendix_b
02114JC,cardiac_procedure_codes,appendix_b
02114JF,cardiac_procedure_codes,appendix_b
02114JW,cardiac_procedure_codes,appendix_b
02114K3,cardiac_procedure_codes,appendix_b
02114K8,cardiac_procedure_codes,appendix_b
02114K9,cardiac_procedure_codes,appendix_b
02114KC,cardiac_procedure_codes,appendix_b
02114KF,cardiac_procedure_codes,appendix_b
02114KW,cardiac_procedure_codes,appendix_b
02114Z3,cardiac_procedure_codes,appendix_b
02114Z8,cardiac_procedure_codes,appendix_b
02114Z9,cardiac_procedure_codes,appendix_b
02114ZC,cardiac_procedure_codes,appendix_b
02114ZF,cardiac_procedure_codes,appendix_b
0212083,cardiac_procedure_codes,appendix_b
0212088,cardiac_procedure_codes,appendix_b
0212089,cardiac_procedure_codes,appendix_b
021208C,cardiac_procedure_codes,appendix_b
021208F,cardiac_procedure_codes,appendix_b
021208W,cardiac_procedure_codes,appendix_b
0212093,cardiac_procedure_codes,appendix_b
0212098,cardiac_procedure_codes,appendix_b
0212099,cardiac_procedure_codes,appendix_b
021209C,cardiac_procedure_codes,appendix_b
021209F,cardiac_procedure_codes,appendix_b
021209W,cardiac_procedure_codes,appendix_b
02120A3,cardiac_procedure_codes,appendix_b
02120A8,cardiac_procedure_codes,appendix_b
02120A9,cardiac_procedure_codes,appendix_b
02120AC,cardiac_procedure_codes,appendix_b
02120AF,cardiac_procedure_codes,appendix_b
02120AW,cardiac_procedure_codes,appendix_b
02120J3,cardiac_procedure_codes,appendix_b
02120J8,cardiac_procedure_codes,appendix_b
02120J9,cardiac_procedure_codes,appendix_b
02120JC,cardiac_procedure_codes,appendix_b
02120JF,cardiac_procedure_codes,appendix_b
02120JW,cardiac_procedure_codes,appendix_b
02120K3,cardiac_procedure_codes,appendix_b
02120K8,cardiac_procedure_codes,appendix_b
02120K9,cardiac_procedure_codes,appendix_b
02120KC,cardiac_procedure_codes,appendix_b
02120KF,cardiac_procedure_codes,appendix_b
02120KW,cardiac_procedure_codes,appendix_b
02120Z3,cardiac_procedure_codes,appendix_b
02120Z8,cardiac_procedure_codes,appendix_b
02120Z9,cardiac_procedure_codes,appendix_b
02120ZC,cardiac_procedure_codes,appendix_b
02120ZF,cardiac_procedure_codes,appendix_b
0212344,cardiac_procedure_codes,appendix_b
02123D4,cardiac_procedure_codes,appendix_b
0212444,cardiac_procedure_codes,appendix_b
0212483,cardiac_procedure_codes,appendix_b
0212488,cardiac_procedure_codes,appendix_b
0212489,cardiac_procedure_codes,appendix_b
021248C,cardiac_procedure_codes,appendix_b
021248F,cardiac_procedure_codes,appendix_b
021248W,cardiac_procedure_codes,appendix_b
0212493,cardiac_procedure_codes,appendix_b
0212498,cardiac_procedure_codes,appendix_b
0212499,cardiac_procedure_codes,appendix_b
021249C,cardiac_procedure_codes,appendix_b
021249F,cardiac_procedure_codes,appendix_b
021249W,cardiac_procedure_codes,appendix_b
02124A3,cardiac_procedure_codes,appendix_b
02124A8,cardiac_procedure_codes,appendix_b
02124A9,cardiac_procedure_codes,appendix_b
02124AC,cardiac_procedure_codes,appendix_b
02124AF,cardiac_procedure_codes,appendix_b
02124AW,cardiac_procedure_codes,appendix_b
02124D4,cardiac_procedure_codes,appendix_b
02124J3,cardiac_procedure_codes,appendix_b
02124J8,cardiac_procedure_codes,appendix_b
02124J9,cardiac_procedure_codes,appendix_b
02124JC,cardiac_procedure_codes,appendix_b
02124JF,cardiac_procedure_codes,appendix_b
02124JW,cardiac_procedure_codes,appendix_b
02124K3,cardiac_procedure_codes,appendix_b
02124K8,cardiac_procedure_codes,appendix_b
02124K9,cardiac_procedure_codes,appendix_b
02124KC,cardiac_procedure_codes,appendix_b
02124KF,cardiac_procedure_codes,appendix_b
02124KW,cardiac_procedure_codes,appendix_b
02124Z3,cardiac_procedure_codes,appendix_b
02124Z8,cardiac_procedure_codes,appendix_b
02124Z9,cardiac_procedure_codes,appendix_b
02124ZC,cardiac_procedure_codes,appendix_b
02124ZF,cardiac_procedure_codes,appendix_b
0213083,cardiac_procedure_codes,appendix_b
0213088,cardiac_procedure_codes,appendix_b
0213089,cardiac_procedure_codes,appendix_b
021308C,cardiac_procedure_codes,appendix_b
021308F,cardiac_procedure_codes,appendix_b
021308W,cardiac_procedure_codes,appendix_b
0213093,cardiac_procedure_codes,appendix_b
0213098,cardiac_procedure_codes,appendix_b
0213099,cardiac_procedure_codes,appendix_b
021309C,cardiac_procedure_codes,appendix_b
021309F,cardiac_procedure_codes,appendix_b
021309W,cardiac_procedure_codes,appendix_b
02130A3,cardiac_procedure_codes,appendix_b
02130A8,cardiac_procedure_codes,appendix_b
02130A9,cardiac_procedure_codes,appendix_b
02130AC,cardiac_procedure_codes,appendix_b
02130AF,cardiac_procedure_codes,appendix_b
02130AW,cardiac_procedure_codes,appendix_b
02130J3,cardiac_procedure_codes,appendix_b
02130J8,cardiac_procedure_codes,appendix_b
02130J9,cardiac_procedure_codes,appendix_b
02130JC,cardiac_procedure_codes,appendix_b
02130JF,cardiac_procedure_codes,appendix_b
02130JW,cardiac_procedure_codes,appendix_b
02130K3,cardiac_procedure_codes,appendix_b
02130K8,cardiac_procedure_codes,appendix_b
02130K9,cardiac_procedure_codes,appendix_b
02130KC,cardiac_procedure_codes,appendix_b
02130KF,cardiac_procedure_codes,appendix_b
02130KW,cardiac_procedure_codes,appendix_b
02130Z3,cardiac_procedure_codes,appendix_b
02130Z8,cardiac_procedure_codes,appendix_b
02130Z9,cardiac_procedure_codes,appendix_b
02130ZC,cardiac_procedure_codes,appendix_b
02130ZF,cardiac_procedure_codes,appendix_b
0213344,cardiac_procedure_codes,appendix_b
02133D4,cardiac_procedure_codes,appendix_b
0213444,cardiac_procedure_codes,appendix_b
0213483,cardiac_procedure_codes,appendix_b
0213488,cardiac_procedure_codes,appendix_b
0213489,cardiac_procedure_codes,appendix_b
021348C,cardiac_procedure_codes,appendix_b
021348F,cardiac_procedure_codes,appendix_b
021348W,cardiac_procedure_codes,appendix_b
0213493,cardiac_procedure_codes,appendix_b
0213498,cardiac_procedure_codes,appendix_b
0213499,cardiac_procedure_codes,appendix_b
021349C,cardiac_procedure_codes,appendix_b
021349F,cardiac_procedure_codes,appendix_b
021349W,cardiac_procedure_codes,appendix_b
02134A3,cardiac_procedure_codes,appendix_b
02134A8,cardiac_procedure_codes,appendix_b
02134A9,cardiac_procedure_codes,appendix_b
02134AC,cardiac_procedure_codes,appendix_b
02134AF,cardiac_procedure_codes,appendix_b
02134AW,cardiac_procedure_codes,appendix_b
02134D4,cardiac_procedure_codes,appendix_b
02134J3,cardiac_procedure_codes,appendix_b
02134J8,cardiac_procedure_codes,appendix_b
02134J9,cardiac_procedure_codes,appendix_b
02134JC,cardiac_procedure_codes,appendix_b
02134JF,cardiac_procedure_codes,appendix_b
02134JW,cardiac_procedure_codes,appendix_b
02134K3,cardiac_procedure_codes,appendix_b
02134K8,cardiac_procedure_codes,appendix_b
02134K9,cardiac_procedure_codes,appendix_b
02134KC,cardiac_procedure_codes,appendix_b
02134KF,cardiac_procedure_codes,appendix_b
02134KW,cardiac_procedure_codes,appendix_b
02134Z3,cardiac_procedure_codes,appendix_b
02134Z8,cardiac_procedure_codes,appendix_b
02134Z9,cardiac_procedure_codes,appendix_b
02134ZC,cardiac_procedure_codes,appendix_b
02134ZF,cardiac_procedure_codes,appendix_b
021608P,cardiac_procedure_codes,appendix_b
021608Q,cardiac_procedure_codes,appendix_b
021608R,cardiac_procedure_codes,appendix_b
021609P,cardiac_procedure_codes,appendix_b
021609Q,cardiac_procedure_codes,appendix_b
021609R,cardiac_procedure_codes,appendix_b
02160AP,cardiac_procedure_codes,appendix_b
02160AQ,cardiac_procedure_codes,appendix_b
02160AR,cardiac_procedure_codes,appendix_b
02160JP,cardiac_procedure_codes,appendix_b
02160JQ,cardiac_procedure_codes,appendix_b
02160JR,cardiac_procedure_codes,appendix_b
02160KP,cardiac_procedure_codes,appendix_b
02160KQ,cardiac_procedure_codes,appendix_b
02160KR,cardiac_procedure_codes,appendix_b
02160Z7,cardiac_procedure_codes,appendix_b
02160ZP,cardiac_procedure_codes,appendix_b
02160ZQ,cardiac_procedure_codes,appendix_b
02160ZR,cardiac_procedure_codes,appendix_b
02163Z7,cardiac_procedure_codes,appendix_b
021648P,cardiac_procedure_codes,appendix_b
021648Q,cardiac_procedure_codes,appendix_b
021648R,cardiac_procedure_codes,appendix_b
021649P,cardiac_procedure_codes,appendix_b
021649Q,cardiac_procedure_codes,appendix_b
021649R,cardiac_procedure_codes,appendix_b
02164AP,cardiac_procedure_codes,appendix_b
02164AQ,cardiac_procedure_codes,appendix_b
02164AR,cardiac_procedure_codes,appendix_b
02164JP,cardiac_procedure_codes,appendix_b
02164JQ,cardiac_procedure_codes,appendix_b
02164JR,cardiac_procedure_codes,appendix_b
02164KP,cardiac_procedure_codes,appendix_b
02164KQ,cardiac_procedure_codes,appendix_b
02164KR,cardiac_procedure_codes,appendix_b
02164Z7,cardiac_procedure_codes,appendix_b
02164ZP,cardiac_procedure_codes,appendix_b
02164ZQ,cardiac_procedure_codes,appendix_b
02164ZR,cardiac_procedure_codes,appendix_b
021708P,cardiac_procedure_codes,appendix_b
021708Q,cardiac_procedure_codes,appendix_b
021708R,cardiac_procedure_codes,appendix_b
021709P,cardiac_procedure_codes,appendix_b
021709Q,cardiac_procedure_codes,appendix_b
021709R,cardiac_procedure_codes,appendix_b
021709S,cardiac_procedure_codes,appendix_b
021709T,cardiac_procedure_codes,appendix_b
021709U,cardiac_procedure_codes,appendix_b
02170AP,cardiac_procedure_codes,appendix_b
02170AQ,cardiac_procedure_codes,appendix_b
02170AR,cardiac_procedure_codes,appendix_b
02170AS,cardiac_procedure_codes,appendix_b
02170AT,cardiac_procedure_codes,appendix_b
02170AU,cardiac_procedure_codes,appendix_b
02170JP,cardiac_procedure_codes,appendix_b
02170JQ,cardiac_procedure_codes,appendix_b
02170JR,cardiac_procedure_codes,appendix_b
02170JS,cardiac_procedure_codes,appendix_b
02170JT,cardiac_procedure_codes,appendix_b
02170JU,cardiac_procedure_codes,appendix_b
02170KP,cardiac_procedure_codes,appendix_b
02170KQ,cardiac_procedure_codes,appendix_b
02170KR,cardiac_procedure_codes,appendix_b
02170KS,cardiac_procedure_codes,appendix_b
02170KT,cardiac_procedure_codes,appendix_b
02170KU,cardiac_procedure_codes,appendix_b
02170ZP,cardiac_procedure_codes,appendix_b
02170ZQ,cardiac_procedure_codes,appendix_b
02170ZR,cardiac_procedure_codes,appendix_b
02170ZS,cardiac_procedure_codes,appendix_b
02170ZT,cardiac_procedure_codes,appendix_b
02170ZU,cardiac_procedure_codes,appendix_b
021748P,cardiac_procedure_codes,appendix_b
021748Q,cardiac_procedure_codes,appendix_b
021748R,cardiac_procedure_codes,appendix_b
021749P,cardiac_procedure_codes,appendix_b
021749Q,cardiac_procedure_codes,appendix_b
021749R,cardiac_procedure_codes,appendix_b
021749S,cardiac_procedure_codes,appendix_b
021749T,cardiac_procedure_codes,appendix_b
021749U,cardiac_procedure_codes,appendix_b
02174AP,cardiac_procedure_codes,appendix_b
02174AQ,cardiac_procedure_codes,appendix_b
02174AR,cardiac_procedure_codes,appendix_b
02174AS,cardiac_procedure_codes,appendix_b
02174AT,cardiac_procedure_codes,appendix_b
02174AU,cardiac_procedure_codes,appendix_b
02174JP,cardiac_procedure_codes,appendix_b
02174JQ,cardiac_procedure_codes,appendix_b
02174JR,cardiac_procedure_codes,appendix_b
02174JS,cardiac_procedure_codes,appendix_b
02174JT,cardiac_procedure_codes,appendix_b
02174JU,cardiac_procedure_codes,appendix_b
02174KP,cardiac_procedure_codes,appendix_b
02174KQ,cardiac_procedure_codes,appendix_b
02174KR,cardiac_procedure_codes,appendix_b
02174KS,cardiac_procedure_codes,appendix_b
02174KT,cardiac_procedure_codes,appendix_b
02174KU,cardiac_procedure_codes,appendix_b
02174ZP,cardiac_procedure_codes,appendix_b
02174ZQ,cardiac_procedure_codes,appendix_b
02174ZR,cardiac_procedure_codes,appendix_b
02174ZS,cardiac_procedure_codes,appendix_b
02174ZT,cardiac_procedure_codes,appendix_b
02174ZU,cardiac_procedure_codes,appendix_b
021K08P,cardiac_procedure_codes,appendix_b
021K08Q,cardiac_procedure_codes,appendix_b
021K08R,cardiac_procedure_codes,appendix_b
021K09P,cardiac_procedure_codes,appendix_b
021K09Q,cardiac_procedure_codes,appendix_b
021K09R,cardiac_procedure_codes,appendix_b
021K0AP,cardiac_procedure_codes,appendix_b
021K0AQ,cardiac_procedure_codes,appendix_b
021K0AR,cardiac_procedure_codes,appendix_b
021K0JP,cardiac_procedure_codes,appendix_b
021K0JQ,cardiac_procedure_codes,appendix_b
021K0JR,cardiac_procedure_codes,appendix_b
021K0KP,cardiac_procedure_codes,appendix_b
021K0KQ,cardiac_procedure_codes,appendix_b
021K0KR,cardiac_procedure_codes,appendix_b
021K0Z5,cardiac_procedure_codes,appendix_b
021K0Z8,cardiac_procedure_codes,appendix_b
021K0Z9,cardiac_procedure_codes,appendix_b
021K0ZC,cardiac_procedure_codes,appendix_b
021K0ZF,cardiac_procedure_codes,appendix_b
021K0ZP,cardiac_procedure_codes,appendix_b
021K0ZQ,cardiac_procedure_codes,appendix_b
021K0ZR,cardiac_procedure_codes,appendix_b
021K0ZW,cardiac_procedure_codes,appendix_b
021K48P,cardiac_procedure_codes,appendix_b
021K48Q,cardiac_procedure_codes,appendix_b
021K48R,cardiac_procedure_codes,appendix_b
021K49P,cardiac_procedure_codes,appendix_b
021K49Q,cardiac_procedure_codes,appendix_b
021K49R,cardiac_procedure_codes,appendix_b
021K4AP,cardiac_procedure_codes,appendix_b
021K4AQ,cardiac_procedure_codes,appendix_b
021K4AR,cardiac_procedure_codes,appendix_b
021K4JP,cardiac_procedure_codes,appendix_b
021K4JQ,cardiac_procedure_codes,appendix_b
021K4JR,cardiac_procedure_codes,appendix_b
021K4KP,cardiac_procedure_codes,appendix_b
021K4KQ,cardiac_procedure_codes,appendix_b
021K4KR,cardiac_procedure_codes,appendix_b
021K4Z5,cardiac_procedure_codes,appendix_b
021K4Z8,cardiac_procedure_codes,appendix_b
021K4Z9,cardiac_procedure_codes,appendix_b
021K4ZC,cardiac_procedure_codes,appendix_b
021K4ZF,cardiac_procedure_codes,appendix_b
021K4ZP,cardiac_procedure_codes,appendix_b
021K4ZQ,cardiac_procedure_codes,appendix_b
021K4ZR,cardiac_procedure_codes,appendix_b
021K4ZW,cardiac_procedure_codes,appendix_b
021L08P,cardiac_procedure_codes,appendix_b
021L08Q,cardiac_procedure_codes,appendix_b
021L08R,cardiac_procedure_codes,appendix_b
021L09P,cardiac_procedure_codes,appendix_b
021L09Q,cardiac_procedure_codes,appendix_b
021L09R,cardiac_procedure_codes,appendix_b
021L0AP,cardiac_procedure_codes,appendix_b
021L0AQ,cardiac_procedure_codes,appendix_b
021L0AR,cardiac_procedure_codes,appendix_b
021L0JP,cardiac_procedure_codes,appendix_b
021L0JQ,cardiac_procedure_codes,appendix_b
021L0JR,cardiac_procedure_codes,appendix_b
021L0KP,cardiac_procedure_codes,appendix_b
021L0KQ,cardiac_procedure_codes,appendix_b
021L0KR,cardiac_procedure_codes,appendix_b
021L0Z5,cardiac_procedure_codes,appendix_b
021L0Z8,cardiac_procedure_codes,appendix_b
021L0Z9,cardiac_procedure_codes,appendix_b
021L0ZC,cardiac_procedure_codes,appendix_b
021L0ZF,cardiac_procedure_codes,appendix_b
021L0ZP,cardiac_procedure_codes,appendix_b
021L0ZQ,cardiac_procedure_codes,appendix_b
021L0ZR,cardiac_procedure_codes,appendix_b
021L0ZW,cardiac_procedure_codes,appendix_b
021L48P,cardiac_procedure_codes,appendix_b
021L48Q,cardiac_procedure_codes,appendix_b
021L48R,cardiac_procedure_codes,appendix_b
021L49P,cardiac_procedure_codes,appendix_b
021L49Q,cardiac_procedure_codes,appendix_b
021L49R,cardiac_procedure_codes,appendix_b
021L4AP,cardiac_procedure_codes,appendix_b
021L4AQ,cardiac_procedure_codes,appendix_b
021L4AR,cardiac_procedure_codes,appendix_b
021L4JP,cardiac_procedure_codes,appendix_b
021L4JQ,cardiac_procedure_codes,appendix_b
021L4JR,cardiac_procedure_codes,appendix_b
021L4KP,cardiac_procedure_codes,appendix_b
021L4KQ,cardiac_procedure_codes,appendix_b
021L4KR,cardiac_procedure_codes,appendix_b
021L4Z5,cardiac_procedure_codes,appendix_b
021L4Z8,cardiac_procedure_codes,appendix_b
021L4Z9,cardiac_procedure_codes,appendix_b
021L4ZC,cardiac_procedure_codes,appendix_b
021L4ZF,cardiac_procedure_codes,appendix_b
021L4ZP,cardiac_procedure_codes,appendix_b
021L4ZQ,cardiac_procedure_codes,appendix_b
021L4ZR,cardiac_procedure_codes,appendix_b
021L4ZW,cardiac_procedure_codes,appendix_b
024F07J,cardiac_procedure_codes,appendix_b
024F08J,cardiac_procedure_codes,appendix_b
024F0JJ,cardiac_procedure_codes,appendix_b
024F0KJ,cardiac_procedure_codes,appendix_b
024G072,cardiac_procedure_codes,appendix_b
024G082,cardiac_procedure_codes,appendix_b
024G0J2,cardiac_procedure_codes,appendix_b
024G0K2,cardiac_procedure_codes,appendix_b
024J072,cardiac_procedure_codes,appendix_b
024J082,cardiac_procedure_codes,appendix_b
024J0J2,cardiac_procedure_codes,appendix_b
024J0K2,cardiac_procedure_codes,appendix_b
02540ZZ,cardiac_procedure_codes,appendix_b
02543ZZ,cardiac_procedure_codes,appendix_b
02544ZZ,cardiac_procedure_codes,appendix_b
02550ZZ,cardiac_procedure_codes,appendix_b
02553ZZ,cardiac_procedure_codes,appendix_b
02554ZZ,cardiac_procedure_codes,appendix_b
02560ZZ,cardiac_procedure_codes,appendix_b
02563ZZ,cardiac_procedure_codes,appendix_b
02564ZZ,cardiac_procedure_codes,appendix_b
02570ZK,cardiac_procedure_codes,appendix_b
02570ZZ,cardiac_procedure_codes,appendix_b
02573ZK,cardiac_procedure_codes,appendix_b
02573ZZ,cardiac_procedure_codes,appendix_b
02574ZK,cardiac_procedure_codes,appendix_b
02574ZZ,cardiac_procedure_codes,appendix_b
02580ZZ,cardiac_procedure_codes,appendix_b
02583ZZ,cardiac_procedure_codes,appendix_b
02584ZZ,cardiac_procedure_codes,appendix_b
02590ZZ,cardiac_procedure_codes,appendix_b
02593ZZ,cardiac_procedure_codes,appendix_b
02594ZZ,cardiac_procedure_codes,appendix_b
025D0ZZ,cardiac_procedure_codes,appendix_b
025D3ZZ,cardiac_procedure_codes,appendix_b
025D4ZZ,cardiac_procedure_codes,appendix_b
025F0ZZ,cardiac_procedure_codes,appendix_b
025F3ZZ,cardiac_procedure_codes,appendix_b
025F4ZZ,cardiac_procedure_codes,appendix_b
025G0ZZ,cardiac_procedure_codes,appendix_b
025G3ZZ,cardiac_procedure_codes,appendix_b
025G4ZZ,cardiac_procedure_codes,appendix_b
025H0ZZ,cardiac_procedure_codes,appendix_b
025H3ZZ,cardiac_procedure_codes,appendix_b
025H4ZZ,cardiac_procedure_codes,appendix_b
025J0ZZ,cardiac_procedure_codes,appendix_b
025J3ZZ,cardiac_procedure_codes,appendix_b
025J4ZZ,cardiac_procedure_codes,appendix_b
025K0ZZ,cardiac_procedure_codes,appendix_b
025K3ZZ,cardiac_procedure_codes,appendix_b
025K4ZZ,cardiac_procedure_codes,appendix_b
025L0ZZ,cardiac_procedure_codes,appendix_b
025L3ZZ,cardiac_procedure_codes,appendix_b
025L4ZZ,cardiac_procedure_codes,appendix_b
025M0ZZ,cardiac_procedure_codes,appendix_b
025M3ZZ,cardiac_procedure_codes,appendix_b
025M4ZZ,cardiac_procedure_codes,appendix_b
025N0ZZ,cardiac_procedure_codes,appendix_b
025N3ZZ,cardiac_procedure_codes,appendix_b
025N4ZZ,cardiac_procedure_codes,appendix_b
0270046,cardiac_procedure_codes,appendix_b
027004Z,cardiac_procedure_codes,appendix_b
0270056,cardiac_procedure_codes,appendix_b
027005Z,cardiac_procedure_codes,appendix_b
0270066,cardiac_procedure_codes,appendix_b
027006Z,cardiac_procedure_codes,appendix_b
0270076,cardiac_procedure_codes,appendix_b
027007Z,cardiac_procedure_codes,appendix_b
02700D6,cardiac_procedure_codes,appendix_b
02700DZ,cardiac_procedure_codes,appendix_b
02700E6,cardiac_procedure_codes,appendix_b
02700EZ,cardiac_procedure_codes,appendix_b
02700F6,cardiac_procedure_codes,appendix_b
02700FZ,cardiac_procedure_codes,appendix_b
02700G6,cardiac_procedure_codes,appendix_b
02700GZ,cardiac_procedure_codes,appendix_b
02700T6,cardiac_procedure_codes,appendix_b
02700TZ,cardiac_procedure_codes,appendix_b
02700Z6,cardiac_procedure_codes,appendix_b
02700ZZ,cardiac_procedure_codes,appendix_b
0270346,cardiac_procedure_codes,appendix_b
027034Z,cardiac_procedure_codes,appendix_b
0270356,cardiac_procedure_codes,appendix_b
027035Z,cardiac_procedure_codes,appendix_b
0270366,cardiac_procedure_codes,appendix_b
027036Z,cardiac_procedure_codes,appendix_b
0270376,cardiac_procedure_codes,appendix_b
027037Z,cardiac_procedure_codes,appendix_b
02703D6,cardiac_procedure_codes,appendix_b
02703DZ,cardiac_procedure_codes,appendix_b
02703E6,cardiac_procedure_codes,appendix_b
02703EZ,cardiac_procedure_codes,appendix_b
02703F6,cardiac_procedure_codes,appendix_b
02703FZ,cardiac_procedure_codes,appendix_b
02703G6,cardiac_procedure_codes,appendix_b
02703GZ,cardiac_procedure_codes,appendix_b
02703T6,cardiac_procedure_codes,appendix_b
02703TZ,cardiac_procedure_codes,appendix_b
02703Z6,cardiac_procedure_codes,appendix_b
02703ZZ,cardiac_procedure_codes,appendix_b
0270446,cardiac_procedure_codes,appendix_b
