value_set_member_id,concept_id,status,last_update_date,last_update_note,code,code_description,coding_system_id,coding_system_version,include_descendants,comment
32,1,active,2024-03-18,,I236,"Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction",2,2024,false,
33,1,active,2024-03-18,,I237,Postinfarction angina,2,2024,false,
34,1,active,2024-03-18,,I238,Other current complications following acute myocardial infarction,2,2024,false,
35,1,active,2024-03-18,,I252,Old myocardial infarction,2,2024,false,
36,1,active,2024-03-18,,I241,Dressler's syndrome,2,2024,false,
37,2,active,2024-03-18,,F101,Alcohol abuse,2,2024,false,
38,2,active,2024-03-18,,F1010,"Alcohol abuse, uncomplicated",2,2024,false,
39,2,active,2024-03-18,,F1011,"Alcohol abuse, in remission",2,2024,false,
40,2,active,2024-03-18,,F1012,Alcohol abuse with intoxication,2,2024,false,
41,2,active,2024-03-18,,F10120,"Alcohol abuse with intoxication, uncomplicated",2,2024,false,
42,2,active,2024-03-18,,F10121,Alcohol abuse with intoxication delirium,2,2024,false,
43,2,active,2024-03-18,,F10129,"Alcohol abuse with intoxication, unspecified",2,2024,false,
44,2,active,2024-03-18,,F1013,"Alcohol abuse, with withdrawal",2,2024,false,
45,2,active,2024-03-18,,F10130,"Alcohol abuse with withdrawal, uncomplicated",2,2024,false,
46,2,active,2024-03-18,,F10131,Alcohol abuse with withdrawal delirium,2,2024,false,
47,2,active,2024-03-18,,F10132,Alcohol abuse with withdrawal with perceptual disturbance,2,2024,false,
48,2,active,2024-03-18,,F10139,"Alcohol abuse with withdrawal, unspecified",2,2024,false,
49,2,active,2024-03-18,,F1014,Alcohol abuse with alcohol-induced mood disorder,2,2024,false,
50,2,active,2024-03-18,,F1015,Alcohol abuse with alcohol-induced psychotic disorder,2,2024,false,
51,2,active,2024-03-18,,F10150,Alcohol abuse with alcohol-induced psychotic disorder with delusions,2,2024,false,
52,2,active,2024-03-18,,F10151,Alcohol abuse with alcohol-induced psychotic disorder with hallucinations,2,2024,false,
53,2,active,2024-03-18,,F10159,"Alcohol abuse with alcohol-induced psychotic disorder, unspecified",2,2024,false,
54,2,active,2024-03-18,,F1018,Alcohol abuse with other alcohol-induced disorders,2,2024,false,
55,2,active,2024-03-18,,F10180,Alcohol abuse with alcohol-induced anxiety disorder,2,2024,false,
56,2,active,2024-03-18,,F10181,Alcohol abuse with alcohol-induced sexual dysfunction,2,2024,false,
57,2,active,2024-03-18,,F10182,Alcohol abuse with alcohol-induced sleep disorder,2,2024,false,
58,2,active,2024-03-18,,F10188,Alcohol abuse with other alcohol-induced disorder,2,2024,false,
59,2,active,2024-03-18,,F1019,Alcohol abuse with unspecified alcohol-induced disorder,2,2024,false,
60,2,active,2024-03-18,,F102,Alcohol dependence,2,2024,false,
61,2,active,2024-03-18,,F1020,"Alcohol dependence, uncomplicated",2,2024,false,
62,2,active,2024-03-18,,F1021,"Alcohol dependence, in remission",2,2024,false,
63,2,active,2024-03-18,,F1022,Alcohol dependence with intoxication,2,2024,false,
64,2,active,2024-03-18,,F10220,"Alcohol dependence with intoxication, uncomplicated",2,2024,false,
65,2,active,2024-03-18,,F10221,Alcohol dependence with intoxication delirium,2,2024,false,
66,2,active,2024-03-18,,F10229,"Alcohol dependence with intoxication, unspecified",2,2024,false,
67,2,active,2024-03-18,,F1023,Alcohol dependence with withdrawal,2,2024,false,
68,2,active,2024-03-18,,F10230,"Alcohol dependence with withdrawal, uncomplicated",2,2024,false,
69,2,active,2024-03-18,,F10231,Alcohol dependence with withdrawal delirium,2,2024,false,
70,2,active,2024-03-18,,F10232,Alcohol dependence with withdrawal with perceptual disturbance,2,2024,false,
71,2,active,2024-03-18,,F10239,"Alcohol dependence with withdrawal, unspecified",2,2024,false,
72,2,active,2024-03-18,,F1024,Alcohol dependence with alcohol-induced mood disorder,2,2024,false,
73,2,active,2024-03-18,,F1025,Alcohol dependence with alcohol-induced psychotic disorder,2,2024,false,
74,2,active,2024-03-18,,F10250,Alcohol dependence with alcohol-induced psychotic disorder with delusions,2,2024,false,
75,2,active,2024-03-18,,F10251,Alcohol dependence with alcohol-induced psychotic disorder with hallucinations,2,2024,false,
76,2,active,2024-03-18,,F10259,"Alcohol dependence with alcohol-induced psychotic disorder, unspecified",2,2024,false,
77,2,active,2024-03-18,,F1026,Alcohol dependence with alcohol-induced persisting amnestic disorder,2,2024,false,
78,2,active,2024-03-18,,F1027,Alcohol dependence with alcohol-induced persisting dementia,2,2024,false,
79,2,active,2024-03-18,,F1028,Alcohol dependence with other alcohol-induced disorders,2,2024,false,
80,2,active,2024-03-18,,F10280,Alcohol dependence with alcohol-induced anxiety disorder,2,2024,false,
81,2,active,2024-03-18,,F10281,Alcohol dependence with alcohol-induced sexual dysfunction,2,2024,false,
82,2,active,2024-03-18,,F10282,Alcohol dependence with alcohol-induced sleep disorder,2,2024,false,
83,2,active,2024-03-18,,F10288,Alcohol dependence with other alcohol-induced disorder,2,2024,false,
84,2,active,2024-03-18,,F1029,Alcohol dependence with unspecified alcohol-induced disorder,2,2024,false,
85,2,active,2024-03-18,,Z7141,Alcohol abuse counseling and surveillance of alcoholic,2,2024,false,
86,3,active,2024-03-18,,G30,Alzheimer's disease,2,2024,false,
87,3,active,2024-03-18,,G300,Alzheimer's disease with early onset,2,2024,false,
88,3,active,2024-03-18,,G301,Alzheimer's disease with late onset,2,2024,false,
89,3,active,2024-03-18,,G308,Other Alzheimer's disease,2,2024,false,
90,3,active,2024-03-18,,G309,"Alzheimer's disease, unspecified",2,2024,false,
91,4,active,2024-03-18,,G1221,Amyotrophic lateral sclerosis,2,2024,false,
92,5,active,2024-03-18,,A7982,Anaplasmosis [A. phagocytophilum],2,2024,false,
93,6,active,2024-03-18,,F0154,"Vascular dementia, unspecified severity, with anxiety",2,2024,false,
94,6,active,2024-03-18,,F01A4,"Vascular dementia, mild, with anxiety",2,2024,false,
95,6,active,2024-03-18,,F01B4,"Vascular dementia, moderate, with anxiety",2,2024,false,
96,6,active,2024-03-18,,F01C4,"Vascular dementia, severe, with anxiety",2,2024,false,
97,6,active,2024-03-18,,F0284,"Dementia in other diseases classified elsewhere, unspecified severity, with anxiety",2,2024,false,
98,6,active,2024-03-18,,F02A4,"Dementia in other diseases classified elsewhere, mild, with anxiety",2,2024,false,
99,6,active,2024-03-18,,F02B4,"Dementia in other diseases classified elsewhere, moderate, with anxiety",2,2024,false,
100,6,active,2024-03-18,,F02C4,"Dementia in other diseases classified elsewhere, severe, with anxiety",2,2024,false,
101,6,active,2024-03-18,,F0394,"Unspecified dementia, unspecified severity, with anxiety",2,2024,false,
102,6,active,2024-03-18,,F03A4,"Unspecified dementia, mild, with anxiety",2,2024,false,
103,6,active,2024-03-18,,F03B4,"Unspecified dementia, moderate, with anxiety",2,2024,false,
104,6,active,2024-03-18,,F03C4,"Unspecified dementia, severe, with anxiety",2,2024,false,
105,6,active,2024-03-18,,F064,Anxiety disorder due to known physiological condition,2,2024,false,
106,6,active,2024-03-18,,F10180,Alcohol abuse with alcohol-induced anxiety disorder,2,2024,false,
107,6,active,2024-03-18,,F10280,Alcohol dependence with alcohol-induced anxiety disorder,2,2024,false,
108,6,active,2024-03-18,,F10980,"Alcohol use, unspecified with alcohol-induced anxiety disorder",2,2024,false,
109,6,active,2024-03-18,,F12180,Cannabis abuse with cannabis-induced anxiety disorder,2,2024,false,
110,6,active,2024-03-18,,F12280,Cannabis dependence with cannabis-induced anxiety disorder,2,2024,false,
111,6,active,2024-03-18,,F12980,"Cannabis use, unspecified with anxiety disorder",2,2024,false,
112,6,active,2024-03-18,,F13180,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced anxiety disorder",2,2024,false,
113,6,active,2024-03-18,,F13280,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced anxiety disorder",2,2024,false,
114,6,active,2024-03-18,,F13980,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced anxiety disorder",2,2024,false,
115,6,active,2024-03-18,,F14180,Cocaine abuse with cocaine-induced anxiety disorder,2,2024,false,
116,6,active,2024-03-18,,F14280,Cocaine dependence with cocaine-induced anxiety disorder,2,2024,false,
117,6,active,2024-03-18,,F14980,"Cocaine use, unspecified with cocaine-induced anxiety disorder",2,2024,false,
118,6,active,2024-03-18,,F15180,Other stimulant abuse with stimulant-induced anxiety disorder,2,2024,false,
119,6,active,2024-03-18,,F15280,Other stimulant dependence with stimulant-induced anxiety disorder,2,2024,false,
120,6,active,2024-03-18,,F15980,"Other stimulant use, unspecified with stimulant-induced anxiety disorder",2,2024,false,
121,6,active,2024-03-18,,F16180,Hallucinogen abuse with hallucinogen-induced anxiety disorder,2,2024,false,
122,6,active,2024-03-18,,F16280,Hallucinogen dependence with hallucinogen-induced anxiety disorder,2,2024,false,
123,6,active,2024-03-18,,F16980,"Hallucinogen use, unspecified with hallucinogen-induced anxiety disorder",2,2024,false,
124,6,active,2024-03-18,,F18180,Inhalant abuse with inhalant-induced anxiety disorder,2,2024,false,
125,6,active,2024-03-18,,F18280,Inhalant dependence with inhalant-induced anxiety disorder,2,2024,false,
126,6,active,2024-03-18,,F18980,"Inhalant use, unspecified with inhalant-induced anxiety disorder",2,2024,false,
127,6,active,2024-03-18,,F19180,Other psychoactive substance abuse with psychoactive substance-induced anxiety disorder,2,2024,false,
128,6,active,2024-03-18,,F19280,Other psychoactive substance dependence with psychoactive substance-induced anxiety disorder,2,2024,false,
129,6,active,2024-03-18,,F19980,"Other psychoactive substance use, unspecified with psychoactive substance-induced anxiety disorder",2,2024,false,
130,6,active,2024-03-18,,F40,Phobic anxiety disorders,2,2024,false,
131,6,active,2024-03-18,,F400,Agoraphobia,2,2024,false,
132,6,active,2024-03-18,,F4000,"Agoraphobia, unspecified",2,2024,false,
133,6,active,2024-03-18,,F4001,Agoraphobia with panic disorder,2,2024,false,
134,6,active,2024-03-18,,F4002,Agoraphobia without panic disorder,2,2024,false,
135,6,active,2024-03-18,,F401,Social phobias,2,2024,false,
136,6,active,2024-03-18,,F4010,"Social phobia, unspecified",2,2024,false,
137,6,active,2024-03-18,,F4011,"Social phobia, generalized",2,2024,false,
138,6,active,2024-03-18,,F402,Specific (isolated) phobias,2,2024,false,
139,6,active,2024-03-18,,F4021,Animal type phobia,2,2024,false,
140,6,active,2024-03-18,,F40210,Arachnophobia,2,2024,false,
141,6,active,2024-03-18,,F40218,Other animal type phobia,2,2024,false,
142,6,active,2024-03-18,,F4022,Natural environment type phobia,2,2024,false,
143,6,active,2024-03-18,,F40220,Fear of thunderstorms,2,2024,false,
144,6,active,2024-03-18,,F40228,Other natural environment type phobia,2,2024,false,
145,6,active,2024-03-18,,F4023,"Blood, injection, injury type phobia",2,2024,false,
146,6,active,2024-03-18,,F40230,Fear of blood,2,2024,false,
147,6,active,2024-03-18,,F40231,Fear of injections and transfusions,2,2024,false,
148,6,active,2024-03-18,,F40232,Fear of other medical care,2,2024,false,
149,6,active,2024-03-18,,F40233,Fear of injury,2,2024,false,
150,6,active,2024-03-18,,F4024,Situational type phobia,2,2024,false,
151,6,active,2024-03-18,,F40240,Claustrophobia,2,2024,false,
152,6,active,2024-03-18,,F40241,Acrophobia,2,2024,false,
153,6,active,2024-03-18,,F40242,Fear of bridges,2,2024,false,
154,6,active,2024-03-18,,F40243,Fear of flying,2,2024,false,
155,6,active,2024-03-18,,F40248,Other situational type phobia,2,2024,false,
156,6,active,2024-03-18,,F4029,Other specified phobia,2,2024,false,
157,6,active,2024-03-18,,F40290,Androphobia,2,2024,false,
158,6,active,2024-03-18,,F40291,Gynephobia,2,2024,false,
159,6,active,2024-03-18,,F40298,Other specified phobia,2,2024,false,
160,6,active,2024-03-18,,F408,Other phobic anxiety disorders,2,2024,false,
161,6,active,2024-03-18,,F409,"Phobic anxiety disorder, unspecified",2,2024,false,
162,6,active,2024-03-18,,F41,Other anxiety disorders,2,2024,false,
163,6,active,2024-03-18,,F410,Panic disorder [episodic paroxysmal anxiety],2,2024,false,
164,6,active,2024-03-18,,F411,Generalized anxiety disorder,2,2024,false,
165,6,active,2024-03-18,,F413,Other mixed anxiety disorders,2,2024,false,
166,6,active,2024-03-18,,F418,Other specified anxiety disorders,2,2024,false,
167,6,active,2024-03-18,,F419,"Anxiety disorder, unspecified",2,2024,false,
168,6,active,2024-03-18,,F4322,Adjustment disorder with anxiety,2,2024,false,
169,6,active,2024-03-18,,F4323,Adjustment disorder with mixed anxiety and depressed mood,2,2024,false,
170,6,active,2024-03-18,,F930,Separation anxiety disorder of childhood,2,2024,false,
171,7,active,2024-03-18,,J45,Asthma,2,2024,false,
172,7,active,2024-03-18,,J452,Mild intermittent asthma,2,2024,false,
173,7,active,2024-03-18,,J4520,"Mild intermittent asthma, uncomplicated",2,2024,false,
174,7,active,2024-03-18,,J4521,Mild intermittent asthma with (acute) exacerbation,2,2024,false,
175,7,active,2024-03-18,,J4522,Mild intermittent asthma with status asthmaticus,2,2024,false,
176,7,active,2024-03-18,,J453,Mild persistent asthma,2,2024,false,
177,7,active,2024-03-18,,J4530,"Mild persistent asthma, uncomplicated",2,2024,false,
178,7,active,2024-03-18,,J4531,Mild persistent asthma with (acute) exacerbation,2,2024,false,
179,7,active,2024-03-18,,J4532,Mild persistent asthma with status asthmaticus,2,2024,false,
180,7,active,2024-03-18,,J454,Moderate persistent asthma,2,2024,false,
181,7,active,2024-03-18,,J4540,"Moderate persistent asthma, uncomplicated",2,2024,false,
182,7,active,2024-03-18,,J4541,Moderate persistent asthma with (acute) exacerbation,2,2024,false,
183,7,active,2024-03-18,,J4542,Moderate persistent asthma with status asthmaticus,2,2024,false,
184,7,active,2024-03-18,,J455,Severe persistent asthma,2,2024,false,
185,7,active,2024-03-18,,J4550,"Severe persistent asthma, uncomplicated",2,2024,false,
186,7,active,2024-03-18,,J4551,Severe persistent asthma with (acute) exacerbation,2,2024,false,
187,7,active,2024-03-18,,J4552,Severe persistent asthma with status asthmaticus,2,2024,false,
188,7,active,2024-03-18,,J459,Other and unspecified asthma,2,2024,false,
189,7,active,2024-03-18,,J4590,Unspecified asthma,2,2024,false,
190,7,active,2024-03-18,,J45901,Unspecified asthma with (acute) exacerbation,2,2024,false,
191,7,active,2024-03-18,,J45902,Unspecified asthma with status asthmaticus,2,2024,false,
192,7,active,2024-03-18,,J45909,"Unspecified asthma, uncomplicated",2,2024,false,
193,7,active,2024-03-18,,J4599,Other asthma,2,2024,false,
194,7,active,2024-03-18,,J45990,Exercise induced bronchospasm,2,2024,false,
195,7,active,2024-03-18,,J45991,Cough variant asthma,2,2024,false,
196,7,active,2024-03-18,,J45998,Other asthma,2,2024,false,
197,7,active,2024-03-18,,J8283,Eosinophilic asthma,2,2024,false,
198,8,active,2024-03-18,,I480,Paroxysmal atrial fibrillation,2,2024,false,
199,8,active,2024-03-18,,I481,Persistent atrial fibrillation,2,2024,false,
200,8,active,2024-03-18,,I4811,Longstanding persistent atrial fibrillation,2,2024,false,
201,8,active,2024-03-18,,I4819,Other persistent atrial fibrillation,2,2024,false,
202,8,active,2024-03-18,,I482,Chronic atrial fibrillation,2,2024,false,
203,8,active,2024-03-18,,I4820,"Chronic atrial fibrillation, unspecified",2,2024,false,
204,8,active,2024-03-18,,I4821,Permanent atrial fibrillation,2,2024,false,
205,8,active,2024-03-18,,I4891,Unspecified atrial fibrillation,2,2024,false,
206,9,active,2024-03-18,,F90,Attention-deficit hyperactivity disorders,2,2024,false,
207,9,active,2024-03-18,,F900,"Attention-deficit hyperactivity disorder, predominantly inattentive type",2,2024,false,
208,9,active,2024-03-18,,F901,"Attention-deficit hyperactivity disorder, predominantly hyperactive type",2,2024,false,
209,9,active,2024-03-18,,F902,"Attention-deficit hyperactivity disorder, combined type",2,2024,false,
210,9,active,2024-03-18,,F908,"Attention-deficit hyperactivity disorder, other type",2,2024,false,
211,9,active,2024-03-18,,F909,"Attention-deficit hyperactivity disorder, unspecified type",2,2024,false,
212,10,active,2024-03-18,,B600,Babesiosis,2,2024,false,
213,10,active,2024-03-18,,B6000,"Babesiosis, unspecified",2,2024,false,
214,10,active,2024-03-18,,B6001,Babesiosis due to Babesia microti,2,2024,false,
215,10,active,2024-03-18,,B6002,Babesiosis due to Babesia duncani,2,2024,false,
216,10,active,2024-03-18,,B6003,Babesiosis due to Babesia divergens,2,2024,false,
217,10,active,2024-03-18,,B6009,Other babesiosis,2,2024,false,
218,11,active,2024-03-18,,F31,Bipolar disorder,2,2024,false,
219,11,active,2024-03-18,,F310,"Bipolar disorder, current episode hypomanic",2,2024,false,
220,11,active,2024-03-18,,F311,"Bipolar disorder, current episode manic without psychotic features",2,2024,false,
221,11,active,2024-03-18,,F3110,"Bipolar disorder, current episode manic without psychotic features, unspecified",2,2024,false,
222,11,active,2024-03-18,,F3111,"Bipolar disorder, current episode manic without psychotic features, mild",2,2024,false,
223,11,active,2024-03-18,,F3112,"Bipolar disorder, current episode manic without psychotic features, moderate",2,2024,false,
224,11,active,2024-03-18,,F3113,"Bipolar disorder, current episode manic without psychotic features, severe",2,2024,false,
225,11,active,2024-03-18,,F312,"Bipolar disorder, current episode manic severe with psychotic features",2,2024,false,
226,11,active,2024-03-18,,F313,"Bipolar disorder, current episode depressed, mild or moderate severity",2,2024,false,
227,11,active,2024-03-18,,F3130,"Bipolar disorder, current episode depressed, mild or moderate severity, unspecified",2,2024,false,
228,11,active,2024-03-18,,F3131,"Bipolar disorder, current episode depressed, mild",2,2024,false,
229,11,active,2024-03-18,,F3132,"Bipolar disorder, current episode depressed, moderate",2,2024,false,
230,11,active,2024-03-18,,F314,"Bipolar disorder, current episode depressed, severe, without psychotic features",2,2024,false,
231,11,active,2024-03-18,,F315,"Bipolar disorder, current episode depressed, severe, with psychotic features",2,2024,false,
232,11,active,2024-03-18,,F316,"Bipolar disorder, current episode mixed",2,2024,false,
233,11,active,2024-03-18,,F3160,"Bipolar disorder, current episode mixed, unspecified",2,2024,false,
234,11,active,2024-03-18,,F3161,"Bipolar disorder, current episode mixed, mild",2,2024,false,
235,11,active,2024-03-18,,F3162,"Bipolar disorder, current episode mixed, moderate",2,2024,false,
236,11,active,2024-03-18,,F3163,"Bipolar disorder, current episode mixed, severe, without psychotic features",2,2024,false,
237,11,active,2024-03-18,,F3164,"Bipolar disorder, current episode mixed, severe, with psychotic features",2,2024,false,
238,11,active,2024-03-18,,F317,"Bipolar disorder, currently in remission",2,2024,false,
239,11,active,2024-03-18,,F3170,"Bipolar disorder, currently in remission, most recent episode unspecified",2,2024,false,
240,11,active,2024-03-18,,F3171,"Bipolar disorder, in partial remission, most recent episode hypomanic",2,2024,false,
241,11,active,2024-03-18,,F3172,"Bipolar disorder, in full remission, most recent episode hypomanic",2,2024,false,
242,11,active,2024-03-18,,F3173,"Bipolar disorder, in partial remission, most recent episode manic",2,2024,false,
243,11,active,2024-03-18,,F3174,"Bipolar disorder, in full remission, most recent episode manic",2,2024,false,
244,11,active,2024-03-18,,F3175,"Bipolar disorder, in partial remission, most recent episode depressed",2,2024,false,
245,11,active,2024-03-18,,F3176,"Bipolar disorder, in full remission, most recent episode depressed",2,2024,false,
246,11,active,2024-03-18,,F3177,"Bipolar disorder, in partial remission, most recent episode mixed",2,2024,false,
247,11,active,2024-03-18,,F3178,"Bipolar disorder, in full remission, most recent episode mixed",2,2024,false,
248,11,active,2024-03-18,,F318,Other bipolar disorders,2,2024,false,
249,11,active,2024-03-18,,F3181,Bipolar II disorder,2,2024,false,
250,11,active,2024-03-18,,F3189,Other bipolar disorder,2,2024,false,
251,11,active,2024-03-18,,F319,"Bipolar disorder, unspecified",2,2024,false,
252,12,active,2024-03-18,,C50,Malignant neoplasm of breast,2,2024,false,
253,12,active,2024-03-18,,C500,Malignant neoplasm of nipple and areola,2,2024,false,
254,12,active,2024-03-18,,C5001,"Malignant neoplasm of nipple and areola, female",2,2024,false,
255,12,active,2024-03-18,,C50011,"Malignant neoplasm of nipple and areola, right female breast",2,2024,false,
256,12,active,2024-03-18,,C50012,"Malignant neoplasm of nipple and areola, left female breast",2,2024,false,
257,12,active,2024-03-18,,C50019,"Malignant neoplasm of nipple and areola, unspecified female breast",2,2024,false,
258,12,active,2024-03-18,,C5002,"Malignant neoplasm of nipple and areola, male",2,2024,false,
259,12,active,2024-03-18,,C50021,"Malignant neoplasm of nipple and areola, right male breast",2,2024,false,
260,12,active,2024-03-18,,C50022,"Malignant neoplasm of nipple and areola, left male breast",2,2024,false,
261,12,active,2024-03-18,,C50029,"Malignant neoplasm of nipple and areola, unspecified male breast",2,2024,false,
262,12,active,2024-03-18,,C501,Malignant neoplasm of central portion of breast,2,2024,false,
263,12,active,2024-03-18,,C5011,"Malignant neoplasm of central portion of breast, female",2,2024,false,
264,12,active,2024-03-18,,C50111,Malignant neoplasm of central portion of right female breast,2,2024,false,
265,12,active,2024-03-18,,C50112,Malignant neoplasm of central portion of left female breast,2,2024,false,
266,12,active,2024-03-18,,C50119,Malignant neoplasm of central portion of unspecified female breast,2,2024,false,
267,12,active,2024-03-18,,C5012,"Malignant neoplasm of central portion of breast, male",2,2024,false,
268,12,active,2024-03-18,,C50121,Malignant neoplasm of central portion of right male breast,2,2024,false,
269,12,active,2024-03-18,,C50122,Malignant neoplasm of central portion of left male breast,2,2024,false,
270,12,active,2024-03-18,,C50129,Malignant neoplasm of central portion of unspecified male breast,2,2024,false,
271,12,active,2024-03-18,,C502,Malignant neoplasm of upper-inner quadrant of breast,2,2024,false,
272,12,active,2024-03-18,,C5021,"Malignant neoplasm of upper-inner quadrant of breast, female",2,2024,false,
273,12,active,2024-03-18,,C50211,Malignant neoplasm of upper-inner quadrant of right female breast,2,2024,false,
274,12,active,2024-03-18,,C50212,Malignant neoplasm of upper-inner quadrant of left female breast,2,2024,false,
275,12,active,2024-03-18,,C50219,Malignant neoplasm of upper-inner quadrant of unspecified female breast,2,2024,false,
276,12,active,2024-03-18,,C5022,"Malignant neoplasm of upper-inner quadrant of breast, male",2,2024,false,
277,12,active,2024-03-18,,C50221,Malignant neoplasm of upper-inner quadrant of right male breast,2,2024,false,
278,12,active,2024-03-18,,C50222,Malignant neoplasm of upper-inner quadrant of left male breast,2,2024,false,
279,12,active,2024-03-18,,C50229,Malignant neoplasm of upper-inner quadrant of unspecified male breast,2,2024,false,
280,12,active,2024-03-18,,C503,Malignant neoplasm of lower-inner quadrant of breast,2,2024,false,
281,12,active,2024-03-18,,C5031,"Malignant neoplasm of lower-inner quadrant of breast, female",2,2024,false,
282,12,active,2024-03-18,,C50311,Malignant neoplasm of lower-inner quadrant of right female breast,2,2024,false,
283,12,active,2024-03-18,,C50312,Malignant neoplasm of lower-inner quadrant of left female breast,2,2024,false,
284,12,active,2024-03-18,,C50319,Malignant neoplasm of lower-inner quadrant of unspecified female breast,2,2024,false,
285,12,active,2024-03-18,,C5032,"Malignant neoplasm of lower-inner quadrant of breast, male",2,2024,false,
286,12,active,2024-03-18,,C50321,Malignant neoplasm of lower-inner quadrant of right male breast,2,2024,false,
287,12,active,2024-03-18,,C50322,Malignant neoplasm of lower-inner quadrant of left male breast,2,2024,false,
288,12,active,2024-03-18,,C50329,Malignant neoplasm of lower-inner quadrant of unspecified male breast,2,2024,false,
289,12,active,2024-03-18,,C504,Malignant neoplasm of upper-outer quadrant of breast,2,2024,false,
290,12,active,2024-03-18,,C5041,"Malignant neoplasm of upper-outer quadrant of breast, female",2,2024,false,
291,12,active,2024-03-18,,C50411,Malignant neoplasm of upper-outer quadrant of right female breast,2,2024,false,
292,12,active,2024-03-18,,C50412,Malignant neoplasm of upper-outer quadrant of left female breast,2,2024,false,
293,12,active,2024-03-18,,C50419,Malignant neoplasm of upper-outer quadrant of unspecified female breast,2,2024,false,
294,12,active,2024-03-18,,C5042,"Malignant neoplasm of upper-outer quadrant of breast, male",2,2024,false,
295,12,active,2024-03-18,,C50421,Malignant neoplasm of upper-outer quadrant of right male breast,2,2024,false,
296,12,active,2024-03-18,,C50422,Malignant neoplasm of upper-outer quadrant of left male breast,2,2024,false,
297,12,active,2024-03-18,,C50429,Malignant neoplasm of upper-outer quadrant of unspecified male breast,2,2024,false,
298,12,active,2024-03-18,,C505,Malignant neoplasm of lower-outer quadrant of breast,2,2024,false,
299,12,active,2024-03-18,,C5051,"Malignant neoplasm of lower-outer quadrant of breast, female",2,2024,false,
300,12,active,2024-03-18,,C50511,Malignant neoplasm of lower-outer quadrant of right female breast,2,2024,false,
