condition_family,condition,icd_10_cm_code,icd_10_cm_description,condition_column_name
Autoimmune Disease,Rheumatoid Arthritis,M05141,Rheumatoid lung disease with rheumatoid arthritis of right hand,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05142,Rheumatoid lung disease with rheumatoid arthritis of left hand,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05149,Rheumatoid lung disease with rheumatoid arthritis of unspecified hand,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05151,Rheumatoid lung disease with rheumatoid arthritis of right hip,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05152,Rheumatoid lung disease with rheumatoid arthritis of left hip,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05159,Rheumatoid lung disease with rheumatoid arthritis of unspecified hip,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05161,Rheumatoid lung disease with rheumatoid arthritis of right knee,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05162,Rheumatoid lung disease with rheumatoid arthritis of left knee,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05169,Rheumatoid lung disease with rheumatoid arthritis of unspecified knee,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05171,Rheumatoid lung disease with rheumatoid arthritis of right ankle and foot,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05172,Rheumatoid lung disease with rheumatoid arthritis of left ankle and foot,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05179,Rheumatoid lung disease with rheumatoid arthritis of unspecified ankle and foot,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M0519,Rheumatoid lung disease with rheumatoid arthritis of multiple sites,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M0520,Rheumatoid vasculitis with rheumatoid arthritis of unspecified site,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05211,Rheumatoid vasculitis with rheumatoid arthritis of right shoulder,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05212,Rheumatoid vasculitis with rheumatoid arthritis of left shoulder,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05219,Rheumatoid vasculitis with rheumatoid arthritis of unspecified shoulder,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05221,Rheumatoid vasculitis with rheumatoid arthritis of right elbow,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05222,Rheumatoid vasculitis with rheumatoid arthritis of left elbow,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05229,Rheumatoid vasculitis with rheumatoid arthritis of unspecified elbow,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05231,Rheumatoid vasculitis with rheumatoid arthritis of right wrist,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05232,Rheumatoid vasculitis with rheumatoid arthritis of left wrist,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05239,Rheumatoid vasculitis with rheumatoid arthritis of unspecified wrist,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05241,Rheumatoid vasculitis with rheumatoid arthritis of right hand,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05242,Rheumatoid vasculitis with rheumatoid arthritis of left hand,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05249,Rheumatoid vasculitis with rheumatoid arthritis of unspecified hand,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05251,Rheumatoid vasculitis with rheumatoid arthritis of right hip,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05252,Rheumatoid vasculitis with rheumatoid arthritis of left hip,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05259,Rheumatoid vasculitis with rheumatoid arthritis of unspecified hip,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05261,Rheumatoid vasculitis with rheumatoid arthritis of right knee,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05262,Rheumatoid vasculitis with rheumatoid arthritis of left knee,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05269,Rheumatoid vasculitis with rheumatoid arthritis of unspecified knee,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05271,Rheumatoid vasculitis with rheumatoid arthritis of right ankle and foot,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05272,Rheumatoid vasculitis with rheumatoid arthritis of left ankle and foot,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05279,Rheumatoid vasculitis with rheumatoid arthritis of unspecified ankle and foot,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M0529,Rheumatoid vasculitis with rheumatoid arthritis of multiple sites,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M0530,Rheumatoid heart disease with rheumatoid arthritis of unspecified site,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05311,Rheumatoid heart disease with rheumatoid arthritis of right shoulder,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05312,Rheumatoid heart disease with rheumatoid arthritis of left shoulder,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05319,Rheumatoid heart disease with rheumatoid arthritis of unspecified shoulder,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05321,Rheumatoid heart disease with rheumatoid arthritis of right elbow,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05322,Rheumatoid heart disease with rheumatoid arthritis of left elbow,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05329,Rheumatoid heart disease with rheumatoid arthritis of unspecified elbow,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05331,Rheumatoid heart disease with rheumatoid arthritis of right wrist,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05332,Rheumatoid heart disease with rheumatoid arthritis of left wrist,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05339,Rheumatoid heart disease with rheumatoid arthritis of unspecified wrist,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05341,Rheumatoid heart disease with rheumatoid arthritis of right hand,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05342,Rheumatoid heart disease with rheumatoid arthritis of left hand,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05349,Rheumatoid heart disease with rheumatoid arthritis of unspecified hand,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05351,Rheumatoid heart disease with rheumatoid arthritis of right hip,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05352,Rheumatoid heart disease with rheumatoid arthritis of left hip,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05359,Rheumatoid heart disease with rheumatoid arthritis of unspecified hip,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05361,Rheumatoid heart disease with rheumatoid arthritis of right knee,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05362,Rheumatoid heart disease with rheumatoid arthritis of left knee,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05369,Rheumatoid heart disease with rheumatoid arthritis of unspecified knee,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05371,Rheumatoid heart disease with rheumatoid arthritis of right ankle and foot,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05372,Rheumatoid heart disease with rheumatoid arthritis of left ankle and foot,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05379,Rheumatoid heart disease with rheumatoid arthritis of unspecified ankle and foot,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M0539,Rheumatoid heart disease with rheumatoid arthritis of multiple sites,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M0540,Rheumatoid myopathy with rheumatoid arthritis of unspecified site,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05411,Rheumatoid myopathy with rheumatoid arthritis of right shoulder,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05412,Rheumatoid myopathy with rheumatoid arthritis of left shoulder,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05419,Rheumatoid myopathy with rheumatoid arthritis of unspecified shoulder,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05421,Rheumatoid myopathy with rheumatoid arthritis of right elbow,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05422,Rheumatoid myopathy with rheumatoid arthritis of left elbow,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05429,Rheumatoid myopathy with rheumatoid arthritis of unspecified elbow,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05431,Rheumatoid myopathy with rheumatoid arthritis of right wrist,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05432,Rheumatoid myopathy with rheumatoid arthritis of left wrist,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05439,Rheumatoid myopathy with rheumatoid arthritis of unspecified wrist,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05441,Rheumatoid myopathy with rheumatoid arthritis of right hand,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05442,Rheumatoid myopathy with rheumatoid arthritis of left hand,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05449,Rheumatoid myopathy with rheumatoid arthritis of unspecified hand,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05451,Rheumatoid myopathy with rheumatoid arthritis of right hip,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05452,Rheumatoid myopathy with rheumatoid arthritis of left hip,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05459,Rheumatoid myopathy with rheumatoid arthritis of unspecified hip,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05461,Rheumatoid myopathy with rheumatoid arthritis of right knee,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05462,Rheumatoid myopathy with rheumatoid arthritis of left knee,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05469,Rheumatoid myopathy with rheumatoid arthritis of unspecified knee,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05471,Rheumatoid myopathy with rheumatoid arthritis of right ankle and foot,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05472,Rheumatoid myopathy with rheumatoid arthritis of left ankle and foot,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05479,Rheumatoid myopathy with rheumatoid arthritis of unspecified ankle and foot,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M0549,Rheumatoid myopathy with rheumatoid arthritis of multiple sites,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M0550,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified site,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05511,Rheumatoid polyneuropathy with rheumatoid arthritis of right shoulder,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05512,Rheumatoid polyneuropathy with rheumatoid arthritis of left shoulder,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05519,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified shoulder,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05521,Rheumatoid polyneuropathy with rheumatoid arthritis of right elbow,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05522,Rheumatoid polyneuropathy with rheumatoid arthritis of left elbow,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05529,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified elbow,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05531,Rheumatoid polyneuropathy with rheumatoid arthritis of right wrist,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05532,Rheumatoid polyneuropathy with rheumatoid arthritis of left wrist,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05539,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified wrist,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05541,Rheumatoid polyneuropathy with rheumatoid arthritis of right hand,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05542,Rheumatoid polyneuropathy with rheumatoid arthritis of left hand,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05549,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified hand,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05551,Rheumatoid polyneuropathy with rheumatoid arthritis of right hip,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05552,Rheumatoid polyneuropathy with rheumatoid arthritis of left hip,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05559,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified hip,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05561,Rheumatoid polyneuropathy with rheumatoid arthritis of right knee,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05562,Rheumatoid polyneuropathy with rheumatoid arthritis of left knee,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05569,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified knee,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05571,Rheumatoid polyneuropathy with rheumatoid arthritis of right ankle and foot,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05572,Rheumatoid polyneuropathy with rheumatoid arthritis of left ankle and foot,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05579,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified ankle and foot,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M0559,Rheumatoid polyneuropathy with rheumatoid arthritis of multiple sites,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M0560,Rheumatoid arthritis of unspecified site with involvement of other organs and systems,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05611,Rheumatoid arthritis of right shoulder with involvement of other organs and systems,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05612,Rheumatoid arthritis of left shoulder with involvement of other organs and systems,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05619,Rheumatoid arthritis of unspecified shoulder with involvement of other organs and systems,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05621,Rheumatoid arthritis of right elbow with involvement of other organs and systems,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05622,Rheumatoid arthritis of left elbow with involvement of other organs and systems,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05629,Rheumatoid arthritis of unspecified elbow with involvement of other organs and systems,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05631,Rheumatoid arthritis of right wrist with involvement of other organs and systems,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05632,Rheumatoid arthritis of left wrist with involvement of other organs and systems,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05639,Rheumatoid arthritis of unspecified wrist with involvement of other organs and systems,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05641,Rheumatoid arthritis of right hand with involvement of other organs and systems,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05642,Rheumatoid arthritis of left hand with involvement of other organs and systems,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05649,Rheumatoid arthritis of unspecified hand with involvement of other organs and systems,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05651,Rheumatoid arthritis of right hip with involvement of other organs and systems,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05652,Rheumatoid arthritis of left hip with involvement of other organs and systems,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05659,Rheumatoid arthritis of unspecified hip with involvement of other organs and systems,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05661,Rheumatoid arthritis of right knee with involvement of other organs and systems,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05662,Rheumatoid arthritis of left knee with involvement of other organs and systems,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05669,Rheumatoid arthritis of unspecified knee with involvement of other organs and systems,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05671,Rheumatoid arthritis of right ankle and foot with involvement of other organs and systems,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05672,Rheumatoid arthritis of left ankle and foot with involvement of other organs and systems,RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M05679,Rheumatoid arthritis of unspecified ankle and foot with involvement of other organs and systems,RHEUMATOID_ARTHRITIS
