condition_id,condition,condition_column_name,chronic_condition_type,condition_category,additional_logic,claims_qualification,inclusion_type,code_system,code
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10129
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10130
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10131
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10132
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10139
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F1014
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10150
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10151
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10159
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10180
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10181
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10182
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10188
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F1019
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F1020
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10220
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10221
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10229
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10230
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10231
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10232
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10239
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F1024
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10250
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10251
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10259
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F1026
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F1027
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10280
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10281
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10282
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10288
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F1029
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10920
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10921
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10929
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10930
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10931
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10932
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10939
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F1094
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10950
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10951
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10959
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F1096
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F1097
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10980
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10981
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10982
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F10988
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,F1099
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,G621
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,I426
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,K2920
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,K2921
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,K700
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,K7010
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,K7011
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,K702
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,K7030
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,K7031
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,K7040
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,K7041
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,K709
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,P043
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,Q860
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,T510X1A
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,T510X2A
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,T510X3A
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,T510X4A
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,Z7141
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-CM,Z7142
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-PCS,HZ2ZZZZ
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-PCS,HZ30ZZZ
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-PCS,HZ31ZZZ
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-PCS,HZ32ZZZ
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-PCS,HZ33ZZZ
3,Alcohol Use Disorders,alcohol_use_disorders,Other chronic or potentially disabling conditions,Substance Abuse,None,At least 1 inpatient claim OR 2 other non-drug claims of any service type during the two-year period; Procedure codes require only one claim to qualify,Include,ICD-10-PCS,HZ34ZZZ
