model_version,factor_type,enrollment_status,medicaid_status,dual_status,orec,institutional_status,payment_hcc_count,description,coefficient
CMS-HCC-V24,Payment HCC Counts,Continuing,Yes,Partial,Aged,No,8,8 payment HCCs,0.125
CMS-HCC-V24,Payment HCC Counts,Continuing,Yes,Partial,Disabled,No,8,8 payment HCCs,0.452
CMS-HCC-V24,Payment HCC Counts,Continuing,No,Non,Aged,No,9,9 payment HCCs,0.258
CMS-HCC-V24,Payment HCC Counts,Continuing,No,Non,Disabled,No,9,9 payment HCCs,0.441
CMS-HCC-V24,Payment HCC Counts,Continuing,Yes,Full,Aged,No,9,9 payment HCCs,0.156
CMS-HCC-V24,Payment HCC Counts,Continuing,Yes,Full,Disabled,No,9,9 payment HCCs,0.549
CMS-HCC-V24,Payment HCC Counts,Continuing,Yes,Partial,Aged,No,9,9 payment HCCs,0.402
CMS-HCC-V24,Payment HCC Counts,Continuing,Yes,Partial,Disabled,No,9,9 payment HCCs,0.499
CMS-HCC-V24,Payment HCC Counts,Continuing,No,Non,Aged,No,>=10,10 or more payment HCCs,0.505
CMS-HCC-V24,Payment HCC Counts,Continuing,No,Non,Disabled,No,>=10,10 or more payment HCCs,0.897
CMS-HCC-V24,Payment HCC Counts,Continuing,Yes,Full,Aged,No,>=10,10 or more payment HCCs,0.373
CMS-HCC-V24,Payment HCC Counts,Continuing,Yes,Full,Disabled,No,>=10,10 or more payment HCCs,1.056
CMS-HCC-V24,Payment HCC Counts,Continuing,Yes,Partial,Aged,No,>=10,10 or more payment HCCs,0.548
CMS-HCC-V24,Payment HCC Counts,Continuing,Yes,Partial,Disabled,No,>=10,10 or more payment HCCs,0.893
CMS-HCC-V28,Payment HCC Counts,Continuing,No,Non,Aged,No,5,5 payment HCCs,0.050
CMS-HCC-V28,Payment HCC Counts,Continuing,No,Non,Disabled,No,5,5 payment HCCs,0.088
CMS-HCC-V28,Payment HCC Counts,Continuing,Yes,Full,Aged,No,5,5 payment HCCs,0.049
CMS-HCC-V28,Payment HCC Counts,Continuing,Yes,Full,Disabled,No,5,5 payment HCCs,0.095
CMS-HCC-V28,Payment HCC Counts,Continuing,Yes,Partial,Aged,No,5,5 payment HCCs,0.016
CMS-HCC-V28,Payment HCC Counts,Continuing,Yes,Partial,Disabled,No,5,5 payment HCCs,0.105
CMS-HCC-V28,Payment HCC Counts,Continuing,No,Non,Aged,No,6,6 payment HCCs,0.102
CMS-HCC-V28,Payment HCC Counts,Continuing,No,Non,Disabled,No,6,6 payment HCCs,0.223
CMS-HCC-V28,Payment HCC Counts,Continuing,Yes,Full,Aged,No,6,6 payment HCCs,0.071
CMS-HCC-V28,Payment HCC Counts,Continuing,Yes,Full,Disabled,No,6,6 payment HCCs,0.245
CMS-HCC-V28,Payment HCC Counts,Continuing,Yes,Partial,Aged,No,6,6 payment HCCs,0.096
CMS-HCC-V28,Payment HCC Counts,Continuing,Yes,Partial,Disabled,No,6,6 payment HCCs,0.191
CMS-HCC-V28,Payment HCC Counts,Continuing,No,Non,Aged,No,7,7 payment HCCs,0.188
CMS-HCC-V28,Payment HCC Counts,Continuing,No,Non,Disabled,No,7,7 payment HCCs,0.380
CMS-HCC-V28,Payment HCC Counts,Continuing,Yes,Full,Aged,No,7,7 payment HCCs,0.160
CMS-HCC-V28,Payment HCC Counts,Continuing,Yes,Full,Disabled,No,7,7 payment HCCs,0.472
CMS-HCC-V28,Payment HCC Counts,Continuing,Yes,Partial,Aged,No,7,7 payment HCCs,0.207
CMS-HCC-V28,Payment HCC Counts,Continuing,Yes,Partial,Disabled,No,7,7 payment HCCs,0.435
CMS-HCC-V28,Payment HCC Counts,Continuing,No,Non,Aged,No,8,8 payment HCCs,0.316
CMS-HCC-V28,Payment HCC Counts,Continuing,No,Non,Disabled,No,8,8 payment HCCs,0.440
CMS-HCC-V28,Payment HCC Counts,Continuing,Yes,Full,Aged,No,8,8 payment HCCs,0.267
CMS-HCC-V28,Payment HCC Counts,Continuing,Yes,Full,Disabled,No,8,8 payment HCCs,0.607
CMS-HCC-V28,Payment HCC Counts,Continuing,Yes,Partial,Aged,No,8,8 payment HCCs,0.345
CMS-HCC-V28,Payment HCC Counts,Continuing,Yes,Partial,Disabled,No,8,8 payment HCCs,0.581
CMS-HCC-V28,Payment HCC Counts,Continuing,No,Non,Aged,No,9,9 payment HCCs,0.444
CMS-HCC-V28,Payment HCC Counts,Continuing,No,Non,Disabled,No,9,9 payment HCCs,0.750
CMS-HCC-V28,Payment HCC Counts,Continuing,Yes,Full,Aged,No,9,9 payment HCCs,0.353
CMS-HCC-V28,Payment HCC Counts,Continuing,Yes,Full,Disabled,No,9,9 payment HCCs,0.841
CMS-HCC-V28,Payment HCC Counts,Continuing,Yes,Partial,Aged,No,9,9 payment HCCs,0.345
CMS-HCC-V28,Payment HCC Counts,Continuing,Yes,Partial,Disabled,No,9,9 payment HCCs,0.823
CMS-HCC-V28,Payment HCC Counts,Continuing,No,Non,Aged,No,>=10,10 or more payment HCCs,0.728
CMS-HCC-V28,Payment HCC Counts,Continuing,No,Non,Disabled,No,>=10,10 or more payment HCCs,1.431
CMS-HCC-V28,Payment HCC Counts,Continuing,Yes,Full,Aged,No,>=10,10 or more payment HCCs,0.746
CMS-HCC-V28,Payment HCC Counts,Continuing,Yes,Full,Disabled,No,>=10,10 or more payment HCCs,1.471
CMS-HCC-V28,Payment HCC Counts,Continuing,Yes,Partial,Aged,No,>=10,10 or more payment HCCs,0.901
CMS-HCC-V28,Payment HCC Counts,Continuing,Yes,Partial,Disabled,No,>=10,10 or more payment HCCs,1.268
CMS-HCC-V28,Payment HCC Counts,Continuing,,,,Yes,>=10,10 or more payment HCCs,0.373
