"data_quality_category","graph_name","level_of_detail","y_axis_description","x_axis_description","filter_description","sum_description","y_axis","x_axis","chart_filter","value"
"timeliness","medical_paid_amount_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","total_paid_amount","2016-07-01 00:00:00.000",,"2016-01-01 00:00:00.000",247275.48041882366
"timeliness","medical_paid_amount_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","total_paid_amount","2018-06-01 00:00:00.000",,"2018-01-01 00:00:00.000",433272.9503222108
"timeliness","medical_paid_amount_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","total_paid_amount","2016-02-01 00:00:00.000",,"2016-01-01 00:00:00.000",284215.6783163734
"timeliness","medical_paid_amount_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","total_paid_amount","2016-11-01 00:00:00.000",,"2016-01-01 00:00:00.000",311160.921185717
"timeliness","medical_paid_amount_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","total_paid_amount","2017-01-01 00:00:00.000",,"2017-01-01 00:00:00.000",270840.5788933933
"timeliness","medical_paid_amount_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","total_paid_amount","2017-02-01 00:00:00.000",,"2017-01-01 00:00:00.000",287656.1190452948
"timeliness","medical_paid_amount_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","total_paid_amount","2018-01-01 00:00:00.000",,"2018-01-01 00:00:00.000",455229.7674611211
"timeliness","medical_paid_amount_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","total_paid_amount","2016-10-01 00:00:00.000",,"2016-01-01 00:00:00.000",290113.46079835296
"timeliness","medical_paid_amount_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","total_paid_amount","2017-06-01 00:00:00.000",,"2017-01-01 00:00:00.000",302672.62045583874
"timeliness","medical_paid_amount_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","total_paid_amount","2017-12-01 00:00:00.000",,"2017-01-01 00:00:00.000",532607.0300055947
"timeliness","medical_paid_amount_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","total_paid_amount","2018-07-01 00:00:00.000",,"2018-01-01 00:00:00.000",488192.93998798914
"timeliness","medical_paid_amount_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","total_paid_amount","2018-04-01 00:00:00.000",,"2018-01-01 00:00:00.000",622195.5175362974
"timeliness","medical_paid_amount_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","total_paid_amount","2016-05-01 00:00:00.000",,"2016-01-01 00:00:00.000",311399.2693416476
"timeliness","medical_paid_amount_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","total_paid_amount","2018-09-01 00:00:00.000",,"2018-01-01 00:00:00.000",477791.6306128055
"timeliness","medical_paid_amount_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","total_paid_amount","2018-11-01 00:00:00.000",,"2018-01-01 00:00:00.000",229155.51058063656
"timeliness","medical_paid_amount_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","total_paid_amount","2016-08-01 00:00:00.000",,"2016-01-01 00:00:00.000",371173.0401700735
"timeliness","medical_paid_amount_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","total_paid_amount","2016-09-01 00:00:00.000",,"2016-01-01 00:00:00.000",261523.2101484239
"timeliness","medical_paid_amount_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","total_paid_amount","2016-03-01 00:00:00.000",,"2016-01-01 00:00:00.000",328054.0199290961
"timeliness","medical_paid_amount_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","total_paid_amount","2017-10-01 00:00:00.000",,"2017-01-01 00:00:00.000",426844.2382067591
"timeliness","medical_paid_amount_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","total_paid_amount","2018-12-01 00:00:00.000",,"2018-01-01 00:00:00.000",161922.31971132755
"timeliness","medical_paid_amount_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","total_paid_amount","2017-09-01 00:00:00.000",,"2017-01-01 00:00:00.000",386331.1711095385
"timeliness","medical_paid_amount_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","total_paid_amount","2018-08-01 00:00:00.000",,"2018-01-01 00:00:00.000",473158.96812120825
"timeliness","medical_paid_amount_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","total_paid_amount","2016-06-01 00:00:00.000",,"2016-01-01 00:00:00.000",233869.4603516236
"timeliness","medical_paid_amount_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","total_paid_amount","2018-02-01 00:00:00.000",,"2018-01-01 00:00:00.000",373970.40093963966
"timeliness","medical_paid_amount_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","total_paid_amount","2016-12-01 00:00:00.000",,"2016-01-01 00:00:00.000",383221.7103853822
"timeliness","medical_claim_count_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","unique_number_of_claims","2016-07-01 00:00:00.000",,"2016-01-01 00:00:00.000",2188.0
"timeliness","medical_claim_count_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","unique_number_of_claims","2018-06-01 00:00:00.000",,"2018-01-01 00:00:00.000",3331.0
"timeliness","medical_claim_count_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","unique_number_of_claims","2016-03-01 00:00:00.000",,"2016-01-01 00:00:00.000",2317.0
"timeliness","medical_claim_count_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","unique_number_of_claims","2017-10-01 00:00:00.000",,"2017-01-01 00:00:00.000",2692.0
"timeliness","medical_claim_count_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","unique_number_of_claims","2016-09-01 00:00:00.000",,"2016-01-01 00:00:00.000",2213.0
"timeliness","medical_claim_count_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","unique_number_of_claims","2016-08-01 00:00:00.000",,"2016-01-01 00:00:00.000",2436.0
"timeliness","medical_claim_count_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","unique_number_of_claims","2018-05-01 00:00:00.000",,"2018-01-01 00:00:00.000",3585.0
"timeliness","medical_claim_count_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","unique_number_of_claims","2017-03-01 00:00:00.000",,"2017-01-01 00:00:00.000",2257.0
"timeliness","medical_claim_count_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","unique_number_of_claims","2018-08-01 00:00:00.000",,"2018-01-01 00:00:00.000",2756.0
"timeliness","medical_claim_count_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","unique_number_of_claims","2017-09-01 00:00:00.000",,"2017-01-01 00:00:00.000",2577.0
"timeliness","medical_claim_count_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","unique_number_of_claims","2018-02-01 00:00:00.000",,"2018-01-01 00:00:00.000",2671.0
"timeliness","medical_claim_count_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","unique_number_of_claims","2016-06-01 00:00:00.000",,"2016-01-01 00:00:00.000",2034.0
"timeliness","medical_claim_count_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","unique_number_of_claims","2016-12-01 00:00:00.000",,"2016-01-01 00:00:00.000",2265.0
"timeliness","medical_claim_count_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","unique_number_of_claims","2017-08-01 00:00:00.000",,"2017-01-01 00:00:00.000",2344.0
"timeliness","medical_claim_count_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","unique_number_of_claims","2017-04-01 00:00:00.000",,"2017-01-01 00:00:00.000",2139.0
"timeliness","medical_claim_count_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","unique_number_of_claims","2018-10-01 00:00:00.000",,"2018-01-01 00:00:00.000",2329.0
"timeliness","medical_claim_count_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","unique_number_of_claims","2018-01-01 00:00:00.000",,"2018-01-01 00:00:00.000",2791.0
"timeliness","medical_claim_count_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","unique_number_of_claims","2017-01-01 00:00:00.000",,"2017-01-01 00:00:00.000",2174.0
"timeliness","medical_claim_count_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","unique_number_of_claims","2017-02-01 00:00:00.000",,"2017-01-01 00:00:00.000",2165.0
"timeliness","medical_claim_count_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","unique_number_of_claims","2017-06-01 00:00:00.000",,"2017-01-01 00:00:00.000",2166.0
"timeliness","medical_claim_count_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","unique_number_of_claims","2016-10-01 00:00:00.000",,"2016-01-01 00:00:00.000",2290.0
"timeliness","medical_claim_count_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","unique_number_of_claims","2017-12-01 00:00:00.000",,"2017-01-01 00:00:00.000",2852.0
"timeliness","medical_claim_count_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","unique_number_of_claims","2016-11-01 00:00:00.000",,"2016-01-01 00:00:00.000",2059.0
"timeliness","medical_claim_count_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","unique_number_of_claims","2016-04-01 00:00:00.000",,"2016-01-01 00:00:00.000",2088.0
"timeliness","medical_claim_count_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","unique_number_of_claims","2017-07-01 00:00:00.000",,"2017-01-01 00:00:00.000",2150.0
"timeliness","medical_claim_count_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","unique_number_of_claims","2018-03-01 00:00:00.000",,"2018-01-01 00:00:00.000",3238.0
"timeliness","medical_claim_count_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","unique_number_of_claims","2016-01-01 00:00:00.000",,"2016-01-01 00:00:00.000",1267.0
"timeliness","medical_claim_count_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","unique_number_of_claims","2018-04-01 00:00:00.000",,"2018-01-01 00:00:00.000",3191.0
"timeliness","medical_claim_count_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","unique_number_of_claims","2016-02-01 00:00:00.000",,"2016-01-01 00:00:00.000",2145.0
"timeliness","medical_claim_count_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","unique_number_of_claims","2018-12-01 00:00:00.000",,"2018-01-01 00:00:00.000",1535.0
"timeliness","medical_claim_count_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","unique_number_of_claims","2016-05-01 00:00:00.000",,"2016-01-01 00:00:00.000",2227.0
"timeliness","medical_claim_count_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","unique_number_of_claims","2018-09-01 00:00:00.000",,"2018-01-01 00:00:00.000",2797.0
"timeliness","medical_claim_count_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","unique_number_of_claims","2018-11-01 00:00:00.000",,"2018-01-01 00:00:00.000",1795.0
"timeliness","medical_claim_count_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","unique_number_of_claims","2018-07-01 00:00:00.000",,"2018-01-01 00:00:00.000",3076.0
"timeliness","medical_claim_count_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","unique_number_of_claims","2017-05-01 00:00:00.000",,"2017-01-01 00:00:00.000",2311.0
"timeliness","medical_claim_count_vs_end_date_matrix","month","claim_end_date","paid_date","paid_year","unique_number_of_claims","2017-11-01 00:00:00.000",,"2017-01-01 00:00:00.000",2676.0
"reasonableness","medical_claim_paid_over_time_monthly","month","N/A","claim_end_date","paid_year","total_paid_amount",,"2016-11-01 00:00:00.000","2016-01-01 00:00:00.000",311160.921185717
"reasonableness","medical_claim_paid_over_time_monthly","month","N/A","claim_end_date","paid_year","total_paid_amount",,"2016-03-01 00:00:00.000","2016-01-01 00:00:00.000",328054.0199290961
"reasonableness","medical_claim_paid_over_time_monthly","month","N/A","claim_end_date","paid_year","total_paid_amount",,"2016-06-01 00:00:00.000","2016-01-01 00:00:00.000",233869.4603516236
"reasonableness","medical_claim_paid_over_time_monthly","month","N/A","claim_end_date","paid_year","total_paid_amount",,"2018-11-01 00:00:00.000","2018-01-01 00:00:00.000",229155.51058063656
"reasonableness","medical_claim_paid_over_time_monthly","month","N/A","claim_end_date","paid_year","total_paid_amount",,"2016-07-01 00:00:00.000","2016-01-01 00:00:00.000",247275.48041882366
"reasonableness","medical_claim_paid_over_time_monthly","month","N/A","claim_end_date","paid_year","total_paid_amount",,"2018-06-01 00:00:00.000","2018-01-01 00:00:00.000",433272.9503222108
"reasonableness","medical_claim_paid_over_time_monthly","month","N/A","claim_end_date","paid_year","total_paid_amount",,"2018-08-01 00:00:00.000","2018-01-01 00:00:00.000",473158.96812120825
"reasonableness","medical_claim_paid_over_time_monthly","month","N/A","claim_end_date","paid_year","total_paid_amount",,"2018-10-01 00:00:00.000","2018-01-01 00:00:00.000",321258.21053815633
"reasonableness","medical_claim_paid_over_time_monthly","month","N/A","claim_end_date","paid_year","total_paid_amount",,"2016-10-01 00:00:00.000","2016-01-01 00:00:00.000",290113.46079835296
"reasonableness","medical_claim_paid_over_time_monthly","month","N/A","claim_end_date","paid_year","total_paid_amount",,"2018-03-01 00:00:00.000","2018-01-01 00:00:00.000",528989.0198929366
"reasonableness","medical_claim_paid_over_time_monthly","month","N/A","claim_end_date","paid_year","total_paid_amount",,"2017-08-01 00:00:00.000","2017-01-01 00:00:00.000",458626.51727973856
"reasonableness","medical_claim_paid_over_time_monthly","month","N/A","claim_end_date","paid_year","total_paid_amount",,"2017-01-01 00:00:00.000","2017-01-01 00:00:00.000",270840.5788933933
"reasonableness","medical_claim_paid_over_time_monthly","month","N/A","claim_end_date","paid_year","total_paid_amount",,"2018-04-01 00:00:00.000","2018-01-01 00:00:00.000",622195.5175362974
"reasonableness","medical_claim_paid_over_time_monthly","month","N/A","claim_end_date","paid_year","total_paid_amount",,"2018-05-01 00:00:00.000","2018-01-01 00:00:00.000",656549.8293769509
"reasonableness","medical_claim_paid_over_time_monthly","month","N/A","claim_end_date","paid_year","total_paid_amount",,"2018-01-01 00:00:00.000","2018-01-01 00:00:00.000",455229.7674611211
"reasonableness","medical_claim_paid_over_time_monthly","month","N/A","claim_end_date","paid_year","total_paid_amount",,"2018-12-01 00:00:00.000","2018-01-01 00:00:00.000",161922.31971132755
"reasonableness","medical_claim_paid_over_time_monthly","month","N/A","claim_end_date","paid_year","total_paid_amount",,"2017-05-01 00:00:00.000","2017-01-01 00:00:00.000",350415.890228156
"reasonableness","medical_claim_paid_over_time_monthly","month","N/A","claim_end_date","paid_year","total_paid_amount",,"2017-11-01 00:00:00.000","2017-01-01 00:00:00.000",427843.3007979281
"reasonableness","medical_claim_paid_over_time_monthly","month","N/A","claim_end_date","paid_year","total_paid_amount",,"2017-10-01 00:00:00.000","2017-01-01 00:00:00.000",426844.2382067591
"reasonableness","medical_claim_paid_over_time_monthly","month","N/A","claim_end_date","paid_year","total_paid_amount",,"2017-02-01 00:00:00.000","2017-01-01 00:00:00.000",287656.1190452948
"reasonableness","medical_claim_paid_over_time_monthly","month","N/A","claim_end_date","paid_year","total_paid_amount",,"2017-06-01 00:00:00.000","2017-01-01 00:00:00.000",302672.62045583874
"reasonableness","medical_claim_paid_over_time_monthly","month","N/A","claim_end_date","paid_year","total_paid_amount",,"2016-04-01 00:00:00.000","2016-01-01 00:00:00.000",266689.3301709965
"reasonableness","medical_claim_paid_over_time_monthly","month","N/A","claim_end_date","paid_year","total_paid_amount",,"2017-07-01 00:00:00.000","2017-01-01 00:00:00.000",260214.66852292046
"reasonableness","medical_claim_paid_over_time_monthly","month","N/A","claim_end_date","paid_year","total_paid_amount",,"2017-09-01 00:00:00.000","2017-01-01 00:00:00.000",386331.1711095385
"reasonableness","medical_claim_paid_over_time_monthly","month","N/A","claim_end_date","paid_year","total_paid_amount",,"2017-03-01 00:00:00.000","2017-01-01 00:00:00.000",295193.8291127868
"reasonableness","medical_claim_paid_over_time_monthly","month","N/A","claim_end_date","paid_year","total_paid_amount",,"2016-02-01 00:00:00.000","2016-01-01 00:00:00.000",284215.6783163734
"reasonableness","medical_claim_paid_over_time_monthly","month","N/A","claim_end_date","paid_year","total_paid_amount",,"2016-01-01 00:00:00.000","2016-01-01 00:00:00.000",159097.7701275237
"reasonableness","medical_claim_paid_over_time_monthly","month","N/A","claim_end_date","paid_year","total_paid_amount",,"2018-02-01 00:00:00.000","2018-01-01 00:00:00.000",373970.40093963966
"reasonableness","medical_claim_paid_over_time_monthly","month","N/A","claim_end_date","paid_year","total_paid_amount",,"2018-07-01 00:00:00.000","2018-01-01 00:00:00.000",488192.93998798914
"reasonableness","medical_claim_paid_over_time_monthly","month","N/A","claim_end_date","paid_year","total_paid_amount",,"2016-05-01 00:00:00.000","2016-01-01 00:00:00.000",311399.2693416476
"reasonableness","medical_claim_paid_over_time_monthly","month","N/A","claim_end_date","paid_year","total_paid_amount",,"2018-09-01 00:00:00.000","2018-01-01 00:00:00.000",477791.6306128055
"reasonableness","medical_claim_paid_over_time_monthly","month","N/A","claim_end_date","paid_year","total_paid_amount",,"2016-09-01 00:00:00.000","2016-01-01 00:00:00.000",261523.2101484239
"reasonableness","medical_claim_paid_over_time_monthly","month","N/A","claim_end_date","paid_year","total_paid_amount",,"2016-08-01 00:00:00.000","2016-01-01 00:00:00.000",371173.0401700735
"reasonableness","medical_claim_paid_over_time_monthly","month","N/A","claim_end_date","paid_year","total_paid_amount",,"2017-12-01 00:00:00.000","2017-01-01 00:00:00.000",532607.0300055947
"reasonableness","medical_claim_paid_over_time_monthly","month","N/A","claim_end_date","paid_year","total_paid_amount",,"2016-12-01 00:00:00.000","2016-01-01 00:00:00.000",383221.7103853822
"reasonableness","medical_claim_paid_over_time_monthly","month","N/A","claim_end_date","paid_year","total_paid_amount",,"2017-04-01 00:00:00.000","2017-01-01 00:00:00.000",414513.4171480462
"reasonableness","medical_claim_paid_over_time_yearly","year","N/A","claim_end_date","N/A","total_paid_amount",,"2016-01-01 00:00:00.000",,3447793.351344034
"reasonableness","medical_claim_paid_over_time_yearly","year","N/A","claim_end_date","N/A","total_paid_amount",,"2017-01-01 00:00:00.000",,4413759.380805995
"reasonableness","medical_claim_paid_over_time_yearly","year","N/A","claim_end_date","N/A","total_paid_amount",,"2018-01-01 00:00:00.000",,5221687.06508128
"reasonableness","medical_claim_volume_over_time_monthly","month","N/A","claim_end_date","paid_year","count_distinct_claim_id",,"2018-08-01 00:00:00.000","2018-01-01 00:00:00.000",2756.0
"reasonableness","medical_claim_volume_over_time_monthly","month","N/A","claim_end_date","paid_year","count_distinct_claim_id",,"2018-03-01 00:00:00.000","2018-01-01 00:00:00.000",3238.0
"reasonableness","medical_claim_volume_over_time_monthly","month","N/A","claim_end_date","paid_year","count_distinct_claim_id",,"2017-08-01 00:00:00.000","2017-01-01 00:00:00.000",2344.0
"reasonableness","medical_claim_volume_over_time_monthly","month","N/A","claim_end_date","paid_year","count_distinct_claim_id",,"2016-10-01 00:00:00.000","2016-01-01 00:00:00.000",2290.0
"reasonableness","medical_claim_volume_over_time_monthly","month","N/A","claim_end_date","paid_year","count_distinct_claim_id",,"2018-10-01 00:00:00.000","2018-01-01 00:00:00.000",2329.0
"reasonableness","medical_claim_volume_over_time_monthly","month","N/A","claim_end_date","paid_year","count_distinct_claim_id",,"2017-01-01 00:00:00.000","2017-01-01 00:00:00.000",2174.0
"reasonableness","medical_claim_volume_over_time_monthly","month","N/A","claim_end_date","paid_year","count_distinct_claim_id",,"2018-01-01 00:00:00.000","2018-01-01 00:00:00.000",2791.0
"reasonableness","medical_claim_volume_over_time_monthly","month","N/A","claim_end_date","paid_year","count_distinct_claim_id",,"2018-05-01 00:00:00.000","2018-01-01 00:00:00.000",3585.0
"reasonableness","medical_claim_volume_over_time_monthly","month","N/A","claim_end_date","paid_year","count_distinct_claim_id",,"2018-12-01 00:00:00.000","2018-01-01 00:00:00.000",1535.0
"reasonableness","medical_claim_volume_over_time_monthly","month","N/A","claim_end_date","paid_year","count_distinct_claim_id",,"2017-06-01 00:00:00.000","2017-01-01 00:00:00.000",2166.0
"reasonableness","medical_claim_volume_over_time_monthly","month","N/A","claim_end_date","paid_year","count_distinct_claim_id",,"2016-04-01 00:00:00.000","2016-01-01 00:00:00.000",2088.0
"reasonableness","medical_claim_volume_over_time_monthly","month","N/A","claim_end_date","paid_year","count_distinct_claim_id",,"2017-02-01 00:00:00.000","2017-01-01 00:00:00.000",2165.0
"reasonableness","medical_claim_volume_over_time_monthly","month","N/A","claim_end_date","paid_year","count_distinct_claim_id",,"2016-11-01 00:00:00.000","2016-01-01 00:00:00.000",2059.0
"reasonableness","medical_claim_volume_over_time_monthly","month","N/A","claim_end_date","paid_year","count_distinct_claim_id",,"2018-11-01 00:00:00.000","2018-01-01 00:00:00.000",1795.0
"reasonableness","medical_claim_volume_over_time_monthly","month","N/A","claim_end_date","paid_year","count_distinct_claim_id",,"2016-06-01 00:00:00.000","2016-01-01 00:00:00.000",2034.0
"reasonableness","medical_claim_volume_over_time_monthly","month","N/A","claim_end_date","paid_year","count_distinct_claim_id",,"2016-03-01 00:00:00.000","2016-01-01 00:00:00.000",2317.0
"reasonableness","medical_claim_volume_over_time_monthly","month","N/A","claim_end_date","paid_year","count_distinct_claim_id",,"2016-02-01 00:00:00.000","2016-01-01 00:00:00.000",2145.0
"reasonableness","medical_claim_volume_over_time_monthly","month","N/A","claim_end_date","paid_year","count_distinct_claim_id",,"2018-07-01 00:00:00.000","2018-01-01 00:00:00.000",3076.0
"reasonableness","medical_claim_volume_over_time_monthly","month","N/A","claim_end_date","paid_year","count_distinct_claim_id",,"2018-02-01 00:00:00.000","2018-01-01 00:00:00.000",2671.0
"reasonableness","medical_claim_volume_over_time_monthly","month","N/A","claim_end_date","paid_year","count_distinct_claim_id",,"2017-09-01 00:00:00.000","2017-01-01 00:00:00.000",2577.0
"reasonableness","medical_claim_volume_over_time_monthly","month","N/A","claim_end_date","paid_year","count_distinct_claim_id",,"2016-01-01 00:00:00.000","2016-01-01 00:00:00.000",1267.0
"reasonableness","medical_claim_volume_over_time_monthly","month","N/A","claim_end_date","paid_year","count_distinct_claim_id",,"2017-03-01 00:00:00.000","2017-01-01 00:00:00.000",2257.0
"reasonableness","medical_claim_volume_over_time_monthly","month","N/A","claim_end_date","paid_year","count_distinct_claim_id",,"2017-07-01 00:00:00.000","2017-01-01 00:00:00.000",2150.0
"reasonableness","medical_claim_volume_over_time_monthly","month","N/A","claim_end_date","paid_year","count_distinct_claim_id",,"2017-12-01 00:00:00.000","2017-01-01 00:00:00.000",2852.0
"reasonableness","medical_claim_volume_over_time_monthly","month","N/A","claim_end_date","paid_year","count_distinct_claim_id",,"2016-08-01 00:00:00.000","2016-01-01 00:00:00.000",2436.0
"reasonableness","medical_claim_volume_over_time_monthly","month","N/A","claim_end_date","paid_year","count_distinct_claim_id",,"2016-09-01 00:00:00.000","2016-01-01 00:00:00.000",2213.0
"reasonableness","medical_claim_volume_over_time_monthly","month","N/A","claim_end_date","paid_year","count_distinct_claim_id",,"2016-05-01 00:00:00.000","2016-01-01 00:00:00.000",2227.0
"reasonableness","medical_claim_volume_over_time_monthly","month","N/A","claim_end_date","paid_year","count_distinct_claim_id",,"2018-09-01 00:00:00.000","2018-01-01 00:00:00.000",2797.0
"reasonableness","medical_claim_volume_over_time_monthly","month","N/A","claim_end_date","paid_year","count_distinct_claim_id",,"2016-12-01 00:00:00.000","2016-01-01 00:00:00.000",2265.0
"reasonableness","medical_claim_volume_over_time_monthly","month","N/A","claim_end_date","paid_year","count_distinct_claim_id",,"2017-04-01 00:00:00.000","2017-01-01 00:00:00.000",2139.0
"reasonableness","medical_claim_volume_over_time_monthly","month","N/A","claim_end_date","paid_year","count_distinct_claim_id",,"2017-11-01 00:00:00.000","2017-01-01 00:00:00.000",2676.0
"reasonableness","medical_claim_volume_over_time_monthly","month","N/A","claim_end_date","paid_year","count_distinct_claim_id",,"2017-05-01 00:00:00.000","2017-01-01 00:00:00.000",2311.0
"reasonableness","medical_claim_volume_over_time_monthly","month","N/A","claim_end_date","paid_year","count_distinct_claim_id",,"2017-10-01 00:00:00.000","2017-01-01 00:00:00.000",2692.0
"reasonableness","medical_claim_volume_over_time_monthly","month","N/A","claim_end_date","paid_year","count_distinct_claim_id",,"2018-04-01 00:00:00.000","2018-01-01 00:00:00.000",3191.0
"reasonableness","medical_claim_volume_over_time_monthly","month","N/A","claim_end_date","paid_year","count_distinct_claim_id",,"2016-07-01 00:00:00.000","2016-01-01 00:00:00.000",2188.0
"reasonableness","medical_claim_volume_over_time_monthly","month","N/A","claim_end_date","paid_year","count_distinct_claim_id",,"2018-06-01 00:00:00.000","2018-01-01 00:00:00.000",3331.0
"reasonableness","medical_claim_volume_over_time_yearly","year","N/A","claim_end_date","N/A","count_distinct_claim_id",,"2017-01-01 00:00:00.000",,28503.0
"reasonableness","medical_claim_volume_over_time_yearly","year","N/A","claim_end_date","N/A","count_distinct_claim_id",,"2018-01-01 00:00:00.000",,33095.0
"reasonableness","medical_claim_volume_over_time_yearly","year","N/A","claim_end_date","N/A","count_distinct_claim_id",,"2016-01-01 00:00:00.000",,25529.0
"timeliness","pharmacy_paid_amount_vs_dispensing_date_matrix","month","dispensing_date","paid_date","year","total_paid_amount","2016-12-01 00:00:00.000","2016-12-01 00:00:00.000","2016-01-01 00:00:00.000",24132.919800860807
"timeliness","pharmacy_paid_amount_vs_dispensing_date_matrix","month","dispensing_date","paid_date","year","total_paid_amount","2018-05-01 00:00:00.000","2018-05-01 00:00:00.000","2018-01-01 00:00:00.000",100323.13036593795
