"icd_10_pcs","description"
"02164JQ","Bypass Right Atrium to Right Pulmonary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
"02164JR","Bypass Right Atrium to Left Pulmonary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
"02164KP","Bypass Right Atrium to Pulmonary Trunk with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02164KQ","Bypass Right Atrium to Right Pulmonary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02164KR","Bypass Right Atrium to Left Pulmonary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02164Z7","Bypass Right Atrium to Left Atrium, Percutaneous Endoscopic Approach"
"02164ZP","Bypass Right Atrium to Pulmonary Trunk, Percutaneous Endoscopic Approach"
"02164ZQ","Bypass Right Atrium to Right Pulmonary Artery, Percutaneous Endoscopic Approach"
"02164ZR","Bypass Right Atrium to Left Pulmonary Artery, Percutaneous Endoscopic Approach"
"021708P","Bypass Left Atrium to Pulmonary Trunk with Zooplastic Tissue, Open Approach"
"021708Q","Bypass Left Atrium to Right Pulmonary Artery with Zooplastic Tissue, Open Approach"
"021708R","Bypass Left Atrium to Left Pulmonary Artery with Zooplastic Tissue, Open Approach"
"021708S","Bypass Left Atrium to Right Pulmonary Vein with Zooplastic Tissue, Open Approach"
"021708T","Bypass Left Atrium to Left Pulmonary Vein with Zooplastic Tissue, Open Approach"
"021708U","Bypass Left Atrium to Pulmonary Vein Confluence with Zooplastic Tissue, Open Approach"
"021709P","Bypass Left Atrium to Pulmonary Trunk with Autologous Venous Tissue, Open Approach"
"021709Q","Bypass Left Atrium to Right Pulmonary Artery with Autologous Venous Tissue, Open Approach"
"021709R","Bypass Left Atrium to Left Pulmonary Artery with Autologous Venous Tissue, Open Approach"
"021709S","Bypass Left Atrium to Right Pulmonary Vein with Autologous Venous Tissue, Open Approach"
"021709T","Bypass Left Atrium to Left Pulmonary Vein with Autologous Venous Tissue, Open Approach"
"021709U","Bypass Left Atrium to Pulmonary Vein Confluence with Autologous Venous Tissue, Open Approach"
"02170AP","Bypass Left Atrium to Pulmonary Trunk with Autologous Arterial Tissue, Open Approach"
"02170AQ","Bypass Left Atrium to Right Pulmonary Artery with Autologous Arterial Tissue, Open Approach"
"02170AR","Bypass Left Atrium to Left Pulmonary Artery with Autologous Arterial Tissue, Open Approach"
"02170AS","Bypass Left Atrium to Right Pulmonary Vein with Autologous Arterial Tissue, Open Approach"
"02170AT","Bypass Left Atrium to Left Pulmonary Vein with Autologous Arterial Tissue, Open Approach"
"02170AU","Bypass Left Atrium to Pulmonary Vein Confluence with Autologous Arterial Tissue, Open Approach"
"02170JP","Bypass Left Atrium to Pulmonary Trunk with Synthetic Substitute, Open Approach"
"02170JQ","Bypass Left Atrium to Right Pulmonary Artery with Synthetic Substitute, Open Approach"
"02170JR","Bypass Left Atrium to Left Pulmonary Artery with Synthetic Substitute, Open Approach"
"02170JS","Bypass Left Atrium to Right Pulmonary Vein with Synthetic Substitute, Open Approach"
"02170JT","Bypass Left Atrium to Left Pulmonary Vein with Synthetic Substitute, Open Approach"
"02170JU","Bypass Left Atrium to Pulmonary Vein Confluence with Synthetic Substitute, Open Approach"
"02170KP","Bypass Left Atrium to Pulmonary Trunk with Nonautologous Tissue Substitute, Open Approach"
"02170KQ","Bypass Left Atrium to Right Pulmonary Artery with Nonautologous Tissue Substitute, Open Approach"
"02170KR","Bypass Left Atrium to Left Pulmonary Artery with Nonautologous Tissue Substitute, Open Approach"
"02170KS","Bypass Left Atrium to Right Pulmonary Vein with Nonautologous Tissue Substitute, Open Approach"
"02170KT","Bypass Left Atrium to Left Pulmonary Vein with Nonautologous Tissue Substitute, Open Approach"
"02170KU","Bypass Left Atrium to Pulmonary Vein Confluence with Nonautologous Tissue Substitute, Open Approach"
"02170ZP","Bypass Left Atrium to Pulmonary Trunk, Open Approach"
"02170ZQ","Bypass Left Atrium to Right Pulmonary Artery, Open Approach"
"02170ZR","Bypass Left Atrium to Left Pulmonary Artery, Open Approach"
"02170ZS","Bypass Left Atrium to Right Pulmonary Vein, Open Approach"
"02170ZT","Bypass Left Atrium to Left Pulmonary Vein, Open Approach"
"02170ZU","Bypass Left Atrium to Pulmonary Vein Confluence, Open Approach"
"021748P","Bypass Left Atrium to Pulmonary Trunk with Zooplastic Tissue, Percutaneous Endoscopic Approach"
"021748Q","Bypass Left Atrium to Right Pulmonary Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach"
"021748R","Bypass Left Atrium to Left Pulmonary Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach"
"021748S","Bypass Left Atrium to Right Pulmonary Vein with Zooplastic Tissue, Percutaneous Endoscopic Approach"
"021748T","Bypass Left Atrium to Left Pulmonary Vein with Zooplastic Tissue, Percutaneous Endoscopic Approach"
"021748U","Bypass Left Atrium to Pulmonary Vein Confluence with Zooplastic Tissue, Percutaneous Endoscopic Approach"
"021749P","Bypass Left Atrium to Pulmonary Trunk with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
"021749Q","Bypass Left Atrium to Right Pulmonary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
"021749R","Bypass Left Atrium to Left Pulmonary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
"021749S","Bypass Left Atrium to Right Pulmonary Vein with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
"021749T","Bypass Left Atrium to Left Pulmonary Vein with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
"021749U","Bypass Left Atrium to Pulmonary Vein Confluence with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
"02174AP","Bypass Left Atrium to Pulmonary Trunk with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
"02174AQ","Bypass Left Atrium to Right Pulmonary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
"02174AR","Bypass Left Atrium to Left Pulmonary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
"02174AS","Bypass Left Atrium to Right Pulmonary Vein with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
"02174AT","Bypass Left Atrium to Left Pulmonary Vein with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
"02174AU","Bypass Left Atrium to Pulmonary Vein Confluence with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
"02174JP","Bypass Left Atrium to Pulmonary Trunk with Synthetic Substitute, Percutaneous Endoscopic Approach"
"02174JQ","Bypass Left Atrium to Right Pulmonary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
"02174JR","Bypass Left Atrium to Left Pulmonary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
"02174JS","Bypass Left Atrium to Right Pulmonary Vein with Synthetic Substitute, Percutaneous Endoscopic Approach"
"02174JT","Bypass Left Atrium to Left Pulmonary Vein with Synthetic Substitute, Percutaneous Endoscopic Approach"
"02174JU","Bypass Left Atrium to Pulmonary Vein Confluence with Synthetic Substitute, Percutaneous Endoscopic Approach"
"02174KP","Bypass Left Atrium to Pulmonary Trunk with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02174KQ","Bypass Left Atrium to Right Pulmonary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02174KR","Bypass Left Atrium to Left Pulmonary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02174KS","Bypass Left Atrium to Right Pulmonary Vein with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02174KT","Bypass Left Atrium to Left Pulmonary Vein with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02174KU","Bypass Left Atrium to Pulmonary Vein Confluence with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02174ZP","Bypass Left Atrium to Pulmonary Trunk, Percutaneous Endoscopic Approach"
"02174ZQ","Bypass Left Atrium to Right Pulmonary Artery, Percutaneous Endoscopic Approach"
"02174ZR","Bypass Left Atrium to Left Pulmonary Artery, Percutaneous Endoscopic Approach"
"02174ZS","Bypass Left Atrium to Right Pulmonary Vein, Percutaneous Endoscopic Approach"
"02174ZT","Bypass Left Atrium to Left Pulmonary Vein, Percutaneous Endoscopic Approach"
"02174ZU","Bypass Left Atrium to Pulmonary Vein Confluence, Percutaneous Endoscopic Approach"
"021K08P","Bypass Right Ventricle to Pulmonary Trunk with Zooplastic Tissue, Open Approach"
"021K08Q","Bypass Right Ventricle to Right Pulmonary Artery with Zooplastic Tissue, Open Approach"
"021K08R","Bypass Right Ventricle to Left Pulmonary Artery with Zooplastic Tissue, Open Approach"
"021K09P","Bypass Right Ventricle to Pulmonary Trunk with Autologous Venous Tissue, Open Approach"
"021K09Q","Bypass Right Ventricle to Right Pulmonary Artery with Autologous Venous Tissue, Open Approach"
"021K09R","Bypass Right Ventricle to Left Pulmonary Artery with Autologous Venous Tissue, Open Approach"
"021K0AP","Bypass Right Ventricle to Pulmonary Trunk with Autologous Arterial Tissue, Open Approach"
"021K0AQ","Bypass Right Ventricle to Right Pulmonary Artery with Autologous Arterial Tissue, Open Approach"
"021K0AR","Bypass Right Ventricle to Left Pulmonary Artery with Autologous Arterial Tissue, Open Approach"
"021K0JP","Bypass Right Ventricle to Pulmonary Trunk with Synthetic Substitute, Open Approach"
"021K0JQ","Bypass Right Ventricle to Right Pulmonary Artery with Synthetic Substitute, Open Approach"
"021K0JR","Bypass Right Ventricle to Left Pulmonary Artery with Synthetic Substitute, Open Approach"
"021K0KP","Bypass Right Ventricle to Pulmonary Trunk with Nonautologous Tissue Substitute, Open Approach"
"021K0KQ","Bypass Right Ventricle to Right Pulmonary Artery with Nonautologous Tissue Substitute, Open Approach"
"021K0KR","Bypass Right Ventricle to Left Pulmonary Artery with Nonautologous Tissue Substitute, Open Approach"
"021K0Z5","Bypass Right Ventricle to Coronary Circulation, Open Approach"
"021K0Z8","Bypass Right Ventricle to Right Internal Mammary, Open Approach"
"021K0Z9","Bypass Right Ventricle to Left Internal Mammary, Open Approach"
"021K0ZC","Bypass Right Ventricle to Thoracic Artery, Open Approach"
"021K0ZF","Bypass Right Ventricle to Abdominal Artery, Open Approach"
"021K0ZP","Bypass Right Ventricle to Pulmonary Trunk, Open Approach"
"021K0ZQ","Bypass Right Ventricle to Right Pulmonary Artery, Open Approach"
"021K0ZR","Bypass Right Ventricle to Left Pulmonary Artery, Open Approach"
"021K0ZW","Bypass Right Ventricle to Aorta, Open Approach"
"021K48P","Bypass Right Ventricle to Pulmonary Trunk with Zooplastic Tissue, Percutaneous Endoscopic Approach"
"021K48Q","Bypass Right Ventricle to Right Pulmonary Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach"
"021K48R","Bypass Right Ventricle to Left Pulmonary Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach"
"021K49P","Bypass Right Ventricle to Pulmonary Trunk with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
"021K49Q","Bypass Right Ventricle to Right Pulmonary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
"021K49R","Bypass Right Ventricle to Left Pulmonary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
"021K4AP","Bypass Right Ventricle to Pulmonary Trunk with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
"021K4AQ","Bypass Right Ventricle to Right Pulmonary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
"021K4AR","Bypass Right Ventricle to Left Pulmonary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
"021K4JP","Bypass Right Ventricle to Pulmonary Trunk with Synthetic Substitute, Percutaneous Endoscopic Approach"
"021K4JQ","Bypass Right Ventricle to Right Pulmonary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
"021K4JR","Bypass Right Ventricle to Left Pulmonary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
"021K4KP","Bypass Right Ventricle to Pulmonary Trunk with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"021K4KQ","Bypass Right Ventricle to Right Pulmonary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"021K4KR","Bypass Right Ventricle to Left Pulmonary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"021K4Z5","Bypass Right Ventricle to Coronary Circulation, Percutaneous Endoscopic Approach"
"021K4Z8","Bypass Right Ventricle to Right Internal Mammary, Percutaneous Endoscopic Approach"
"021K4Z9","Bypass Right Ventricle to Left Internal Mammary, Percutaneous Endoscopic Approach"
"021K4ZC","Bypass Right Ventricle to Thoracic Artery, Percutaneous Endoscopic Approach"
"021K4ZF","Bypass Right Ventricle to Abdominal Artery, Percutaneous Endoscopic Approach"
"021K4ZP","Bypass Right Ventricle to Pulmonary Trunk, Percutaneous Endoscopic Approach"
"021K4ZQ","Bypass Right Ventricle to Right Pulmonary Artery, Percutaneous Endoscopic Approach"
"021K4ZR","Bypass Right Ventricle to Left Pulmonary Artery, Percutaneous Endoscopic Approach"
"021K4ZW","Bypass Right Ventricle to Aorta, Percutaneous Endoscopic Approach"
"021L08P","Bypass Left Ventricle to Pulmonary Trunk with Zooplastic Tissue, Open Approach"
"021L08Q","Bypass Left Ventricle to Right Pulmonary Artery with Zooplastic Tissue, Open Approach"
"021L08R","Bypass Left Ventricle to Left Pulmonary Artery with Zooplastic Tissue, Open Approach"
"021L09P","Bypass Left Ventricle to Pulmonary Trunk with Autologous Venous Tissue, Open Approach"
"021L09Q","Bypass Left Ventricle to Right Pulmonary Artery with Autologous Venous Tissue, Open Approach"
"021L09R","Bypass Left Ventricle to Left Pulmonary Artery with Autologous Venous Tissue, Open Approach"
"021L0AP","Bypass Left Ventricle to Pulmonary Trunk with Autologous Arterial Tissue, Open Approach"
"021L0AQ","Bypass Left Ventricle to Right Pulmonary Artery with Autologous Arterial Tissue, Open Approach"
"021L0AR","Bypass Left Ventricle to Left Pulmonary Artery with Autologous Arterial Tissue, Open Approach"
"021L0JP","Bypass Left Ventricle to Pulmonary Trunk with Synthetic Substitute, Open Approach"
"021L0JQ","Bypass Left Ventricle to Right Pulmonary Artery with Synthetic Substitute, Open Approach"
"021L0JR","Bypass Left Ventricle to Left Pulmonary Artery with Synthetic Substitute, Open Approach"
"021L0KP","Bypass Left Ventricle to Pulmonary Trunk with Nonautologous Tissue Substitute, Open Approach"
"021L0KQ","Bypass Left Ventricle to Right Pulmonary Artery with Nonautologous Tissue Substitute, Open Approach"
"021L0KR","Bypass Left Ventricle to Left Pulmonary Artery with Nonautologous Tissue Substitute, Open Approach"
"021L0Z5","Bypass Left Ventricle to Coronary Circulation, Open Approach"
"021L0Z8","Bypass Left Ventricle to Right Internal Mammary, Open Approach"
"021L0Z9","Bypass Left Ventricle to Left Internal Mammary, Open Approach"
"021L0ZC","Bypass Left Ventricle to Thoracic Artery, Open Approach"
"021L0ZF","Bypass Left Ventricle to Abdominal Artery, Open Approach"
"021L0ZP","Bypass Left Ventricle to Pulmonary Trunk, Open Approach"
"021L0ZQ","Bypass Left Ventricle to Right Pulmonary Artery, Open Approach"
"021L0ZR","Bypass Left Ventricle to Left Pulmonary Artery, Open Approach"
"021L0ZW","Bypass Left Ventricle to Aorta, Open Approach"
"021L48P","Bypass Left Ventricle to Pulmonary Trunk with Zooplastic Tissue, Percutaneous Endoscopic Approach"
"021L48Q","Bypass Left Ventricle to Right Pulmonary Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach"
"021L48R","Bypass Left Ventricle to Left Pulmonary Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach"
"021L49P","Bypass Left Ventricle to Pulmonary Trunk with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
"021L49Q","Bypass Left Ventricle to Right Pulmonary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
"021L49R","Bypass Left Ventricle to Left Pulmonary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
"021L4AP","Bypass Left Ventricle to Pulmonary Trunk with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
"021L4AQ","Bypass Left Ventricle to Right Pulmonary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
"021L4AR","Bypass Left Ventricle to Left Pulmonary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
"021L4JP","Bypass Left Ventricle to Pulmonary Trunk with Synthetic Substitute, Percutaneous Endoscopic Approach"
"021L4JQ","Bypass Left Ventricle to Right Pulmonary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
"021L4JR","Bypass Left Ventricle to Left Pulmonary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
"021L4KP","Bypass Left Ventricle to Pulmonary Trunk with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"021L4KQ","Bypass Left Ventricle to Right Pulmonary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"021L4KR","Bypass Left Ventricle to Left Pulmonary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"021L4Z5","Bypass Left Ventricle to Coronary Circulation, Percutaneous Endoscopic Approach"
"021L4Z8","Bypass Left Ventricle to Right Internal Mammary, Percutaneous Endoscopic Approach"
"021L4Z9","Bypass Left Ventricle to Left Internal Mammary, Percutaneous Endoscopic Approach"
"021L4ZC","Bypass Left Ventricle to Thoracic Artery, Percutaneous Endoscopic Approach"
"021L4ZF","Bypass Left Ventricle to Abdominal Artery, Percutaneous Endoscopic Approach"
"021L4ZP","Bypass Left Ventricle to Pulmonary Trunk, Percutaneous Endoscopic Approach"
"021L4ZQ","Bypass Left Ventricle to Right Pulmonary Artery, Percutaneous Endoscopic Approach"
"021L4ZR","Bypass Left Ventricle to Left Pulmonary Artery, Percutaneous Endoscopic Approach"
"021L4ZW","Bypass Left Ventricle to Aorta, Percutaneous Endoscopic Approach"
"02540ZZ","Destruction of Coronary Vein, Open Approach"
"02543ZZ","Destruction of Coronary Vein, Percutaneous Approach"
"02544ZZ","Destruction of Coronary Vein, Percutaneous Endoscopic Approach"
"02550ZZ","Destruction of Atrial Septum, Open Approach"
"02553ZZ","Destruction of Atrial Septum, Percutaneous Approach"
"02554ZZ","Destruction of Atrial Septum, Percutaneous Endoscopic Approach"
"02560ZZ","Destruction of Right Atrium, Open Approach"
"02563ZZ","Destruction of Right Atrium, Percutaneous Approach"
"02564ZZ","Destruction of Right Atrium, Percutaneous Endoscopic Approach"
"02570ZZ","Destruction of Left Atrium, Open Approach"
"02573ZZ","Destruction of Left Atrium, Percutaneous Approach"
"02574ZZ","Destruction of Left Atrium, Percutaneous Endoscopic Approach"
"02580ZZ","Destruction of Conduction Mechanism, Open Approach"
"02583ZZ","Destruction of Conduction Mechanism, Percutaneous Approach"
"02584ZZ","Destruction of Conduction Mechanism, Percutaneous Endoscopic Approach"
"02590ZZ","Destruction of Chordae Tendineae, Open Approach"
"02593ZZ","Destruction of Chordae Tendineae, Percutaneous Approach"
"02594ZZ","Destruction of Chordae Tendineae, Percutaneous Endoscopic Approach"
"025D0ZZ","Destruction of Papillary Muscle, Open Approach"
"025D3ZZ","Destruction of Papillary Muscle, Percutaneous Approach"
"025D4ZZ","Destruction of Papillary Muscle, Percutaneous Endoscopic Approach"
"025F0ZZ","Destruction of Aortic Valve, Open Approach"
"025F3ZZ","Destruction of Aortic Valve, Percutaneous Approach"
"025F4ZZ","Destruction of Aortic Valve, Percutaneous Endoscopic Approach"
"025G0ZZ","Destruction of Mitral Valve, Open Approach"
"025G3ZZ","Destruction of Mitral Valve, Percutaneous Approach"
"025G4ZZ","Destruction of Mitral Valve, Percutaneous Endoscopic Approach"
"025H0ZZ","Destruction of Pulmonary Valve, Open Approach"
"025H3ZZ","Destruction of Pulmonary Valve, Percutaneous Approach"
"025H4ZZ","Destruction of Pulmonary Valve, Percutaneous Endoscopic Approach"
"025J0ZZ","Destruction of Tricuspid Valve, Open Approach"
"025J3ZZ","Destruction of Tricuspid Valve, Percutaneous Approach"
"025J4ZZ","Destruction of Tricuspid Valve, Percutaneous Endoscopic Approach"
"025K0ZZ","Destruction of Right Ventricle, Open Approach"
"025K3ZZ","Destruction of Right Ventricle, Percutaneous Approach"
"025K4ZZ","Destruction of Right Ventricle, Percutaneous Endoscopic Approach"
"025L0ZZ","Destruction of Left Ventricle, Open Approach"
"025L3ZZ","Destruction of Left Ventricle, Percutaneous Approach"
"025L4ZZ","Destruction of Left Ventricle, Percutaneous Endoscopic Approach"
"025M0ZZ","Destruction of Ventricular Septum, Open Approach"
"025M3ZZ","Destruction of Ventricular Septum, Percutaneous Approach"
"025M4ZZ","Destruction of Ventricular Septum, Percutaneous Endoscopic Approach"
"025N0ZZ","Destruction of Pericardium, Open Approach"
"025N3ZZ","Destruction of Pericardium, Percutaneous Approach"
"025N4ZZ","Destruction of Pericardium, Percutaneous Endoscopic Approach"
"027004Z","Dilation of Coronary Artery, One Artery with Drug-eluting Intraluminal Device, Open Approach"
"027005Z","Dilation of Coronary Artery, One Artery with Two Drug-eluting Intraluminal Devices, Open Approach"
"027006Z","Dilation of Coronary Artery, One Artery with Three Drug-eluting Intraluminal Devices, Open Approach"
"027007Z","Dilation of Coronary Artery, One Artery with Four or More Drug-eluting Intraluminal Devices, Open Approach"
"02700D6","Dilation of Coronary Artery, One Artery, Bifurcation, with Intraluminal Device, Open Approach"
"02700DZ","Dilation of Coronary Artery, One Artery with Intraluminal Device, Open Approach"
"02700EZ","Dilation of Coronary Artery, One Artery with Two Intraluminal Devices, Open Approach"
"02700F6","Dilation of Coronary Artery, One Artery, Bifurcation, with Three Intraluminal Devices, Open Approach"
"02700FZ","Dilation of Coronary Artery, One Artery with Three Intraluminal Devices, Open Approach"
"02700G6","Dilation of Coronary Artery, One Artery, Bifurcation, with Four or More Intraluminal Devices, Open Approach"
"02700GZ","Dilation of Coronary Artery, One Artery with Four or More Intraluminal Devices, Open Approach"
"02700T6","Dilation of Coronary Artery, One Artery, Bifurcation, with Radioactive Intraluminal Device, Open Approach"
"02700TZ","Dilation of Coronary Artery, One Artery with Radioactive Intraluminal Device, Open Approach"
"02700Z6","Dilation of Coronary Artery, One Artery, Bifurcation, Open Approach"
"02700ZZ","Dilation of Coronary Artery, One Artery, Open Approach"
"027104Z","Dilation of Coronary Artery, Two Arteries with Drug-eluting Intraluminal Device, Open Approach"
"027105Z","Dilation of Coronary Artery, Two Arteries with Two Drug-eluting Intraluminal Devices, Open Approach"
"027106Z","Dilation of Coronary Artery, Two Arteries with Three Drug-eluting Intraluminal Devices, Open Approach"
