"icd_10_cm","description"
"M24119","Other articular cartilage disorders, unspecified shoulder"
"M24121","Other articular cartilage disorders, right elbow"
"M24122","Other articular cartilage disorders, left elbow"
"M24129","Other articular cartilage disorders, unspecified elbow"
"M24131","Other articular cartilage disorders, right wrist"
"M24132","Other articular cartilage disorders, left wrist"
"M24139","Other articular cartilage disorders, unspecified wrist"
"M24141","Other articular cartilage disorders, right hand"
"M24142","Other articular cartilage disorders, left hand"
"M24149","Other articular cartilage disorders, unspecified hand"
"M24151","Other articular cartilage disorders, right hip"
"M24152","Other articular cartilage disorders, left hip"
"M24159","Other articular cartilage disorders, unspecified hip"
"M24171","Other articular cartilage disorders, right ankle"
"M24172","Other articular cartilage disorders, left ankle"
"M24173","Other articular cartilage disorders, unspecified ankle"
"M24174","Other articular cartilage disorders, right foot"
"M24175","Other articular cartilage disorders, left foot"
"M24176","Other articular cartilage disorders, unspecified foot"
"M2440","Recurrent dislocation, unspecified joint"
"M24411","Recurrent dislocation, right shoulder"
"M24412","Recurrent dislocation, left shoulder"
"M24419","Recurrent dislocation, unspecified shoulder"
"M24421","Recurrent dislocation, right elbow"
"M24422","Recurrent dislocation, left elbow"
"M24429","Recurrent dislocation, unspecified elbow"
"M24431","Recurrent dislocation, right wrist"
"M24432","Recurrent dislocation, left wrist"
"M24439","Recurrent dislocation, unspecified wrist"
"M24441","Recurrent dislocation, right hand"
"M24442","Recurrent dislocation, left hand"
"M24443","Recurrent dislocation, unspecified hand"
"M24444","Recurrent dislocation, right finger"
"M24445","Recurrent dislocation, left finger"
"M24446","Recurrent dislocation, unspecified finger"
"M24451","Recurrent dislocation, right hip"
"M24452","Recurrent dislocation, left hip"
"M24459","Recurrent dislocation, unspecified hip"
"M24461","Recurrent dislocation, right knee"
"M24462","Recurrent dislocation, left knee"
"M24469","Recurrent dislocation, unspecified knee"
"M24471","Recurrent dislocation, right ankle"
"M24472","Recurrent dislocation, left ankle"
"M24473","Recurrent dislocation, unspecified ankle"
"M24474","Recurrent dislocation, right foot"
"M24475","Recurrent dislocation, left foot"
"M24476","Recurrent dislocation, unspecified foot"
"M24477","Recurrent dislocation, right toe(s)"
"M24478","Recurrent dislocation, left toe(s)"
"M24479","Recurrent dislocation, unspecified toe(s)"
"M433","Recurrent atlantoaxial dislocation with myelopathy"
"M434","Other recurrent atlantoaxial dislocation"
"M435X2","Other recurrent vertebral dislocation, cervical region"
"M435X3","Other recurrent vertebral dislocation, cervicothoracic region"
"M435X4","Other recurrent vertebral dislocation, thoracic region"
"M435X5","Other recurrent vertebral dislocation, thoracolumbar region"
"M435X6","Other recurrent vertebral dislocation, lumbar region"
"M435X7","Other recurrent vertebral dislocation, lumbosacral region"
"M435X8","Other recurrent vertebral dislocation, sacral and sacrococcygeal region"
"M435X9","Other recurrent vertebral dislocation, site unspecified"
"M9910","Subluxation complex (vertebral) of head region"
"M9911","Subluxation complex (vertebral) of cervical region"
"M9912","Subluxation complex (vertebral) of thoracic region"
"M9913","Subluxation complex (vertebral) of lumbar region"
"M9914","Subluxation complex (vertebral) of sacral region"
"M9915","Subluxation complex (vertebral) of pelvic region"
"M9916","Subluxation complex (vertebral) of lower extremity"
"M9917","Subluxation complex (vertebral) of upper extremity"
"M9918","Subluxation complex (vertebral) of rib cage"
"M9919","Subluxation complex (vertebral) of abdomen and other regions"
"S0300XA","Dislocation of jaw, unspecified side, initial encounter"
"S0301XA","Dislocation of jaw, right side, initial encounter"
"S0302XA","Dislocation of jaw, left side, initial encounter"
"S0303XA","Dislocation of jaw, bilateral, initial encounter"
"S130XXA","Traumatic rupture of cervical intervertebral disc, initial encounter"
"S13100A","Subluxation of unspecified cervical vertebrae, initial encounter"
"S13101A","Dislocation of unspecified cervical vertebrae, initial encounter"
"S13110A","Subluxation of C0/C1 cervical vertebrae, initial encounter"
"S13111A","Dislocation of C0/C1 cervical vertebrae, initial encounter"
"S13120A","Subluxation of C1/C2 cervical vertebrae, initial encounter"
"S13121A","Dislocation of C1/C2 cervical vertebrae, initial encounter"
"S13130A","Subluxation of C2/C3 cervical vertebrae, initial encounter"
"S13131A","Dislocation of C2/C3 cervical vertebrae, initial encounter"
"S13140A","Subluxation of C3/C4 cervical vertebrae, initial encounter"
"S13141A","Dislocation of C3/C4 cervical vertebrae, initial encounter"
"S13150A","Subluxation of C4/C5 cervical vertebrae, initial encounter"
"S13151A","Dislocation of C4/C5 cervical vertebrae, initial encounter"
"S13160A","Subluxation of C5/C6 cervical vertebrae, initial encounter"
"S13161A","Dislocation of C5/C6 cervical vertebrae, initial encounter"
"S13170A","Subluxation of C6/C7 cervical vertebrae, initial encounter"
"S13171A","Dislocation of C6/C7 cervical vertebrae, initial encounter"
"S13180A","Subluxation of C7/T1 cervical vertebrae, initial encounter"
"S13181A","Dislocation of C7/T1 cervical vertebrae, initial encounter"
"S1320XA","Dislocation of unspecified parts of neck, initial encounter"
"S1329XA","Dislocation of other parts of neck, initial encounter"
"S230XXA","Traumatic rupture of thoracic intervertebral disc, initial encounter"
"S23100A","Subluxation of unspecified thoracic vertebra, initial encounter"
"S23101A","Dislocation of unspecified thoracic vertebra, initial encounter"
"S23110A","Subluxation of T1/T2 thoracic vertebra, initial encounter"
"S23111A","Dislocation of T1/T2 thoracic vertebra, initial encounter"
"S23120A","Subluxation of T2/T3 thoracic vertebra, initial encounter"
"S23121A","Dislocation of T2/T3 thoracic vertebra, initial encounter"
"S23122A","Subluxation of T3/T4 thoracic vertebra, initial encounter"
"S23123A","Dislocation of T3/T4 thoracic vertebra, initial encounter"
"S23130A","Subluxation of T4/T5 thoracic vertebra, initial encounter"
"S23131A","Dislocation of T4/T5 thoracic vertebra, initial encounter"
"S23132A","Subluxation of T5/T6 thoracic vertebra, initial encounter"
"S23133A","Dislocation of T5/T6 thoracic vertebra, initial encounter"
"S23140A","Subluxation of T6/T7 thoracic vertebra, initial encounter"
"S23141A","Dislocation of T6/T7 thoracic vertebra, initial encounter"
"S23142A","Subluxation of T7/T8 thoracic vertebra, initial encounter"
"S23143A","Dislocation of T7/T8 thoracic vertebra, initial encounter"
"S23150A","Subluxation of T8/T9 thoracic vertebra, initial encounter"
"S23151A","Dislocation of T8/T9 thoracic vertebra, initial encounter"
"S23152A","Subluxation of T9/T10 thoracic vertebra, initial encounter"
"S23153A","Dislocation of T9/T10 thoracic vertebra, initial encounter"
"S23160A","Subluxation of T10/T11 thoracic vertebra, initial encounter"
