hcpcs_code,ccs_category,ccs_category_description
61606,1,Incision and excision of CNS
61607,1,Incision and excision of CNS
61608,1,Incision and excision of CNS
61615,1,Incision and excision of CNS
61616,1,Incision and excision of CNS
61720,1,Incision and excision of CNS
61735,1,Incision and excision of CNS
61736,1,Incision and excision of CNS
61737,1,Incision and excision of CNS
61880,1,Incision and excision of CNS
62161,1,Incision and excision of CNS
62162,1,Incision and excision of CNS
62164,1,Incision and excision of CNS
61107,2,"Insertion, replacement, or removal of extracranial ventricular shunt"
61210,2,"Insertion, replacement, or removal of extracranial ventricular shunt"
62160,2,"Insertion, replacement, or removal of extracranial ventricular shunt"
62180,2,"Insertion, replacement, or removal of extracranial ventricular shunt"
62190,2,"Insertion, replacement, or removal of extracranial ventricular shunt"
62192,2,"Insertion, replacement, or removal of extracranial ventricular shunt"
62194,2,"Insertion, replacement, or removal of extracranial ventricular shunt"
62200,2,"Insertion, replacement, or removal of extracranial ventricular shunt"
62201,2,"Insertion, replacement, or removal of extracranial ventricular shunt"
62220,2,"Insertion, replacement, or removal of extracranial ventricular shunt"
62223,2,"Insertion, replacement, or removal of extracranial ventricular shunt"
62225,2,"Insertion, replacement, or removal of extracranial ventricular shunt"
62230,2,"Insertion, replacement, or removal of extracranial ventricular shunt"
62252,2,"Insertion, replacement, or removal of extracranial ventricular shunt"
62256,2,"Insertion, replacement, or removal of extracranial ventricular shunt"
62258,2,"Insertion, replacement, or removal of extracranial ventricular shunt"
0202T,3,"Laminectomy, excision intervertebral disc"
0274T,3,"Laminectomy, excision intervertebral disc"
0275T,3,"Laminectomy, excision intervertebral disc"
0719T,3,"Laminectomy, excision intervertebral disc"
22856,3,"Laminectomy, excision intervertebral disc"
22858,3,"Laminectomy, excision intervertebral disc"
22861,3,"Laminectomy, excision intervertebral disc"
22864,3,"Laminectomy, excision intervertebral disc"
61343,3,"Laminectomy, excision intervertebral disc"
62287,3,"Laminectomy, excision intervertebral disc"
62351,3,"Laminectomy, excision intervertebral disc"
62380,3,"Laminectomy, excision intervertebral disc"
63001,3,"Laminectomy, excision intervertebral disc"
63003,3,"Laminectomy, excision intervertebral disc"
63005,3,"Laminectomy, excision intervertebral disc"
63011,3,"Laminectomy, excision intervertebral disc"
63012,3,"Laminectomy, excision intervertebral disc"
63015,3,"Laminectomy, excision intervertebral disc"
63016,3,"Laminectomy, excision intervertebral disc"
63017,3,"Laminectomy, excision intervertebral disc"
63020,3,"Laminectomy, excision intervertebral disc"
63030,3,"Laminectomy, excision intervertebral disc"
63035,3,"Laminectomy, excision intervertebral disc"
63040,3,"Laminectomy, excision intervertebral disc"
63042,3,"Laminectomy, excision intervertebral disc"
63043,3,"Laminectomy, excision intervertebral disc"
63044,3,"Laminectomy, excision intervertebral disc"
63045,3,"Laminectomy, excision intervertebral disc"
63046,3,"Laminectomy, excision intervertebral disc"
63047,3,"Laminectomy, excision intervertebral disc"
63048,3,"Laminectomy, excision intervertebral disc"
63050,3,"Laminectomy, excision intervertebral disc"
63051,3,"Laminectomy, excision intervertebral disc"
63052,3,"Laminectomy, excision intervertebral disc"
63053,3,"Laminectomy, excision intervertebral disc"
63055,3,"Laminectomy, excision intervertebral disc"
63056,3,"Laminectomy, excision intervertebral disc"
63057,3,"Laminectomy, excision intervertebral disc"
63064,3,"Laminectomy, excision intervertebral disc"
63066,3,"Laminectomy, excision intervertebral disc"
63075,3,"Laminectomy, excision intervertebral disc"
63076,3,"Laminectomy, excision intervertebral disc"
63077,3,"Laminectomy, excision intervertebral disc"
63078,3,"Laminectomy, excision intervertebral disc"
63081,3,"Laminectomy, excision intervertebral disc"
63082,3,"Laminectomy, excision intervertebral disc"
63085,3,"Laminectomy, excision intervertebral disc"
63086,3,"Laminectomy, excision intervertebral disc"
63087,3,"Laminectomy, excision intervertebral disc"
63088,3,"Laminectomy, excision intervertebral disc"
63090,3,"Laminectomy, excision intervertebral disc"
63091,3,"Laminectomy, excision intervertebral disc"
63101,3,"Laminectomy, excision intervertebral disc"
63102,3,"Laminectomy, excision intervertebral disc"
63103,3,"Laminectomy, excision intervertebral disc"
63170,3,"Laminectomy, excision intervertebral disc"
63172,3,"Laminectomy, excision intervertebral disc"
63173,3,"Laminectomy, excision intervertebral disc"
63185,3,"Laminectomy, excision intervertebral disc"
63190,3,"Laminectomy, excision intervertebral disc"
63191,3,"Laminectomy, excision intervertebral disc"
63197,3,"Laminectomy, excision intervertebral disc"
63200,3,"Laminectomy, excision intervertebral disc"
63250,3,"Laminectomy, excision intervertebral disc"
63251,3,"Laminectomy, excision intervertebral disc"
63252,3,"Laminectomy, excision intervertebral disc"
63655,3,"Laminectomy, excision intervertebral disc"
63709,3,"Laminectomy, excision intervertebral disc"
63740,3,"Laminectomy, excision intervertebral disc"
C9757,3,"Laminectomy, excision intervertebral disc"
G0276,3,"Laminectomy, excision intervertebral disc"
S2348,3,"Laminectomy, excision intervertebral disc"
S2350,3,"Laminectomy, excision intervertebral disc"
S2351,3,"Laminectomy, excision intervertebral disc"
62270,4,Diagnostic spinal tap
62272,4,Diagnostic spinal tap
62328,4,Diagnostic spinal tap
62329,4,Diagnostic spinal tap
0777T,5,Insertion of catheter or spinal stimulator and injection into spinal canal
62263,5,Insertion of catheter or spinal stimulator and injection into spinal canal
62264,5,Insertion of catheter or spinal stimulator and injection into spinal canal
62280,5,Insertion of catheter or spinal stimulator and injection into spinal canal
62281,5,Insertion of catheter or spinal stimulator and injection into spinal canal
62282,5,Insertion of catheter or spinal stimulator and injection into spinal canal
62320,5,Insertion of catheter or spinal stimulator and injection into spinal canal
62321,5,Insertion of catheter or spinal stimulator and injection into spinal canal
62322,5,Insertion of catheter or spinal stimulator and injection into spinal canal
62323,5,Insertion of catheter or spinal stimulator and injection into spinal canal
62324,5,Insertion of catheter or spinal stimulator and injection into spinal canal
62325,5,Insertion of catheter or spinal stimulator and injection into spinal canal
62326,5,Insertion of catheter or spinal stimulator and injection into spinal canal
62327,5,Insertion of catheter or spinal stimulator and injection into spinal canal
62350,5,Insertion of catheter or spinal stimulator and injection into spinal canal
62355,5,Insertion of catheter or spinal stimulator and injection into spinal canal
63600,5,Insertion of catheter or spinal stimulator and injection into spinal canal
63610,5,Insertion of catheter or spinal stimulator and injection into spinal canal
63650,5,Insertion of catheter or spinal stimulator and injection into spinal canal
63661,5,Insertion of catheter or spinal stimulator and injection into spinal canal
63662,5,Insertion of catheter or spinal stimulator and injection into spinal canal
63663,5,Insertion of catheter or spinal stimulator and injection into spinal canal
63664,5,Insertion of catheter or spinal stimulator and injection into spinal canal
63685,5,Insertion of catheter or spinal stimulator and injection into spinal canal
63688,5,Insertion of catheter or spinal stimulator and injection into spinal canal
64416,5,Insertion of catheter or spinal stimulator and injection into spinal canal
64446,5,Insertion of catheter or spinal stimulator and injection into spinal canal
64448,5,Insertion of catheter or spinal stimulator and injection into spinal canal
64449,5,Insertion of catheter or spinal stimulator and injection into spinal canal
64461,5,Insertion of catheter or spinal stimulator and injection into spinal canal
64462,5,Insertion of catheter or spinal stimulator and injection into spinal canal
64463,5,Insertion of catheter or spinal stimulator and injection into spinal canal
64479,5,Insertion of catheter or spinal stimulator and injection into spinal canal
64480,5,Insertion of catheter or spinal stimulator and injection into spinal canal
64483,5,Insertion of catheter or spinal stimulator and injection into spinal canal
64484,5,Insertion of catheter or spinal stimulator and injection into spinal canal
28035,6,Decompression peripheral nerve
29848,6,Decompression peripheral nerve
64702,6,Decompression peripheral nerve
64704,6,Decompression peripheral nerve
64708,6,Decompression peripheral nerve
64712,6,Decompression peripheral nerve
64713,6,Decompression peripheral nerve
64714,6,Decompression peripheral nerve
64716,6,Decompression peripheral nerve
64718,6,Decompression peripheral nerve
64719,6,Decompression peripheral nerve
64721,6,Decompression peripheral nerve
64722,6,Decompression peripheral nerve
64726,6,Decompression peripheral nerve
64727,6,Decompression peripheral nerve
0106T,7,Other diagnostic nervous system procedures
0107T,7,Other diagnostic nervous system procedures
0108T,7,Other diagnostic nervous system procedures
0109T,7,Other diagnostic nervous system procedures
0110T,7,Other diagnostic nervous system procedures
0333T,7,Other diagnostic nervous system procedures
0434T,7,Other diagnostic nervous system procedures
0435T,7,Other diagnostic nervous system procedures
0436T,7,Other diagnostic nervous system procedures
0533T,7,Other diagnostic nervous system procedures
0534T,7,Other diagnostic nervous system procedures
0535T,7,Other diagnostic nervous system procedures
0536T,7,Other diagnostic nervous system procedures
0589T,7,Other diagnostic nervous system procedures
0590T,7,Other diagnostic nervous system procedures
0639T,7,Other diagnostic nervous system procedures
61140,7,Other diagnostic nervous system procedures
61750,7,Other diagnostic nervous system procedures
61751,7,Other diagnostic nervous system procedures
62267,7,Other diagnostic nervous system procedures
62269,7,Other diagnostic nervous system procedures
64795,7,Other diagnostic nervous system procedures
92516,7,Other diagnostic nervous system procedures
95782,7,Other diagnostic nervous system procedures
95783,7,Other diagnostic nervous system procedures
95800,7,Other diagnostic nervous system procedures
95801,7,Other diagnostic nervous system procedures
95803,7,Other diagnostic nervous system procedures
95805,7,Other diagnostic nervous system procedures
95806,7,Other diagnostic nervous system procedures
95807,7,Other diagnostic nervous system procedures
95808,7,Other diagnostic nervous system procedures
95810,7,Other diagnostic nervous system procedures
95811,7,Other diagnostic nervous system procedures
95836,7,Other diagnostic nervous system procedures
95857,7,Other diagnostic nervous system procedures
95860,7,Other diagnostic nervous system procedures
95861,7,Other diagnostic nervous system procedures
95863,7,Other diagnostic nervous system procedures
95864,7,Other diagnostic nervous system procedures
95865,7,Other diagnostic nervous system procedures
95866,7,Other diagnostic nervous system procedures
95867,7,Other diagnostic nervous system procedures
95868,7,Other diagnostic nervous system procedures
95869,7,Other diagnostic nervous system procedures
95870,7,Other diagnostic nervous system procedures
95872,7,Other diagnostic nervous system procedures
95874,7,Other diagnostic nervous system procedures
95875,7,Other diagnostic nervous system procedures
95885,7,Other diagnostic nervous system procedures
95886,7,Other diagnostic nervous system procedures
95887,7,Other diagnostic nervous system procedures
95905,7,Other diagnostic nervous system procedures
95907,7,Other diagnostic nervous system procedures
95908,7,Other diagnostic nervous system procedures
95909,7,Other diagnostic nervous system procedures
95910,7,Other diagnostic nervous system procedures
95911,7,Other diagnostic nervous system procedures
95912,7,Other diagnostic nervous system procedures
95913,7,Other diagnostic nervous system procedures
95919,7,Other diagnostic nervous system procedures
95921,7,Other diagnostic nervous system procedures
95922,7,Other diagnostic nervous system procedures
95923,7,Other diagnostic nervous system procedures
95924,7,Other diagnostic nervous system procedures
95925,7,Other diagnostic nervous system procedures
95926,7,Other diagnostic nervous system procedures
95927,7,Other diagnostic nervous system procedures
95928,7,Other diagnostic nervous system procedures
95929,7,Other diagnostic nervous system procedures
95930,7,Other diagnostic nervous system procedures
95933,7,Other diagnostic nervous system procedures
95937,7,Other diagnostic nervous system procedures
95938,7,Other diagnostic nervous system procedures
95939,7,Other diagnostic nervous system procedures
95940,7,Other diagnostic nervous system procedures
95941,7,Other diagnostic nervous system procedures
95965,7,Other diagnostic nervous system procedures
95966,7,Other diagnostic nervous system procedures
95967,7,Other diagnostic nervous system procedures
95970,7,Other diagnostic nervous system procedures
95971,7,Other diagnostic nervous system procedures
95972,7,Other diagnostic nervous system procedures
95976,7,Other diagnostic nervous system procedures
95977,7,Other diagnostic nervous system procedures
95980,7,Other diagnostic nervous system procedures
95981,7,Other diagnostic nervous system procedures
95982,7,Other diagnostic nervous system procedures
95983,7,Other diagnostic nervous system procedures
95984,7,Other diagnostic nervous system procedures
95999,7,Other diagnostic nervous system procedures
96000,7,Other diagnostic nervous system procedures
96001,7,Other diagnostic nervous system procedures
96002,7,Other diagnostic nervous system procedures
96003,7,Other diagnostic nervous system procedures
96004,7,Other diagnostic nervous system procedures
96020,7,Other diagnostic nervous system procedures
96112,7,Other diagnostic nervous system procedures
96113,7,Other diagnostic nervous system procedures
G0255,7,Other diagnostic nervous system procedures
G0398,7,Other diagnostic nervous system procedures
G0399,7,Other diagnostic nervous system procedures
G0400,7,Other diagnostic nervous system procedures
G0453,7,Other diagnostic nervous system procedures
S3900,7,Other diagnostic nervous system procedures
S8040,7,Other diagnostic nervous system procedures
0278T,8,Other non-OR or closed therapeutic nervous system procedures
0398T,8,Other non-OR or closed therapeutic nervous system procedures
0440T,8,Other non-OR or closed therapeutic nervous system procedures
0441T,8,Other non-OR or closed therapeutic nervous system procedures
0442T,8,Other non-OR or closed therapeutic nervous system procedures
0627T,8,Other non-OR or closed therapeutic nervous system procedures
0628T,8,Other non-OR or closed therapeutic nervous system procedures
0629T,8,Other non-OR or closed therapeutic nervous system procedures
0630T,8,Other non-OR or closed therapeutic nervous system procedures
0720T,8,Other non-OR or closed therapeutic nervous system procedures
0766T,8,Other non-OR or closed therapeutic nervous system procedures
0767T,8,Other non-OR or closed therapeutic nervous system procedures
0768T,8,Other non-OR or closed therapeutic nervous system procedures
0769T,8,Other non-OR or closed therapeutic nervous system procedures
0776T,8,Other non-OR or closed therapeutic nervous system procedures
22505,8,Other non-OR or closed therapeutic nervous system procedures
61070,8,Other non-OR or closed therapeutic nervous system procedures
61796,8,Other non-OR or closed therapeutic nervous system procedures
61798,8,Other non-OR or closed therapeutic nervous system procedures
62268,8,Other non-OR or closed therapeutic nervous system procedures
62273,8,Other non-OR or closed therapeutic nervous system procedures
62292,8,Other non-OR or closed therapeutic nervous system procedures
62369,8,Other non-OR or closed therapeutic nervous system procedures
62370,8,Other non-OR or closed therapeutic nervous system procedures
63620,8,Other non-OR or closed therapeutic nervous system procedures
64400,8,Other non-OR or closed therapeutic nervous system procedures
64405,8,Other non-OR or closed therapeutic nervous system procedures
64408,8,Other non-OR or closed therapeutic nervous system procedures
64415,8,Other non-OR or closed therapeutic nervous system procedures
64417,8,Other non-OR or closed therapeutic nervous system procedures
64418,8,Other non-OR or closed therapeutic nervous system procedures
64420,8,Other non-OR or closed therapeutic nervous system procedures
64421,8,Other non-OR or closed therapeutic nervous system procedures
64425,8,Other non-OR or closed therapeutic nervous system procedures
64430,8,Other non-OR or closed therapeutic nervous system procedures
64435,8,Other non-OR or closed therapeutic nervous system procedures
64445,8,Other non-OR or closed therapeutic nervous system procedures
64447,8,Other non-OR or closed therapeutic nervous system procedures
64450,8,Other non-OR or closed therapeutic nervous system procedures
64451,8,Other non-OR or closed therapeutic nervous system procedures
64454,8,Other non-OR or closed therapeutic nervous system procedures
64455,8,Other non-OR or closed therapeutic nervous system procedures
64486,8,Other non-OR or closed therapeutic nervous system procedures
64487,8,Other non-OR or closed therapeutic nervous system procedures
64488,8,Other non-OR or closed therapeutic nervous system procedures
64489,8,Other non-OR or closed therapeutic nervous system procedures
64490,8,Other non-OR or closed therapeutic nervous system procedures
64491,8,Other non-OR or closed therapeutic nervous system procedures
64492,8,Other non-OR or closed therapeutic nervous system procedures
64493,8,Other non-OR or closed therapeutic nervous system procedures
64494,8,Other non-OR or closed therapeutic nervous system procedures
64495,8,Other non-OR or closed therapeutic nervous system procedures
64505,8,Other non-OR or closed therapeutic nervous system procedures
64510,8,Other non-OR or closed therapeutic nervous system procedures
64517,8,Other non-OR or closed therapeutic nervous system procedures
64520,8,Other non-OR or closed therapeutic nervous system procedures
64530,8,Other non-OR or closed therapeutic nervous system procedures
64600,8,Other non-OR or closed therapeutic nervous system procedures
64605,8,Other non-OR or closed therapeutic nervous system procedures
64610,8,Other non-OR or closed therapeutic nervous system procedures
64611,8,Other non-OR or closed therapeutic nervous system procedures
64612,8,Other non-OR or closed therapeutic nervous system procedures
64615,8,Other non-OR or closed therapeutic nervous system procedures
64616,8,Other non-OR or closed therapeutic nervous system procedures
64617,8,Other non-OR or closed therapeutic nervous system procedures
64620,8,Other non-OR or closed therapeutic nervous system procedures
64624,8,Other non-OR or closed therapeutic nervous system procedures
64625,8,Other non-OR or closed therapeutic nervous system procedures
64630,8,Other non-OR or closed therapeutic nervous system procedures
64632,8,Other non-OR or closed therapeutic nervous system procedures
64633,8,Other non-OR or closed therapeutic nervous system procedures
64635,8,Other non-OR or closed therapeutic nervous system procedures
64640,8,Other non-OR or closed therapeutic nervous system procedures
64642,8,Other non-OR or closed therapeutic nervous system procedures
64644,8,Other non-OR or closed therapeutic nervous system procedures
64646,8,Other non-OR or closed therapeutic nervous system procedures
64647,8,Other non-OR or closed therapeutic nervous system procedures
64680,8,Other non-OR or closed therapeutic nervous system procedures
64681,8,Other non-OR or closed therapeutic nervous system procedures
64999,8,Other non-OR or closed therapeutic nervous system procedures
95873,8,Other non-OR or closed therapeutic nervous system procedures
95990,8,Other non-OR or closed therapeutic nervous system procedures
95991,8,Other non-OR or closed therapeutic nervous system procedures
95992,8,Other non-OR or closed therapeutic nervous system procedures
S9090,8,Other non-OR or closed therapeutic nervous system procedures
0338T,9,Other OR therapeutic nervous system procedures
0339T,9,Other OR therapeutic nervous system procedures
0424T,9,Other OR therapeutic nervous system procedures
0425T,9,Other OR therapeutic nervous system procedures
0426T,9,Other OR therapeutic nervous system procedures
0427T,9,Other OR therapeutic nervous system procedures
0428T,9,Other OR therapeutic nervous system procedures
0429T,9,Other OR therapeutic nervous system procedures
0430T,9,Other OR therapeutic nervous system procedures
0431T,9,Other OR therapeutic nervous system procedures
0432T,9,Other OR therapeutic nervous system procedures
0433T,9,Other OR therapeutic nervous system procedures
0587T,9,Other OR therapeutic nervous system procedures
0588T,9,Other OR therapeutic nervous system procedures
0609T,9,Other OR therapeutic nervous system procedures
0610T,9,Other OR therapeutic nervous system procedures
0611T,9,Other OR therapeutic nervous system procedures
0612T,9,Other OR therapeutic nervous system procedures
22526,9,Other OR therapeutic nervous system procedures
22527,9,Other OR therapeutic nervous system procedures
27003,9,Other OR therapeutic nervous system procedures
27035,9,Other OR therapeutic nervous system procedures
27325,9,Other OR therapeutic nervous system procedures
27326,9,Other OR therapeutic nervous system procedures
28055,9,Other OR therapeutic nervous system procedures
28080,9,Other OR therapeutic nervous system procedures
32664,9,Other OR therapeutic nervous system procedures
61450,9,Other OR therapeutic nervous system procedures
61458,9,Other OR therapeutic nervous system procedures
61460,9,Other OR therapeutic nervous system procedures
61500,9,Other OR therapeutic nervous system procedures
61501,9,Other OR therapeutic nervous system procedures
61531,9,Other OR therapeutic nervous system procedures
61533,9,Other OR therapeutic nervous system procedures
61550,9,Other OR therapeutic nervous system procedures
61552,9,Other OR therapeutic nervous system procedures
61558,9,Other OR therapeutic nervous system procedures
61559,9,Other OR therapeutic nervous system procedures
61563,9,Other OR therapeutic nervous system procedures
61564,9,Other OR therapeutic nervous system procedures
61566,9,Other OR therapeutic nervous system procedures
61567,9,Other OR therapeutic nervous system procedures
61580,9,Other OR therapeutic nervous system procedures
61581,9,Other OR therapeutic nervous system procedures
61618,9,Other OR therapeutic nervous system procedures
61619,9,Other OR therapeutic nervous system procedures
61760,9,Other OR therapeutic nervous system procedures
61770,9,Other OR therapeutic nervous system procedures
61781,9,Other OR therapeutic nervous system procedures
61782,9,Other OR therapeutic nervous system procedures
61783,9,Other OR therapeutic nervous system procedures
61790,9,Other OR therapeutic nervous system procedures
61791,9,Other OR therapeutic nervous system procedures
61797,9,Other OR therapeutic nervous system procedures
61799,9,Other OR therapeutic nervous system procedures
61800,9,Other OR therapeutic nervous system procedures
61850,9,Other OR therapeutic nervous system procedures
61860,9,Other OR therapeutic nervous system procedures
61863,9,Other OR therapeutic nervous system procedures
61864,9,Other OR therapeutic nervous system procedures
61867,9,Other OR therapeutic nervous system procedures
61868,9,Other OR therapeutic nervous system procedures
62100,9,Other OR therapeutic nervous system procedures
62115,9,Other OR therapeutic nervous system procedures
62117,9,Other OR therapeutic nervous system procedures
62120,9,Other OR therapeutic nervous system procedures
62121,9,Other OR therapeutic nervous system procedures
62140,9,Other OR therapeutic nervous system procedures
62141,9,Other OR therapeutic nervous system procedures
62142,9,Other OR therapeutic nervous system procedures
62143,9,Other OR therapeutic nervous system procedures
62145,9,Other OR therapeutic nervous system procedures
62146,9,Other OR therapeutic nervous system procedures
62147,9,Other OR therapeutic nervous system procedures
62148,9,Other OR therapeutic nervous system procedures
62294,9,Other OR therapeutic nervous system procedures
62360,9,Other OR therapeutic nervous system procedures
62361,9,Other OR therapeutic nervous system procedures
62362,9,Other OR therapeutic nervous system procedures
62365,9,Other OR therapeutic nervous system procedures
63265,9,Other OR therapeutic nervous system procedures
63266,9,Other OR therapeutic nervous system procedures
63267,9,Other OR therapeutic nervous system procedures
63268,9,Other OR therapeutic nervous system procedures
63270,9,Other OR therapeutic nervous system procedures
63271,9,Other OR therapeutic nervous system procedures
63272,9,Other OR therapeutic nervous system procedures
63273,9,Other OR therapeutic nervous system procedures
63275,9,Other OR therapeutic nervous system procedures
63276,9,Other OR therapeutic nervous system procedures
63277,9,Other OR therapeutic nervous system procedures
63278,9,Other OR therapeutic nervous system procedures
63280,9,Other OR therapeutic nervous system procedures
63281,9,Other OR therapeutic nervous system procedures
63282,9,Other OR therapeutic nervous system procedures
63283,9,Other OR therapeutic nervous system procedures
63285,9,Other OR therapeutic nervous system procedures
63286,9,Other OR therapeutic nervous system procedures
63287,9,Other OR therapeutic nervous system procedures
63290,9,Other OR therapeutic nervous system procedures
63295,9,Other OR therapeutic nervous system procedures
63300,9,Other OR therapeutic nervous system procedures
63301,9,Other OR therapeutic nervous system procedures
63302,9,Other OR therapeutic nervous system procedures
63303,9,Other OR therapeutic nervous system procedures
63304,9,Other OR therapeutic nervous system procedures
63305,9,Other OR therapeutic nervous system procedures
63306,9,Other OR therapeutic nervous system procedures
63307,9,Other OR therapeutic nervous system procedures
63308,9,Other OR therapeutic nervous system procedures
63621,9,Other OR therapeutic nervous system procedures
63700,9,Other OR therapeutic nervous system procedures
63702,9,Other OR therapeutic nervous system procedures
63704,9,Other OR therapeutic nervous system procedures
63706,9,Other OR therapeutic nervous system procedures
63707,9,Other OR therapeutic nervous system procedures
63710,9,Other OR therapeutic nervous system procedures
63741,9,Other OR therapeutic nervous system procedures
63744,9,Other OR therapeutic nervous system procedures
63746,9,Other OR therapeutic nervous system procedures
64553,9,Other OR therapeutic nervous system procedures
64555,9,Other OR therapeutic nervous system procedures
64561,9,Other OR therapeutic nervous system procedures
64566,9,Other OR therapeutic nervous system procedures
64568,9,Other OR therapeutic nervous system procedures
64569,9,Other OR therapeutic nervous system procedures
64570,9,Other OR therapeutic nervous system procedures
64575,9,Other OR therapeutic nervous system procedures
64580,9,Other OR therapeutic nervous system procedures
64581,9,Other OR therapeutic nervous system procedures
64582,9,Other OR therapeutic nervous system procedures
64583,9,Other OR therapeutic nervous system procedures
64584,9,Other OR therapeutic nervous system procedures
64585,9,Other OR therapeutic nervous system procedures
64590,9,Other OR therapeutic nervous system procedures
64595,9,Other OR therapeutic nervous system procedures
64628,9,Other OR therapeutic nervous system procedures
64629,9,Other OR therapeutic nervous system procedures
64634,9,Other OR therapeutic nervous system procedures
64636,9,Other OR therapeutic nervous system procedures
64643,9,Other OR therapeutic nervous system procedures
64645,9,Other OR therapeutic nervous system procedures
64732,9,Other OR therapeutic nervous system procedures
64734,9,Other OR therapeutic nervous system procedures
64736,9,Other OR therapeutic nervous system procedures
64738,9,Other OR therapeutic nervous system procedures
64740,9,Other OR therapeutic nervous system procedures
64742,9,Other OR therapeutic nervous system procedures
64744,9,Other OR therapeutic nervous system procedures
64746,9,Other OR therapeutic nervous system procedures
64755,9,Other OR therapeutic nervous system procedures
64760,9,Other OR therapeutic nervous system procedures
64763,9,Other OR therapeutic nervous system procedures
64766,9,Other OR therapeutic nervous system procedures
64771,9,Other OR therapeutic nervous system procedures
64772,9,Other OR therapeutic nervous system procedures
64774,9,Other OR therapeutic nervous system procedures
64776,9,Other OR therapeutic nervous system procedures
64778,9,Other OR therapeutic nervous system procedures
64782,9,Other OR therapeutic nervous system procedures
64783,9,Other OR therapeutic nervous system procedures
64784,9,Other OR therapeutic nervous system procedures
64786,9,Other OR therapeutic nervous system procedures
64787,9,Other OR therapeutic nervous system procedures
64788,9,Other OR therapeutic nervous system procedures
64790,9,Other OR therapeutic nervous system procedures
64792,9,Other OR therapeutic nervous system procedures
64802,9,Other OR therapeutic nervous system procedures
64804,9,Other OR therapeutic nervous system procedures
64809,9,Other OR therapeutic nervous system procedures
64818,9,Other OR therapeutic nervous system procedures
64820,9,Other OR therapeutic nervous system procedures
64821,9,Other OR therapeutic nervous system procedures
64822,9,Other OR therapeutic nervous system procedures
64823,9,Other OR therapeutic nervous system procedures
64831,9,Other OR therapeutic nervous system procedures
64832,9,Other OR therapeutic nervous system procedures
64834,9,Other OR therapeutic nervous system procedures
64835,9,Other OR therapeutic nervous system procedures
64836,9,Other OR therapeutic nervous system procedures
64837,9,Other OR therapeutic nervous system procedures
64840,9,Other OR therapeutic nervous system procedures
64856,9,Other OR therapeutic nervous system procedures
64857,9,Other OR therapeutic nervous system procedures
64858,9,Other OR therapeutic nervous system procedures
64859,9,Other OR therapeutic nervous system procedures
64861,9,Other OR therapeutic nervous system procedures
64862,9,Other OR therapeutic nervous system procedures
64864,9,Other OR therapeutic nervous system procedures
64865,9,Other OR therapeutic nervous system procedures
64866,9,Other OR therapeutic nervous system procedures
64868,9,Other OR therapeutic nervous system procedures
64872,9,Other OR therapeutic nervous system procedures
64874,9,Other OR therapeutic nervous system procedures
64876,9,Other OR therapeutic nervous system procedures
64885,9,Other OR therapeutic nervous system procedures
64886,9,Other OR therapeutic nervous system procedures
64890,9,Other OR therapeutic nervous system procedures
64891,9,Other OR therapeutic nervous system procedures
64892,9,Other OR therapeutic nervous system procedures
