hcpcs,nitos,description,invasive_non_invasive,modality,body_region,focus_area
70549,N426,Mr angiograph neck w/o&w/dye,Non-Invasive,Magnetic resonance,Head/neck,Vascular
70551,N410,Mri brain w/o dye,Non-Invasive,Magnetic resonance,Brain,None (Non-invasive procedures)
70552,N410,Mri brain w/dye,Non-Invasive,Magnetic resonance,Brain,None (Non-invasive procedures)
70553,N410,Mri brain stem w/o & w/dye,Non-Invasive,Magnetic resonance,Brain,None (Non-invasive procedures)
70554,N410,Fmri brain by tech,Non-Invasive,Magnetic resonance,Brain,None (Non-invasive procedures)
70555,N410,Fmri brain by phys/psych,Non-Invasive,Magnetic resonance,Brain,None (Non-invasive procedures)
70557,N410,Mri brain w/o dye,Non-Invasive,Magnetic resonance,Brain,None (Non-invasive procedures)
70558,N410,Mri brain w/dye,Non-Invasive,Magnetic resonance,Brain,None (Non-invasive procedures)
70559,N410,Mri brain w/o & w/dye,Non-Invasive,Magnetic resonance,Brain,None (Non-invasive procedures)
71010,N750,Chest x-ray 1 view frontal ,Non-Invasive,Radiography,Chest,None (Non-invasive procedures)
71015,N750,Chest x-ray stereo frontal,Non-Invasive,Radiography,Chest,None (Non-invasive procedures)
71020,N750,Chest x-ray 2vw frontal&latl,Non-Invasive,Radiography,Chest,None (Non-invasive procedures)
71021,N750,Chest x-ray frnt lat lordotc,Non-Invasive,Radiography,Chest,None (Non-invasive procedures)
71022,N750,Chest x-ray frnt lat oblique,Non-Invasive,Radiography,Chest,None (Non-invasive procedures)
71023,N750,Chest x-ray and fluoroscopy,Non-Invasive,Radiography,Chest,None (Non-invasive procedures)
71030,N750,Chest x-ray 4/> views ,Non-Invasive,Radiography,Chest,None (Non-invasive procedures)
71034,N750,Chest x-ray&fluoro 4/> views,Non-Invasive,Radiography,Chest,None (Non-invasive procedures)
71035,N750,Chest x-ray special views,Non-Invasive,Radiography,Chest,None (Non-invasive procedures)
71036,I999,X-ray guidance for biopsy,Invasive,Invasive,Invasive,None (Invasive procedures)
71040,N750,Contrast x-ray of bronchi,Non-Invasive,Radiography,Chest,None (Non-invasive procedures)
71045,N750,X-ray exam chest 1 view,Non-Invasive,Radiography,Chest,None (Non-invasive procedures)
71046,N750,X-ray exam chest 2 views,Non-Invasive,Radiography,Chest,None (Non-invasive procedures)
71047,N750,X-ray exam chest 3 views,Non-Invasive,Radiography,Chest,None (Non-invasive procedures)
71048,N750,X-ray exam chest 4+ views,Non-Invasive,Radiography,Chest,None (Non-invasive procedures)
71060,I999,Contrast x-ray of bronchi,Invasive,Invasive,Invasive,None (Invasive procedures)
71090,I999,X-ray & pacemaker insertion,Invasive,Invasive,Invasive,None (Invasive procedures)
71100,N754,X-ray exam ribs uni 2 views,Non-Invasive,Radiography,Chest,Musculoskeletal
71101,N754,X-ray exam unilat ribs/chest,Non-Invasive,Radiography,Chest,Musculoskeletal
71110,N754,X-ray exam ribs bil 3 views,Non-Invasive,Radiography,Chest,Musculoskeletal
71111,N754,X-ray exam ribs/chest4/> vws,Non-Invasive,Radiography,Chest,Musculoskeletal
71120,N754,X-ray exam breastbone 2/>vws,Non-Invasive,Radiography,Chest,Musculoskeletal
71130,N754,X-ray strenoclavic jt 3/>vws,Non-Invasive,Radiography,Chest,Musculoskeletal
71250,N350,Ct thorax w/o dye,Non-Invasive,Computerized tomography,Chest,None (Non-invasive procedures)
71260,N350,Ct thorax w/dye,Non-Invasive,Computerized tomography,Chest,None (Non-invasive procedures)
71270,N350,Ct thorax w/o & w/dye,Non-Invasive,Computerized tomography,Chest,None (Non-invasive procedures)
71271,N359,"Computed tomography, thorax, low dose for lung cancer screening, without contrast material(s)",Non-Invasive,Computerized tomography,Chest,None (Invasive procedures)
71275,N356,Ct angiography chest,Non-Invasive,Computerized tomography,Chest,Vascular
71550,N450,Mri chest w/o dye,Non-Invasive,Magnetic resonance,Chest,None (Non-invasive procedures)
71551,N450,Mri chest w/dye,Non-Invasive,Magnetic resonance,Chest,None (Non-invasive procedures)
71552,N450,Mri chest w/o & w/dye,Non-Invasive,Magnetic resonance,Chest,None (Non-invasive procedures)
71555,N456,Mri angio chest w or w/o dye,Non-Invasive,Magnetic resonance,Chest,Vascular
72010,N730,X-ray exam spine ap&lat,Non-Invasive,Radiography,Spine,None (Non-invasive procedures)
72020,N730,X-ray exam of spine 1 view,Non-Invasive,Radiography,Spine,None (Non-invasive procedures)
72040,N730,X-ray exam neck spine 3/<vws,Non-Invasive,Radiography,Spine,None (Non-invasive procedures)
72050,N730,X-ray exam neck spine 4/5vws,Non-Invasive,Radiography,Spine,None (Non-invasive procedures)
72052,N730,X-ray exam neck spine 6/>vws,Non-Invasive,Radiography,Spine,None (Non-invasive procedures)
72069,N730,X-ray exam of trunk spine,Non-Invasive,Radiography,Spine,None (Non-invasive procedures)
72070,N730,X-ray exam thorac spine 2vws,Non-Invasive,Radiography,Spine,None (Non-invasive procedures)
72072,N730,X-ray exam thorac spine 3vws,Non-Invasive,Radiography,Spine,None (Non-invasive procedures)
72074,N730,X-ray exam thorac spine4/>vw,Non-Invasive,Radiography,Spine,None (Non-invasive procedures)
72080,N730,X-ray exam trunk spine 2 vws,Non-Invasive,Radiography,Spine,None (Non-invasive procedures)
72081,N730,X-ray exam entire spi 1 vw,Non-Invasive,Radiography,Spine,None (Non-invasive procedures)
72082,N730,X-ray exam entire spi 2/3 vw,Non-Invasive,Radiography,Spine,None (Non-invasive procedures)
72083,N730,X-ray exam entire spi 4/5 vw,Non-Invasive,Radiography,Spine,None (Non-invasive procedures)
72084,N730,X-ray exam entire spi 6/> vw,Non-Invasive,Radiography,Spine,None (Non-invasive procedures)
72090,N730,"X-ray exam scloiosis erect, X-ray exam of trunk spine",Non-Invasive,Radiography,Spine,None (Non-invasive procedures)
72100,N730,X-ray exam of lower spine 2/3 vws,Non-Invasive,Radiography,Spine,None (Non-invasive procedures)
72110,N730,X-ray exam of lower spine 4/>vws,Non-Invasive,Radiography,Spine,None (Non-invasive procedures)
72114,N730,X-ray exam of lower spine bending,Non-Invasive,Radiography,Spine,None (Non-invasive procedures)
72120,N730,X-ray exam of lower spine bend only,Non-Invasive,Radiography,Spine,None (Non-invasive procedures)
72125,N330,CT neck spine w/o dye,Non-Invasive,Computerized tomography,Spine,None (Non-invasive procedures)
72126,N330,CT neck spine w/dye,Non-Invasive,Computerized tomography,Spine,None (Non-invasive procedures)
72127,N330,CT neck spine w/o & w/dye,Non-Invasive,Computerized tomography,Spine,None (Non-invasive procedures)
72128,N330,CT chest spine w/o dye,Non-Invasive,Computerized tomography,Spine,None (Non-invasive procedures)
72129,N330,CT chest spine w/dye,Non-Invasive,Computerized tomography,Spine,None (Non-invasive procedures)
72130,N330,CT chest spine w/o & w/dye,Non-Invasive,Computerized tomography,Spine,None (Non-invasive procedures)
72131,N330,CT lumbar spine w/o dye,Non-Invasive,Computerized tomography,Spine,None (Non-invasive procedures)
72132,N330,CT lumbar spine w/dye,Non-Invasive,Computerized tomography,Spine,None (Non-invasive procedures)
72133,N330,CT lumbar spine w/o & w/dye,Non-Invasive,Computerized tomography,Spine,None (Non-invasive procedures)
72141,N430,MRI neck spine w/o dye,Non-Invasive,Magnetic resonance,Spine,None (Non-invasive procedures)
72142,N430,MRI neck spine w/dye,Non-Invasive,Magnetic resonance,Spine,None (Non-invasive procedures)
72146,N430,MRI chest spine w/o dye,Non-Invasive,Magnetic resonance,Spine,None (Non-invasive procedures)
72147,N430,MRI chest spine w/dye,Non-Invasive,Magnetic resonance,Spine,None (Non-invasive procedures)
72148,N430,MRI lumbar spine w/o dye,Non-Invasive,Magnetic resonance,Spine,None (Non-invasive procedures)
72149,N430,MRI lumbar spine w/dye,Non-Invasive,Magnetic resonance,Spine,None (Non-invasive procedures)
72156,N430,MRI neck spine w/o & w/dye,Non-Invasive,Magnetic resonance,Spine,None (Non-invasive procedures)
72157,N430,MRI chest spine w/o & w/dye,Non-Invasive,Magnetic resonance,Spine,None (Non-invasive procedures)
72158,N430,MRI lumbar spine w/o & w/dye,Non-Invasive,Magnetic resonance,Spine,None (Non-invasive procedures)
72159,N436,Mr angio spine w/o&w/dye,Non-Invasive,Magnetic resonance,Spine,Vascular
72170,N764,X-ray exam of pelvis,Non-Invasive,Radiography,Abdomen/pelvis,Musculoskeletal
72190,N764,X-ray exam of pelvis,Non-Invasive,Radiography,Abdomen/pelvis,Musculoskeletal
72191,N366,CT angiograph pelv w/o&w/dye,Non-Invasive,Computerized tomography,Abdomen/pelvis,Vascular
72192,N360,CT pelvis w/o dye,Non-Invasive,Computerized tomography,Abdomen/pelvis,None (Non-invasive procedures)
72193,N360,CT pelvis w/dye,Non-Invasive,Computerized tomography,Abdomen/pelvis,None (Non-invasive procedures)
72194,N360,CT pelvis w/o & w/dye,Non-Invasive,Computerized tomography,Abdomen/pelvis,None (Non-invasive procedures)
72195,N460,MRI pelvis w/o dye,Non-Invasive,Magnetic resonance,Abdomen/pelvis,None (Non-invasive procedures)
72196,N460,MRI pelvis w/dye,Non-Invasive,Magnetic resonance,Abdomen/pelvis,None (Non-invasive procedures)
72197,N460,MRI pelvis w/o & w/dye,Non-Invasive,Magnetic resonance,Abdomen/pelvis,None (Non-invasive procedures)
72198,N466,MR angio pelvis w/o & w/dye,Non-Invasive,Magnetic resonance,Abdomen/pelvis,Vascular
72200,N764,X-ray exam sacroiliac joints,Non-Invasive,Radiography,Abdomen/pelvis,Musculoskeletal
72202,N764,X-ray exam sacroiliac joints 3/> vws,Non-Invasive,Radiography,Abdomen/pelvis,Musculoskeletal
72220,N764,X-ray exam sacrum tailbone,Non-Invasive,Radiography,Abdomen/pelvis,Musculoskeletal
72240,I999,"Myelography neck spine, X-ray of neck spine contrast",Invasive,Invasive,Invasive,None (Invasive procedures)
72255,I999,"Myelography thoracic spine, X-ray thorax spine contrast",Invasive,Invasive,Invasive,None (Invasive procedures)
72265,I999,"Myelography l-s spine Contrast, x-ray lower spine",Invasive,Invasive,Invasive,None (Invasive procedures)
72270,I999,Myelogphy 2/> spine regions Contrast x-ray,Invasive,Invasive,Invasive,None (Invasive procedures)
72275,I999,Epidurography,Invasive,Invasive,Invasive,None (Invasive procedures)
72285,I999,"Discography cerv/thor spine, X-ray c/t spine disk ",Invasive,Invasive,Invasive,None (Invasive procedures)
72291,I999,Perq verte/sacroplsty fluor,Invasive,Invasive,Invasive,None (Invasive procedures)
72292,I999,Perq verte/sacroplsty ct,Invasive,Invasive,Invasive,None (Invasive procedures)
72295,I999,X-ray of lower spine disk,Invasive,Invasive,Invasive,None (Invasive procedures)
73000,N754,X-ray exam of collar bone,Non-Invasive,Radiography,Chest,Musculoskeletal
73010,N774,X-ray exam of shoulder blade,Non-Invasive,Radiography,Extremity,Musculoskeletal
73020,N774,X-ray exam of shoulder,Non-Invasive,Radiography,Extremity,Musculoskeletal
73030,N774,X-ray exam of shoulder,Non-Invasive,Radiography,Extremity,Musculoskeletal
73040,I999,Contrast x-ray of shoulder,Invasive,Invasive,Invasive,None (Invasive procedures)
73050,N774,X-ray exam of shoulders,Non-Invasive,Radiography,Extremity,Musculoskeletal
73060,N774,X-ray exam of humerus,Non-Invasive,Radiography,Extremity,Musculoskeletal
73070,N774,X-ray exam of elbow,Non-Invasive,Radiography,Extremity,Musculoskeletal
73080,N774,X-ray exam of elbow,Non-Invasive,Radiography,Extremity,Musculoskeletal
73085,I999,Contrast x-ray of elbow,Invasive,Invasive,Invasive,None (Invasive procedures)
73090,N774,X-ray exam of forearm,Non-Invasive,Radiography,Extremity,Musculoskeletal
73092,N774,"X-ray exam of arm, infant",Non-Invasive,Radiography,Extremity,Musculoskeletal
73100,N774,X-ray exam of wrist,Non-Invasive,Radiography,Extremity,Musculoskeletal
73110,N774,X-ray exam of wrist,Non-Invasive,Radiography,Extremity,Musculoskeletal
73115,I999,Contrast x-ray of wrist,Invasive,Invasive,Invasive,None (Invasive procedures)
73120,N774,X-ray exam of hand,Non-Invasive,Radiography,Extremity,Musculoskeletal
73130,N774,X-ray exam of hand,Non-Invasive,Radiography,Extremity,Musculoskeletal
73140,N774,X-ray exam of finger(s),Non-Invasive,Radiography,Extremity,Musculoskeletal
73200,N374,CT upper extremity w/o dye,Non-Invasive,Computerized tomography,Extremity,Musculoskeletal
73201,N374,CT upper extremity w/dye,Non-Invasive,Computerized tomography,Extremity,Musculoskeletal
73202,N374,CT uppr extremity w/o&w/dye,Non-Invasive,Computerized tomography,Extremity,Musculoskeletal
73206,N376,CT angio upr extrm w/o&w/dye,Non-Invasive,Computerized tomography,Extremity,Vascular
73218,N474,MRI upper extremity w/o dye,Non-Invasive,Magnetic resonance,Extremity,Musculoskeletal
73219,N474,MRI upper extremity w/dye,Non-Invasive,Magnetic resonance,Extremity,Musculoskeletal
73220,N474,MRI uppr extremity w/o&w/dye,Non-Invasive,Magnetic resonance,Extremity,Musculoskeletal
73221,N474,MRI joint upr extrem w/o dye,Non-Invasive,Magnetic resonance,Extremity,Musculoskeletal
73222,N474,MRI joint upr extrem w/dye,Non-Invasive,Magnetic resonance,Extremity,Musculoskeletal
73223,N474,MRI joint upr extr w/o&w/dye,Non-Invasive,Magnetic resonance,Extremity,Musculoskeletal
73225,N474,Mr angio upr extr w/o&w/dye,Non-Invasive,Magnetic resonance,Extremity,Musculoskeletal
73500,N764,X-ray exam of hip,Non-Invasive,Radiography,Abdomen/pelvis,Musculoskeletal
73501,N764,X-ray exam hip uni 1 view,Non-Invasive,Radiography,Abdomen/pelvis,Musculoskeletal
73502,N764,X-ray exam hip uni 2-3 views,Non-Invasive,Radiography,Abdomen/pelvis,Musculoskeletal
73503,N764,X-ray exam hip uni 4/> views,Non-Invasive,Radiography,Abdomen/pelvis,Musculoskeletal
73510,N764,X-ray exam of hip,Non-Invasive,Radiography,Abdomen/pelvis,Musculoskeletal
73520,N764,X-ray exam of hips,Non-Invasive,Radiography,Abdomen/pelvis,Musculoskeletal
73521,N764,X-ray exam hips bi 2 views,Non-Invasive,Radiography,Abdomen/pelvis,Musculoskeletal
73522,N764,X-ray exam hips bi 3-4 views,Non-Invasive,Radiography,Abdomen/pelvis,Musculoskeletal
73523,N764,X-ray exam hips bi 5/> views,Non-Invasive,Radiography,Abdomen/pelvis,Musculoskeletal
73525,I999,Contrast x-ray of hip,Invasive,Invasive,Invasive,None (Invasive procedures)
73530,N764,X-ray exam of hip,Non-Invasive,Radiography,Abdomen/pelvis,Musculoskeletal
73540,N764,X-ray exam of pelvis & hips,Non-Invasive,Radiography,Abdomen/pelvis,Musculoskeletal
73542,N764,X-ray exam sacroiliac joint,Non-Invasive,Radiography,Abdomen/pelvis,Musculoskeletal
73550,N774,X-ray exam of thigh,Non-Invasive,Radiography,Extremity,Musculoskeletal
73551,N774,X-ray exam of femur 1,Non-Invasive,Radiography,Extremity,Musculoskeletal
73552,N774,X-ray exam of femur 2/>,Non-Invasive,Radiography,Extremity,Musculoskeletal
73560,N774,X-ray exam of knee 1 or 2,Non-Invasive,Radiography,Extremity,Musculoskeletal
73562,N774,X-ray exam of knee 3,Non-Invasive,Radiography,Extremity,Musculoskeletal
73564,N774,X-ray exam knee 4 or more,Non-Invasive,Radiography,Extremity,Musculoskeletal
73565,N774,X-ray exam of knees,Non-Invasive,Radiography,Extremity,Musculoskeletal
73580,I999,Contrast x-ray of knee joint,Invasive,Invasive,Invasive,None (Invasive procedures)
73590,N774,X-ray exam of lower leg,Non-Invasive,Radiography,Extremity,Musculoskeletal
73592,N774,"X-ray exam of leg, infant",Non-Invasive,Radiography,Extremity,Musculoskeletal
73600,N774,X-ray exam of ankle,Non-Invasive,Radiography,Extremity,Musculoskeletal
73610,N774,X-ray exam of ankle,Non-Invasive,Radiography,Extremity,Musculoskeletal
73615,I999,Contrast x-ray of ankle,Invasive,Invasive,Invasive,None (Invasive procedures)
73620,N774,X-ray exam of foot,Non-Invasive,Radiography,Extremity,Musculoskeletal
73630,N774,X-ray exam of foot,Non-Invasive,Radiography,Extremity,Musculoskeletal
73650,N774,X-ray exam of heel,Non-Invasive,Radiography,Extremity,Musculoskeletal
73660,N774, X-ray exam of toe(s),Non-Invasive,Radiography,Extremity,Musculoskeletal
73700,N374,CT lower extremity w/o dye,Non-Invasive,Computerized tomography,Extremity,Musculoskeletal
73701,N374,CT lower extremity w/dye,Non-Invasive,Computerized tomography,Extremity,Musculoskeletal
73702,N374,CT lwr extremity w/o&w/dye,Non-Invasive,Computerized tomography,Extremity,Musculoskeletal
73706,N376,CT angio lwr extr w/o&w/dye,Non-Invasive,Computerized tomography,Extremity,Vascular
73718,N474,MRI lower extremity w/o dye,Non-Invasive,Magnetic resonance,Extremity,Musculoskeletal
73719,N474,MRI lower extremity w/dye,Non-Invasive,Magnetic resonance,Extremity,Musculoskeletal
73720,N474,MRI lwr extremity w/o&w/dye,Non-Invasive,Magnetic resonance,Extremity,Musculoskeletal
73721,N474,MRI jnt of lwr extre w/o dye,Non-Invasive,Magnetic resonance,Extremity,Musculoskeletal
73722,N474,MRI joint of lwr extr w/dye,Non-Invasive,Magnetic resonance,Extremity,Musculoskeletal
73723,N474,MRI joint lwr extr w/o&w/dye,Non-Invasive,Magnetic resonance,Extremity,Musculoskeletal
73725,N476,MR ang lwr ext w or w/o dye,Non-Invasive,Magnetic resonance,Extremity,Vascular
74000,N760,X-ray exam of abdomen,Non-Invasive,Radiography,Abdomen/pelvis,None (Non-invasive procedures)
74010,N760,X-ray exam of abdomen,Non-Invasive,Radiography,Abdomen/pelvis,None (Non-invasive procedures)
74018,N760,X-ray exam abdomen 1 view,Non-Invasive,Radiography,Abdomen/pelvis,None (Non-invasive procedures)
74019,N760,X-ray exam abdomen 2 views,Non-Invasive,Radiography,Abdomen/pelvis,None (Non-invasive procedures)
74020,N760,X-ray exam of abdomen,Non-Invasive,Radiography,Abdomen/pelvis,None (Non-invasive procedures)
74021,N760,X-ray exam abdomen 3+ views,Non-Invasive,Radiography,Abdomen/pelvis,None (Non-invasive procedures)
74022,N760,X-ray exam series abdomen,Non-Invasive,Radiography,Abdomen/pelvis,None (Non-invasive procedures)
74150,N360,CT abdomen w/o dye,Non-Invasive,Computerized tomography,Abdomen/pelvis,None (Non-invasive procedures)
74160,N360,CT abdomen w/dye,Non-Invasive,Computerized tomography,Abdomen/pelvis,None (Non-invasive procedures)
74170,N360,CT abdomen w/o & w/dye,Non-Invasive,Computerized tomography,Abdomen/pelvis,None (Non-invasive procedures)
74174,N366,CT angio abd&pelv w/o&w/dye,Non-Invasive,Computerized tomography,Abdomen/pelvis,Vascular
74175,N366,CT angio abdom w/o & w/dye,Non-Invasive,Computerized tomography,Abdomen/pelvis,Vascular
74176,N360,CT abd & pelvis,Non-Invasive,Computerized tomography,Abdomen/pelvis,None (Non-invasive procedures)
74177,N360,CT abd & pelv w/contrast,Non-Invasive,Computerized tomography,Abdomen/pelvis,None (Non-invasive procedures)
74178,N360,CT abd & pelv 1/> regns,Non-Invasive,Computerized tomography,Abdomen/pelvis,None (Non-invasive procedures)
74181,N460,MRI abdomen w/o dye,Non-Invasive,Magnetic resonance,Abdomen/pelvis,None (Non-invasive procedures)
74182,N460,MRI abdomen w/dye,Non-Invasive,Magnetic resonance,Abdomen/pelvis,None (Non-invasive procedures)
74183,N460,MRI abdomen w/o & w/dye,Non-Invasive,Magnetic resonance,Abdomen/pelvis,None (Non-invasive procedures)
74185,N466,MRI angio abdom w orw/o dye,Non-Invasive,Magnetic resonance,Abdomen/pelvis,Vascular
74190,I999,X-ray exam of peritoneum,Invasive,Invasive,Invasive,None (Invasive procedures)
74210,N722,Contrst x-ray exam of throat,Non-Invasive,Radiography,Head/neck,Gastrointestinal
74220,N752,Contrast x-ray esophagus,Non-Invasive,Radiography,Chest,Gastrointestinal
74221,N752,"Radiologic examination, esophagus, including scout chest radiograph(s) and delayed image(s), when performed; double-contrast (eg, high-density barium and effervescent agent) study",Non-Invasive,Radiography,Chest,Gastrointestinal
74230,N720,Cine/vid x-ray throat/esoph,Non-Invasive,Radiography,Head/neck,None (Non-invasive procedures)
74235,I999,Remove esophagus obstruction,Invasive,Invasive,Invasive,None (Invasive procedures)
74240,N762, X-ray upper gi delay w/o kub,Non-Invasive,Radiography,Abdomen/pelvis,Gastrointestinal
74241,N762,X-ray upper gi delay w/kub,Non-Invasive,Radiography,Abdomen/pelvis,Gastrointestinal
74245,N762,X-ray upper gi tract &small intest,Non-Invasive,Radiography,Abdomen/pelvis,Gastrointestinal
74246,N762,Contrst x-ray uppr gi tract,Non-Invasive,Radiography,Abdomen/pelvis,Gastrointestinal
74247,N762,Contrst x-ray uppr gi tract,Non-Invasive,Radiography,Abdomen/pelvis,Gastrointestinal
74248,N752,"Radiologic small intestine follow-through study, including multiple serial images (List separately in addition to code for primary procedure for upper GI radiologic examination)",Non-Invasive,Radiography,Chest,Gastrointestinal
74249,N762,Contrst x-ray uppr gi tract,Non-Invasive,Radiography,Abdomen/pelvis,Gastrointestinal
74250,N762,X-ray exam of small bowel,Non-Invasive,Radiography,Abdomen/pelvis,Gastrointestinal
74251,N762,X-ray exam of small bowel,Non-Invasive,Radiography,Abdomen/pelvis,Gastrointestinal
74260,N762,X-ray exam of small bowel,Non-Invasive,Radiography,Abdomen/pelvis,Gastrointestinal
74261,N362,CT colonography dx,Non-Invasive,Computerized tomography,Abdomen/pelvis,Gastrointestinal
74262,N362,CT colonography dx w/dye,Non-Invasive,Computerized tomography,Abdomen/pelvis,Gastrointestinal
74263,N362,Ct colonography screening,Non-Invasive,Computerized tomography,Abdomen/pelvis,Gastrointestinal
74270,N762,Contrast x-ray exam of colon,Non-Invasive,Radiography,Abdomen/pelvis,Gastrointestinal
74280,N762,Contrast x-ray exam of colon,Non-Invasive,Radiography,Abdomen/pelvis,Gastrointestinal
74283,I999,Contrast x-ray exam of colon,Invasive,Invasive,Invasive,None (Invasive procedures)
74290,I999,Contrast x-ray gallbladder,Invasive,Invasive,Invasive,None (Invasive procedures)
74291,I999,Contrast x-rays gallbladder,Invasive,Invasive,Invasive,None (Invasive procedures)
