bill_type_code,bill_type_description,deprecated,deprecated_date
"121","Hospital Inpatient (Part B) Admit Through Discharge","0",
"122","Hospital Inpatient (Part B) Interim - First Claim","0",
"123","Hospital Inpatient (Part B) Interim-Continuing Claims","0",
"124","Hospital Inpatient (Part B) Interim - Last Claim","0",
"125","Hospital Inpatient (Part B) Late Charge Only","0",
"127","Hospital Inpatient (Part B) Replacement of Prior Claim","0",
"128","Hospital Inpatient (Part B) Void/Cancel of Prior Claim","0",
"129","Hospital Inpatient (Part B) Final claim for a Home Health PPS Period","0",
"12A","Hospital Inpatient (Part B) Admission/Election Notice for Hospice","0",
"12B","Hospital Inpatient (Part B) Hospice Termination/ Revocation Notice","0",
"12C","Hospital Inpatient (Part B) Hospice Change of Provider Notice","0",
"12D","Hospital Inpatient (Part B) Hospice Election Void/Cancel","0",
"12E","Hospital Inpatient (Part B) Hospice Change of Ownership","0",
"12F","Hospital Inpatient (Part B) Beneficiary Initiated Adjustment Claim","0",
"12G","Hospital Inpatient (Part B) CWF Initiated Adjustment Claim","0",
"12H","Hospital Inpatient (Part B) CMS Initiated Adjustment Claim","0",
"12I","Hospital Inpatient (Part B) FI Adjustment Claim (Other than QIO or Provider)","0",
"12J","Hospital Inpatient (Part B) Initiated Adjustment Claim/Other","0",
"12K","Hospital Inpatient (Part B) OIG Initiated Adjustment Claim","0",
"12M","Hospital Inpatient (Part B) MSP Initiated Adjustment Claim","0",
"12O","Hospital Inpatient (Part B) Nonpayment/Zero Claims","0",
"12P","Hospital Inpatient (Part B) QIO Adjustment Claim","0",
"12Q","Hospital Inpatient (Part B) Reopening/Adjustment","0",
"12X","Hospital Inpatient (Part B) Void/Cancel a Prior Abbreviated Encounter Submission","0",
"12Y","Hospital Inpatient (Part B) Replacement of Prior Abbreviated Encounter Submission","0",
"12Z","Hospital Inpatient (Part B) New Abbreviated Encounter Submission","0",
"130","Hospital Outpatient Non-payment/Zero Claim","0",
"131","Hospital Outpatient Admit Through Discharge","0",
"132","Hospital Outpatient Interim - First Claim","0",
"133","Hospital Outpatient Interim-Continuing Claims","0",
"134","Hospital Outpatient Interim - Last Claim","0",
"135","Hospital Outpatient Late Charge Only","0",
"137","Hospital Outpatient Replacement of Prior Claim","0",
"138","Hospital Outpatient Void/Cancel of Prior Claim","0",
"139","Hospital Outpatient Final claim for a Home Health PPS Period","0",
"13A","Hospital Outpatient Admission/Election Notice for Hospice","0",
"13B","Hospital Outpatient Hospice Termination/ Revocation Notice","0",
"13C","Hospital Outpatient Hospice Change of Provider Notice","0",
"13D","Hospital Outpatient Hospice Election Void/Cancel","0",
"13E","Hospital Outpatient Hospice Change of Ownership","0",
"13F","Hospital Outpatient Beneficiary Initiated Adjustment Claim","0",
"13G","Hospital Outpatient CWF Initiated Adjustment Claim","0",
"13H","Hospital Outpatient CMS Initiated Adjustment Claim","0",
"13I","Hospital Outpatient FI Adjustment Claim (Other than QIO or Provider)","0",
"13J","Hospital Outpatient Initiated Adjustment Claim/Other","0",
"13K","Hospital Outpatient OIG Initiated Adjustment Claim","0",
"13M","Hospital Outpatient MSP Initiated Adjustment Claim","0",
"13O","Hospital Outpatient Nonpayment/Zero Claims","0",
"13P","Hospital Outpatient QIO Adjustment Claim","0",
"13Q","Hospital Outpatient Reopening/Adjustment","0",
"13X","Hospital Outpatient Void/Cancel a Prior Abbreviated Encounter Submission","0",
"13Y","Hospital Outpatient Replacement of Prior Abbreviated Encounter Submission","0",
"13Z","Hospital Outpatient New Abbreviated Encounter Submission","0",
"140","Hospital Other (Part B) Non-payment/Zero Claim","0",
"141","Hospital Other (Part B) Admit Through Discharge","0",
"142","Hospital Other (Part B) Interim - First Claim","0",
"143","Hospital Other (Part B) Interim-Continuing Claims","0",
"144","Hospital Other (Part B) Interim - Last Claim","0",
"145","Hospital Other (Part B) Late Charge Only","0",
"147","Hospital Other (Part B) Replacement of Prior Claim","0",
"148","Hospital Other (Part B) Void/Cancel of Prior Claim","0",
"149","Hospital Other (Part B) Final claim for a Home Health PPS Period","0",
"14A","Hospital Other (Part B) Admission/Election Notice for Hospice","0",
"14B","Hospital Other (Part B) Hospice Termination/ Revocation Notice","0",
"14C","Hospital Other (Part B) Hospice Change of Provider Notice","0",
"14D","Hospital Other (Part B) Hospice Election Void/Cancel","0",
"14E","Hospital Other (Part B) Hospice Change of Ownership","0",
"14F","Hospital Other (Part B) Beneficiary Initiated Adjustment Claim","0",
"14G","Hospital Other (Part B) CWF Initiated Adjustment Claim","0",
"14H","Hospital Other (Part B) CMS Initiated Adjustment Claim","0",
"14I","Hospital Other (Part B) FI Adjustment Claim (Other than QIO or Provider)","0",
"14J","Hospital Other (Part B) Initiated Adjustment Claim/Other","0",
"14K","Hospital Other (Part B) OIG Initiated Adjustment Claim","0",
"14M","Hospital Other (Part B) MSP Initiated Adjustment Claim","0",
"14O","Hospital Other (Part B) Nonpayment/Zero Claims","0",
"14P","Hospital Other (Part B) QIO Adjustment Claim","0",
"14Q","Hospital Other (Part B) Reopening/Adjustment","0",
"14X","Hospital Other (Part B) Void/Cancel a Prior Abbreviated Encounter Submission","0",
"14Y","Hospital Other (Part B) Replacement of Prior Abbreviated Encounter Submission","0",
"14Z","Hospital Other (Part B) New Abbreviated Encounter Submission","0",
"150","Hospital Intermediate Care - Level I Non-payment/Zero Claim","0",
"151","Hospital Intermediate Care - Level I Admit Through Discharge","0",
"152","Hospital Intermediate Care - Level I Interim - First Claim","0",
"153","Hospital Intermediate Care - Level I Interim-Continuing Claims","0",
"154","Hospital Intermediate Care - Level I Interim - Last Claim","0",
"155","Hospital Intermediate Care - Level I Late Charge Only","0",
"157","Hospital Intermediate Care - Level I Replacement of Prior Claim","0",
"158","Hospital Intermediate Care - Level I Void/Cancel of Prior Claim","0",
"159","Hospital Intermediate Care - Level I Final claim for a Home Health PPS Period","0",
"15A","Hospital Intermediate Care - Level I Admission/Election Notice for Hospice","0",
"15B","Hospital Intermediate Care - Level I Hospice Termination/ Revocation Notice","0",
"15C","Hospital Intermediate Care - Level I Hospice Change of Provider Notice","0",
"15D","Hospital Intermediate Care - Level I Hospice Election Void/Cancel","0",
"15E","Hospital Intermediate Care - Level I Hospice Change of Ownership","0",
"15F","Hospital Intermediate Care - Level I Beneficiary Initiated Adjustment Claim","0",
"15G","Hospital Intermediate Care - Level I CWF Initiated Adjustment Claim","0",
"15H","Hospital Intermediate Care - Level I CMS Initiated Adjustment Claim","0",
"15I","Hospital Intermediate Care - Level I FI Adjustment Claim (Other than QIO or Provider)","0",
"15J","Hospital Intermediate Care - Level I Initiated Adjustment Claim/Other","0",
"15K","Hospital Intermediate Care - Level I OIG Initiated Adjustment Claim","0",
"15M","Hospital Intermediate Care - Level I MSP Initiated Adjustment Claim","0",
"15O","Hospital Intermediate Care - Level I Nonpayment/Zero Claims","0",
"15P","Hospital Intermediate Care - Level I QIO Adjustment Claim","0",
"15Q","Hospital Intermediate Care - Level I Reopening/Adjustment","0",
"15X","Hospital Intermediate Care - Level I Void/Cancel a Prior Abbreviated Encounter Submission","0",
"15Y","Hospital Intermediate Care - Level I Replacement of Prior Abbreviated Encounter Submission","0",
"15Z","Hospital Intermediate Care - Level I New Abbreviated Encounter Submission","0",
"160","Hospital Intermediate Care - Level II Non-payment/Zero Claim","0",
"161","Hospital Intermediate Care - Level II Admit Through Discharge","0",
"162","Hospital Intermediate Care - Level II Interim - First Claim","0",
"163","Hospital Intermediate Care - Level II Interim-Continuing Claims","0",
"164","Hospital Intermediate Care - Level II Interim - Last Claim","0",
"165","Hospital Intermediate Care - Level II Late Charge Only","0",
"167","Hospital Intermediate Care - Level II Replacement of Prior Claim","0",
"168","Hospital Intermediate Care - Level II Void/Cancel of Prior Claim","0",
"169","Hospital Intermediate Care - Level II Final claim for a Home Health PPS Period","0",
"16A","Hospital Intermediate Care - Level II Admission/Election Notice for Hospice","0",
"16B","Hospital Intermediate Care - Level II Hospice Termination/ Revocation Notice","0",
"16C","Hospital Intermediate Care - Level II Hospice Change of Provider Notice","0",
"16D","Hospital Intermediate Care - Level II Hospice Election Void/Cancel","0",
"16E","Hospital Intermediate Care - Level II Hospice Change of Ownership","0",
"16F","Hospital Intermediate Care - Level II Beneficiary Initiated Adjustment Claim","0",
"16G","Hospital Intermediate Care - Level II CWF Initiated Adjustment Claim","0",
"16H","Hospital Intermediate Care - Level II CMS Initiated Adjustment Claim","0",
"16I","Hospital Intermediate Care - Level II FI Adjustment Claim (Other than QIO or Provider)","0",
"16J","Hospital Intermediate Care - Level II Initiated Adjustment Claim/Other","0",
"16K","Hospital Intermediate Care - Level II OIG Initiated Adjustment Claim","0",
"16M","Hospital Intermediate Care - Level II MSP Initiated Adjustment Claim","0",
"16O","Hospital Intermediate Care - Level II Nonpayment/Zero Claims","0",
"16P","Hospital Intermediate Care - Level II QIO Adjustment Claim","0",
"16Q","Hospital Intermediate Care - Level II Reopening/Adjustment","0",
"16X","Hospital Intermediate Care - Level II Void/Cancel a Prior Abbreviated Encounter Submission","0",
"16Y","Hospital Intermediate Care - Level II Replacement of Prior Abbreviated Encounter Submission","0",
"16Z","Hospital Intermediate Care - Level II New Abbreviated Encounter Submission","0",
"170","Hospital Subacute Inpatient Non-payment/Zero Claim","0",
"171","Hospital Subacute Inpatient Admit Through Discharge","0",
"172","Hospital Subacute Inpatient Interim - First Claim","0",
"173","Hospital Subacute Inpatient Interim-Continuing Claims","0",
"174","Hospital Subacute Inpatient Interim - Last Claim","0",
"175","Hospital Subacute Inpatient Late Charge Only","0",
"177","Hospital Subacute Inpatient Replacement of Prior Claim","0",
"178","Hospital Subacute Inpatient Void/Cancel of Prior Claim","0",
"179","Hospital Subacute Inpatient Final claim for a Home Health PPS Period","0",
"17A","Hospital Subacute Inpatient Admission/Election Notice for Hospice","0",
"17B","Hospital Subacute Inpatient Hospice Termination/ Revocation Notice","0",
"17C","Hospital Subacute Inpatient Hospice Change of Provider Notice","0",
"17D","Hospital Subacute Inpatient Hospice Election Void/Cancel","0",
"17E","Hospital Subacute Inpatient Hospice Change of Ownership","0",
"17F","Hospital Subacute Inpatient Beneficiary Initiated Adjustment Claim","0",
"17G","Hospital Subacute Inpatient CWF Initiated Adjustment Claim","0",
"17H","Hospital Subacute Inpatient CMS Initiated Adjustment Claim","0",
"17I","Hospital Subacute Inpatient FI Adjustment Claim (Other than QIO or Provider)","0",
"17J","Hospital Subacute Inpatient Initiated Adjustment Claim/Other","0",
"17K","Hospital Subacute Inpatient OIG Initiated Adjustment Claim","0",
"17M","Hospital Subacute Inpatient MSP Initiated Adjustment Claim","0",
"17O","Hospital Subacute Inpatient Nonpayment/Zero Claims","0",
"17P","Hospital Subacute Inpatient QIO Adjustment Claim","0",
"17Q","Hospital Subacute Inpatient Reopening/Adjustment","0",
"17X","Hospital Subacute Inpatient Void/Cancel a Prior Abbreviated Encounter Submission","0",
"17Y","Hospital Subacute Inpatient Replacement of Prior Abbreviated Encounter Submission","0",
"17Z","Hospital Subacute Inpatient New Abbreviated Encounter Submission","0",
"180","Hospital Swing BedsNon-payment/Zero Claim","0",
"181","Hospital Swing BedsAdmit Through Discharge","0",
"182","Hospital Swing BedsInterim - First Claim","0",
"183","Hospital Swing BedsInterim-Continuing Claims","0",
"184","Hospital Swing BedsInterim - Last Claim","0",
"185","Hospital Swing BedsLate Charge Only","0",
"187","Hospital Swing BedsReplacement of Prior Claim","0",
"188","Hospital Swing BedsVoid/Cancel of Prior Claim","0",
"189","Hospital Swing BedsFinal claim for a Home Health PPS Period","0",
"18A","Hospital Swing BedsAdmission/Election Notice for Hospice","0",
"18B","Hospital Swing BedsHospice Termination/ Revocation Notice","0",
"18C","Hospital Swing BedsHospice Change of Provider Notice","0",
"18D","Hospital Swing BedsHospice Election Void/Cancel","0",
"18E","Hospital Swing BedsHospice Change of Ownership","0",
"18F","Hospital Swing BedsBeneficiary Initiated Adjustment Claim","0",
"18G","Hospital Swing BedsCWF Initiated Adjustment Claim","0",
"18H","Hospital Swing BedsCMS Initiated Adjustment Claim","0",
"18I","Hospital Swing BedsFI Adjustment Claim (Other than QIO or Provider)","0",
"18J","Hospital Swing BedsInitiated Adjustment Claim/Other","0",
"18K","Hospital Swing BedsOIG Initiated Adjustment Claim","0",
"18M","Hospital Swing BedsMSP Initiated Adjustment Claim","0",
"18O","Hospital Swing BedsNonpayment/Zero Claims","0",
"18P","Hospital Swing BedsQIO Adjustment Claim","0",
"18Q","Hospital Swing BedsReopening/Adjustment","0",
"18X","Hospital Swing BedsVoid/Cancel a Prior Abbreviated Encounter Submission","0",
"18Y","Hospital Swing BedsReplacement of Prior Abbreviated Encounter Submission","0",
"18Z","Hospital Swing BedsNew Abbreviated Encounter Submission","0",
"210","Skilled Nursing Facility (SNF) Inpatient (Part A) Non-payment/Zero Claim","0",
"211","Skilled Nursing Facility (SNF) Inpatient (Part A) Admit Through Discharge","0",
"212","Skilled Nursing Facility (SNF) Inpatient (Part A) Interim - First Claim","0",
"213","Skilled Nursing Facility (SNF) Inpatient (Part A) Interim-Continuing Claims","0",
"214","Skilled Nursing Facility (SNF) Inpatient (Part A) Interim - Last Claim","0",
"215","Skilled Nursing Facility (SNF) Inpatient (Part A) Late Charge Only","0",
"217","Skilled Nursing Facility (SNF) Inpatient (Part A) Replacement of Prior Claim","0",
"218","Skilled Nursing Facility (SNF) Inpatient (Part A) Void/Cancel of Prior Claim","0",
"219","Skilled Nursing Facility (SNF) Inpatient (Part A) Final claim for a Home Health PPS Period","0",
"21A","Skilled Nursing Facility (SNF) Inpatient (Part A) Admission/Election Notice for Hospice","0",
"21B","Skilled Nursing Facility (SNF) Inpatient (Part A) Hospice Termination/ Revocation Notice","0",
"21C","Skilled Nursing Facility (SNF) Inpatient (Part A) Hospice Change of Provider Notice","0",
"21D","Skilled Nursing Facility (SNF) Inpatient (Part A) Hospice Election Void/Cancel","0",
"21E","Skilled Nursing Facility (SNF) Inpatient (Part A) Hospice Change of Ownership","0",
"21F","Skilled Nursing Facility (SNF) Inpatient (Part A) Beneficiary Initiated Adjustment Claim","0",
"21G","Skilled Nursing Facility (SNF) Inpatient (Part A) CWF Initiated Adjustment Claim","0",
"21H","Skilled Nursing Facility (SNF) Inpatient (Part A) CMS Initiated Adjustment Claim","0",
"21I","Skilled Nursing Facility (SNF) Inpatient (Part A) FI Adjustment Claim (Other than QIO or Provider)","0",
"21J","Skilled Nursing Facility (SNF) Inpatient (Part A) Initiated Adjustment Claim/Other","0",
"21K","Skilled Nursing Facility (SNF) Inpatient (Part A) OIG Initiated Adjustment Claim","0",
"21M","Skilled Nursing Facility (SNF) Inpatient (Part A) MSP Initiated Adjustment Claim","0",
"21O","Skilled Nursing Facility (SNF) Inpatient (Part A) Nonpayment/Zero Claims","0",
"21P","Skilled Nursing Facility (SNF) Inpatient (Part A) QIO Adjustment Claim","0",
"21Q","Skilled Nursing Facility (SNF) Inpatient (Part A) Reopening/Adjustment","0",
"21X","Skilled Nursing Facility (SNF) Inpatient (Part A) Void/Cancel a Prior Abbreviated Encounter Submission","0",
"21Y","Skilled Nursing Facility (SNF) Inpatient (Part A) Replacement of Prior Abbreviated Encounter Submission","0",
"21Z","Skilled Nursing Facility (SNF) Inpatient (Part A) New Abbreviated Encounter Submission","0",
"220","Skilled Nursing Facility (SNF) Inpatient (Part B) Non-payment/Zero Claim","0",
"221","Skilled Nursing Facility (SNF) Inpatient (Part B) Admit Through Discharge","0",
"222","Skilled Nursing Facility (SNF) Inpatient (Part B) Interim - First Claim","0",
"223","Skilled Nursing Facility (SNF) Inpatient (Part B) Interim-Continuing Claims","0",
"224","Skilled Nursing Facility (SNF) Inpatient (Part B) Interim - Last Claim","0",
"225","Skilled Nursing Facility (SNF) Inpatient (Part B) Late Charge Only","0",
"227","Skilled Nursing Facility (SNF) Inpatient (Part B) Replacement of Prior Claim","0",
"228","Skilled Nursing Facility (SNF) Inpatient (Part B) Void/Cancel of Prior Claim","0",
"229","Skilled Nursing Facility (SNF) Inpatient (Part B) Final claim for a Home Health PPS Period","0",
"22A","Skilled Nursing Facility (SNF) Inpatient (Part B) Admission/Election Notice for Hospice","0",
"22B","Skilled Nursing Facility (SNF) Inpatient (Part B) Hospice Termination/ Revocation Notice","0",
"22C","Skilled Nursing Facility (SNF) Inpatient (Part B) Hospice Change of Provider Notice","0",
"22D","Skilled Nursing Facility (SNF) Inpatient (Part B) Hospice Election Void/Cancel","0",
"22E","Skilled Nursing Facility (SNF) Inpatient (Part B) Hospice Change of Ownership","0",
"22F","Skilled Nursing Facility (SNF) Inpatient (Part B) Beneficiary Initiated Adjustment Claim","0",
"22G","Skilled Nursing Facility (SNF) Inpatient (Part B) CWF Initiated Adjustment Claim","0",
"22H","Skilled Nursing Facility (SNF) Inpatient (Part B) CMS Initiated Adjustment Claim","0",
"22I","Skilled Nursing Facility (SNF) Inpatient (Part B) FI Adjustment Claim (Other than QIO or Provider)","0",
"22J","Skilled Nursing Facility (SNF) Inpatient (Part B) Initiated Adjustment Claim/Other","0",
"22K","Skilled Nursing Facility (SNF) Inpatient (Part B) OIG Initiated Adjustment Claim","0",
"22M","Skilled Nursing Facility (SNF) Inpatient (Part B) MSP Initiated Adjustment Claim","0",
"22O","Skilled Nursing Facility (SNF) Inpatient (Part B) Nonpayment/Zero Claims","0",
"22P","Skilled Nursing Facility (SNF) Inpatient (Part B) QIO Adjustment Claim","0",
"22Q","Skilled Nursing Facility (SNF) Inpatient (Part B) Reopening/Adjustment","0",
"22X","Skilled Nursing Facility (SNF) Inpatient (Part B) Void/Cancel a Prior Abbreviated Encounter Submission","0",
"22Y","Skilled Nursing Facility (SNF) Inpatient (Part B) Replacement of Prior Abbreviated Encounter Submission","0",
"22Z","Skilled Nursing Facility (SNF) Inpatient (Part B) New Abbreviated Encounter Submission","0",
"230","Skilled Nursing Facility (SNF) Outpatient Non-payment/Zero Claim","0",
"231","Skilled Nursing Facility (SNF) Outpatient Admit Through Discharge","0",
"232","Skilled Nursing Facility (SNF) Outpatient Interim - First Claim","0",
"233","Skilled Nursing Facility (SNF) Outpatient Interim-Continuing Claims","0",
"234","Skilled Nursing Facility (SNF) Outpatient Interim - Last Claim","0",
"235","Skilled Nursing Facility (SNF) Outpatient Late Charge Only","0",
"237","Skilled Nursing Facility (SNF) Outpatient Replacement of Prior Claim","0",
"238","Skilled Nursing Facility (SNF) Outpatient Void/Cancel of Prior Claim","0",
"239","Skilled Nursing Facility (SNF) Outpatient Final claim for a Home Health PPS Period","0",
"23A","Skilled Nursing Facility (SNF) Outpatient Admission/Election Notice for Hospice","0",
"23B","Skilled Nursing Facility (SNF) Outpatient Hospice Termination/ Revocation Notice","0",
"23C","Skilled Nursing Facility (SNF) Outpatient Hospice Change of Provider Notice","0",
"23D","Skilled Nursing Facility (SNF) Outpatient Hospice Election Void/Cancel","0",
"23E","Skilled Nursing Facility (SNF) Outpatient Hospice Change of Ownership","0",
"23F","Skilled Nursing Facility (SNF) Outpatient Beneficiary Initiated Adjustment Claim","0",
"23G","Skilled Nursing Facility (SNF) Outpatient CWF Initiated Adjustment Claim","0",
"23H","Skilled Nursing Facility (SNF) Outpatient CMS Initiated Adjustment Claim","0",
"23I","Skilled Nursing Facility (SNF) Outpatient FI Adjustment Claim (Other than QIO or Provider)","0",
"23J","Skilled Nursing Facility (SNF) Outpatient Initiated Adjustment Claim/Other","0",
"23K","Skilled Nursing Facility (SNF) Outpatient OIG Initiated Adjustment Claim","0",
"23M","Skilled Nursing Facility (SNF) Outpatient MSP Initiated Adjustment Claim","0",
"23O","Skilled Nursing Facility (SNF) Outpatient Nonpayment/Zero Claims","0",
"23P","Skilled Nursing Facility (SNF) Outpatient QIO Adjustment Claim","0",
"23Q","Skilled Nursing Facility (SNF) Outpatient Reopening/Adjustment","0",
"23X","Skilled Nursing Facility (SNF) Outpatient Void/Cancel a Prior Abbreviated Encounter Submission","0",
"23Y","Skilled Nursing Facility (SNF) Outpatient Replacement of Prior Abbreviated Encounter Submission","0",
"23Z","Skilled Nursing Facility (SNF) Outpatient New Abbreviated Encounter Submission","0",
"240","Skilled Nursing Facility (SNF) Other (Part B) Non-payment/Zero Claim","0",
"241","Skilled Nursing Facility (SNF) Other (Part B) Admit Through Discharge","0",
"242","Skilled Nursing Facility (SNF) Other (Part B) Interim - First Claim","0",
"243","Skilled Nursing Facility (SNF) Other (Part B) Interim-Continuing Claims","0",
"244","Skilled Nursing Facility (SNF) Other (Part B) Interim - Last Claim","0",
"245","Skilled Nursing Facility (SNF) Other (Part B) Late Charge Only","0",
"247","Skilled Nursing Facility (SNF) Other (Part B) Replacement of Prior Claim","0",
"248","Skilled Nursing Facility (SNF) Other (Part B) Void/Cancel of Prior Claim","0",
"249","Skilled Nursing Facility (SNF) Other (Part B) Final claim for a Home Health PPS Period","0",
"24A","Skilled Nursing Facility (SNF) Other (Part B) Admission/Election Notice for Hospice","0",
"24B","Skilled Nursing Facility (SNF) Other (Part B) Hospice Termination/ Revocation Notice","0",
"24C","Skilled Nursing Facility (SNF) Other (Part B) Hospice Change of Provider Notice","0",
"24D","Skilled Nursing Facility (SNF) Other (Part B) Hospice Election Void/Cancel","0",
"24E","Skilled Nursing Facility (SNF) Other (Part B) Hospice Change of Ownership","0",
"24F","Skilled Nursing Facility (SNF) Other (Part B) Beneficiary Initiated Adjustment Claim","0",
"24G","Skilled Nursing Facility (SNF) Other (Part B) CWF Initiated Adjustment Claim","0",
"24H","Skilled Nursing Facility (SNF) Other (Part B) CMS Initiated Adjustment Claim","0",
"24I","Skilled Nursing Facility (SNF) Other (Part B) FI Adjustment Claim (Other than QIO or Provider)","0",
"24J","Skilled Nursing Facility (SNF) Other (Part B) Initiated Adjustment Claim/Other","0",
"24K","Skilled Nursing Facility (SNF) Other (Part B) OIG Initiated Adjustment Claim","0",
"24M","Skilled Nursing Facility (SNF) Other (Part B) MSP Initiated Adjustment Claim","0",
"24O","Skilled Nursing Facility (SNF) Other (Part B) Nonpayment/Zero Claims","0",
"24P","Skilled Nursing Facility (SNF) Other (Part B) QIO Adjustment Claim","0",
"24Q","Skilled Nursing Facility (SNF) Other (Part B) Reopening/Adjustment","0",
"24X","Skilled Nursing Facility (SNF) Other (Part B) Void/Cancel a Prior Abbreviated Encounter Submission","0",
"24Y","Skilled Nursing Facility (SNF) Other (Part B) Replacement of Prior Abbreviated Encounter Submission","0",
"24Z","Skilled Nursing Facility (SNF) Other (Part B) New Abbreviated Encounter Submission","0",
"250","Skilled Nursing Facility (SNF) Intermediate Care - Level I Non-payment/Zero Claim","0",
"251","Skilled Nursing Facility (SNF) Intermediate Care - Level I Admit Through Discharge","0",
"252","Skilled Nursing Facility (SNF) Intermediate Care - Level I Interim - First Claim","0",
"253","Skilled Nursing Facility (SNF) Intermediate Care - Level I Interim-Continuing Claims","0",
"254","Skilled Nursing Facility (SNF) Intermediate Care - Level I Interim - Last Claim","0",
"255","Skilled Nursing Facility (SNF) Intermediate Care - Level I Late Charge Only","0",
"257","Skilled Nursing Facility (SNF) Intermediate Care - Level I Replacement of Prior Claim","0",
"258","Skilled Nursing Facility (SNF) Intermediate Care - Level I Void/Cancel of Prior Claim","0",
"259","Skilled Nursing Facility (SNF) Intermediate Care - Level I Final claim for a Home Health PPS Period","0",
"25A","Skilled Nursing Facility (SNF) Intermediate Care - Level I Admission/Election Notice for Hospice","0",
"25B","Skilled Nursing Facility (SNF) Intermediate Care - Level I Hospice Termination/ Revocation Notice","0",
"25C","Skilled Nursing Facility (SNF) Intermediate Care - Level I Hospice Change of Provider Notice","0",
"25D","Skilled Nursing Facility (SNF) Intermediate Care - Level I Hospice Election Void/Cancel","0",
"25E","Skilled Nursing Facility (SNF) Intermediate Care - Level I Hospice Change of Ownership","0",
"25F","Skilled Nursing Facility (SNF) Intermediate Care - Level I Beneficiary Initiated Adjustment Claim","0",
"25G","Skilled Nursing Facility (SNF) Intermediate Care - Level I CWF Initiated Adjustment Claim","0",
"25H","Skilled Nursing Facility (SNF) Intermediate Care - Level I CMS Initiated Adjustment Claim","0",
"25I","Skilled Nursing Facility (SNF) Intermediate Care - Level I FI Adjustment Claim (Other than QIO or Provider)","0",
"25J","Skilled Nursing Facility (SNF) Intermediate Care - Level I Initiated Adjustment Claim/Other","0",
"25K","Skilled Nursing Facility (SNF) Intermediate Care - Level I OIG Initiated Adjustment Claim","0",
"25M","Skilled Nursing Facility (SNF) Intermediate Care - Level I MSP Initiated Adjustment Claim","0",
"25O","Skilled Nursing Facility (SNF) Intermediate Care - Level I Nonpayment/Zero Claims","0",
"25P","Skilled Nursing Facility (SNF) Intermediate Care - Level I QIO Adjustment Claim","0",
"25Q","Skilled Nursing Facility (SNF) Intermediate Care - Level I Reopening/Adjustment","0",
"25X","Skilled Nursing Facility (SNF) Intermediate Care - Level I Void/Cancel a Prior Abbreviated Encounter Submission","0",
"25Y","Skilled Nursing Facility (SNF) Intermediate Care - Level I Replacement of Prior Abbreviated Encounter Submission","0",
"25Z","Skilled Nursing Facility (SNF) Intermediate Care - Level I New Abbreviated Encounter Submission","0",
"260","Skilled Nursing Facility (SNF) Intermediate Care - Level II Non-payment/Zero Claim","0",
"261","Skilled Nursing Facility (SNF) Intermediate Care - Level II Admit Through Discharge","0",
"262","Skilled Nursing Facility (SNF) Intermediate Care - Level II Interim - First Claim","0",
"263","Skilled Nursing Facility (SNF) Intermediate Care - Level II Interim-Continuing Claims","0",
"264","Skilled Nursing Facility (SNF) Intermediate Care - Level II Interim - Last Claim","0",
"265","Skilled Nursing Facility (SNF) Intermediate Care - Level II Late Charge Only","0",
"267","Skilled Nursing Facility (SNF) Intermediate Care - Level II Replacement of Prior Claim","0",
