"icd_9_pcs","long_description","short_description"
0056,Insertion or replacement of implantable pressure sensor with lead for intracardiac or great vessel hemodynamic monitoring,Ins/rep sens-crd/vsl mtr
0057,Implantation or replacement of subcutaneous device for intracardiac or great vessel hemodynamic monitoring,Imp/rep subcue card dev
0058,Insertion of intra-aneurysm sac pressure monitoring device (intraoperative),Ins intra-ansm pres mntr
0059,Intravascular pressure measurement of coronary arteries,Intravasc msmnt cor art
0060,Insertion of drug-eluting stent(s) of superficial femoral artery,Ins d-e stnt sup fem art
0061,Percutaneous angioplasty of extracranial vessel(s),Perc angio extracran ves
0062,Percutaneous angioplasty of intracranial vessel(s),Perc angio intracran ves
0063,Percutaneous insertion of carotid artery stent(s),Perc ins carotid stent
0064,Percutaneous insertion of other extracranial artery stent(s),Perc ins extracran stent
0065,Percutaneous insertion of intracranial vascular stent(s),Perc ins intracran stent
0066,Percutaneous transluminal coronary angioplasty [PTCA],PTCA
0067,Intravascular pressure measurement of intrathoracic arteries,Intravas msmnt thorc art
0068,Intravascular pressure measurement of peripheral arteries,Intravas msmt periph art
0069,"Intravascular pressure measurement, other specified and unspecified vessels",Intravs msmt ves NEC/NOS
0070,"Revision of hip replacement, both acetabular and femoral components",Rev hip repl-acetab/fem
0071,"Revision of hip replacement, acetabular component",Rev hip repl-acetab comp
0072,"Revision of hip replacement, femoral component",Rev hip repl-fem comp
0073,"Revision of hip replacement, acetabular liner and/or femoral head only",Rev hip repl-liner/head
0074,"Hip bearing surface, metal-on-polyethylene","Hip surface, metal/poly"
0075,"Hip bearing surface, metal-on-metal","Hip surface, metal/metal"
0076,"Hip bearing surface, ceramic-on-ceramic","Hip surface, cermc/cermc"
0077,"Hip bearing surface, ceramic-on-polyethylene","Hip surface, cermc/poly"
0080,"Revision of knee replacement, total (all components)",Rev knee replacemt-total
0081,"Revision of knee replacement, tibial component",Rev knee repl-tibia comp
0082,"Revision of knee replacement, femoral component",Rev knee repl-femur comp
0083,"Revision of knee replacement, patellar component",Rev knee replace-patella
0084,"Revision of total knee replacement, tibial insert (liner)",Rev knee repl-tibia lin
0085,"Resurfacing hip, total, acetabulum and femoral head","Resrf hip,total-acet/fem"
0086,"Resurfacing hip, partial, femoral head","Resrf hip,part-fem head"
0087,"Resurfacing hip, partial, acetabulum","Resrf hip,part-acetablum"
0091,Transplant from live related donor,Trnsplnt live rel donor
0092,Transplant from live non-related donor,Trnsplnt live nonrel don
0093,Transplant from cadaver,Transplant cadaver donor
0094,Intra-operative neurophysiologic monitoring,Intra-op neurophys montr
0095,Injection or infusion of glucarpidase,Injct/infus glucarpidase
0096,Infusion of 4-Factor Prothrombin Complex Concentrate,Infusion 4F-PCC
0101,Cisternal puncture,Cisternal puncture
0102,Ventriculopuncture through previously implanted catheter,Ventricl shunt tube punc
0109,Other cranial puncture,Cranial puncture NEC
0110,Intracranial pressure monitoring,Intracran pressure montr
0111,Closed [percutaneous] [needle] biopsy of cerebral meninges,Clos cereb meninges bx
0112,Open biopsy of cerebral meninges,Open cereb meninges bx
0113,Closed [percutaneous] [needle] biopsy of brain,Closed brain biopsy
0114,Open biopsy of brain,Open brain biopsy
0115,Biopsy of skull,Skull biopsy
0116,Intracranial oxygen monitoring,Intracranial 02 monitor
0117,Brain temperature monitoring,Brain temp monitoring
0118,Other diagnostic procedures on brain and cerebral meninges,Other brain dx procedure
0119,Other diagnostic procedures on skull,Other skull dx procedure
0120,Cranial implantation or replacement of neurostimulator pulse generator,Imp/repl brain pulse gen
0121,Incision and drainage of cranial sinus,Cranial sinus i & d
0122,Removal of intracranial neurostimulator lead(s),Removal brain stim lead
0123,Reopening of craniotomy site,Reopen craniotomy site
0124,Other craniotomy,Other craniotomy
0125,Other craniectomy,Other craniectomy
0126,Insertion of catheter(s) into cranial cavity or tissue,Ins cath cranial cav/tis
0127,Removal of catheter(s) from cranial cavity or tissue,Rem cath cranial cav/tis
0128,Placement of intracerebral catheter(s) via burr hole(s),Intracereb cth-burr hole
0129,Removal of cranial neurostimulator pulse generator,Rem brain pulse generatr
0131,Incision of cerebral meninges,Incise cerebral meninges
0132,Lobotomy and tractotomy,Lobotomy & tractotomy
0139,Other incision of brain,Other brain incision
0141,Operations on thalamus,Thalamus operations
0142,Operations on globus pallidus,Globus pallidus ops
0151,Excision of lesion or tissue of cerebral meninges,Ex cereb meningeal les
0152,Hemispherectomy,Hemispherectomy
0153,Lobectomy of brain,Brain lobectomy
0159,Other excision or destruction of lesion or tissue of brain,Other brain excision
016,Excision of lesion of skull,Excise skull lesion
0201,Opening of cranial suture,Linear craniectomy
0202,Elevation of skull fracture fragments,Elevate skull fx fragmnt
0203,Formation of cranial bone flap,Skull flap formation
0204,Bone graft to skull,Bone graft to skull
0205,Insertion of skull plate,Skull plate insertion
0206,Other cranial osteoplasty,Cranial osteoplasty NEC
0207,Removal of skull plate,Skull plate removal
0211,Simple suture of dura mater of brain,Simple suture of dura
0212,Other repair of cerebral meninges,Brain meninge repair NEC
0213,Ligation of meningeal vessel,Meninge vessel ligation
0214,Choroid plexectomy,Choroid plexectomy
0221,Insertion or replacement of external ventricular drain [EVD],Insert/replace EVD
0222,Intracranial ventricular shunt or anastomosis,Intrcran vent shunt/anas
0231,Ventricular shunt to structure in head and neck,Ventricl shunt-head/neck
0232,Ventricular shunt to circulatory system,Ventri shunt-circula sys
0233,Ventricular shunt to thoracic cavity,Ventricl shunt-thorax
0234,Ventricular shunt to abdominal cavity and organs,Ventricl shunt-abdomen
0235,Ventricular shunt to urinary system,Ventri shunt-uninary sys
0239,Ventricular shunt to extracranial site NEC,Vent shunt extracran NEC
0241,Irrigation and exploration of ventricular shunt,Irrigate/expl vent shunt
0242,Replacement of ventricular shunt,Replace ventricle shunt
0243,Removal of ventricular shunt,Remove ventricle shunt
0291,Lysis of cortical adhesions,Lysis cortical adhesion
0292,Repair of brain,Brain repair
0293,Implantation or replacement of intracranial neurostimulator lead(s),Imp/repl brain stim lead
0294,Insertion or replacement of skull tongs or halo traction device,Insert/replac skull tong
0295,Removal of skull tongs or halo traction device,Remove skull tongs
0296,Insertion of sphenoidal electrodes,Insert sphenoid electrod
0299,"Other operations on skull, brain, and cerebral meninges",Skull & brain op NEC
0301,Removal of foreign body from spinal canal,Removal FB spinal canal
0302,Reopening of laminectomy site,Reopen laminectomy site
0309,Other exploration and decompression of spinal canal,Spinal canal explor NEC
031,Division of intraspinal nerve root,Intraspin nerve root div
0321,Percutaneous chordotomy,Percutaneous chordotomy
0329,Other chordotomy,Other chordotomy
0331,Spinal tap,Spinal tap
0332,Biopsy of spinal cord or spinal meninges,Spinal cord/meninges bx
0339,Other diagnostic procedures on spinal cord and spinal canal structures,Other spinal dx proc
034,Excision or destruction of lesion of spinal cord or spinal meninges,Excis spinal cord lesion
0351,Repair of spinal meningocele,Spine meningocele repair
0352,Repair of spinal myelomeningocele,Myelomeningocel repair
0353,Repair of vertebral fracture,Vertebral fx repair
0359,Other repair and plastic operations on spinal cord structures,Spinal struct repair NEC
036,Lysis of adhesions of spinal cord and nerve roots,Spinal cord adhesiolysis
0371,Spinal subarachnoid-peritoneal shunt,Subarach-periton shunt
0372,Spinal subarachnoid-ureteral shunt,Subarach-ureteral shunt
0379,Other shunt of spinal theca,Oth spinal thecal shunt
038,Injection of destructive agent into spinal canal,Destr inject-spine canal
0390,Insertion of catheter into spinal canal for infusion of therapeutic or palliative substances,Insert spinal canal cath
0391,Injection of anesthetic into spinal canal for analgesia,Anesth inject-spin canal
0392,Injection of other agent into spinal canal,Spinal canal inject NEC
0393,Implantation or replacement of spinal neurostimulator lead(s),Imp/repl spine stim lead
0394,Removal of spinal neurostimulator lead(s),Removal spine stim lead
0395,Spinal blood patch,Spinal patch
0396,Percutaneous denervation of facet,Percutan facet denervat
0397,Revision of spinal thecal shunt,Revise spine theca shunt
0398,Removal of spinal thecal shunt,Remove spine theca shunt
0399,Other operations on spinal cord and spinal canal structures,Spine canal struc op NEC
0401,Excision of acoustic neuroma,Excision acoustc neuroma
0402,Division of trigeminal nerve,Trigeminal nerv division
0403,Division or crushing of other cranial and peripheral nerves,Periph nerve div NEC
0404,Other incision of cranial and peripheral nerves,Periph nerve incis NEC
0405,Gasserian ganglionectomy,Gasserian ganglionectomy
0406,Other cranial or peripheral ganglionectomy,Periph ganglionect NEC
0407,Other excision or avulsion of cranial and peripheral nerves,Periph nerv excision NEC
0411,Closed [percutaneous] [needle] biopsy of cranial or peripheral nerve or ganglion,Clos periph nerve biopsy
0412,Open biopsy of cranial or peripheral nerve or ganglion,Open periph nerve biopsy
0419,Other diagnostic procedures on cranial and peripheral nerves and ganglia,Periph nerve dx proc NEC
042,Destruction of cranial and peripheral nerves,Periph nerve destruction
043,Suture of cranial and peripheral nerves,Peripheral nerve suture
0441,Decompression of trigeminal nerve root,Decompress trigem root
0442,Other cranial nerve decompression,Cran nerv root decom NEC
0443,Release of carpal tunnel,Carpal tunnel release
0444,Release of tarsal tunnel,Tarsal tunnel release
0449,Other peripheral nerve or ganglion decompression or lysis of adhesions,Per nerve adhesiolys NEC
045,Cranial or peripheral nerve graft,Peripheral nerve graft
046,Transposition of cranial and peripheral nerves,Periph nerve transposit
0471,Hypoglossal-facial anastomosis,Hypogloss-facial anastom
0472,Accessory-facial anastomosis,Accessory-facial anastom
0473,Accessory-hypoglossal anastomosis,Access-hypogloss anastom
0474,Other anastomosis of cranial or peripheral nerve,Periph nerv anastom NEC
0475,Revision of previous repair of cranial and peripheral nerves,Postop revis per nerv op
0476,Repair of old traumatic injury of cranial and peripheral nerves,Late repair per nerv inj
0479,Other neuroplasty,Other neuroplasty
0480,"Peripheral nerve injection, not otherwise specified",Periph nerve inject NOS
0481,Injection of anesthetic into peripheral nerve for analgesia,Anesth injec periph nerv
0489,"Injection of other agent, except neurolytic",Periph nerve inject NEC
0491,Neurectasis,Neurectasis
0492,Implantation or replacement of peripheral neurostimulator lead(s),Imp/repl peri stim lead
0493,Removal of peripheral neurostimulator lead(s),Removal peri stim lead
0499,Other operations on cranial and peripheral nerves,Peripheral nerve ops NEC
050,Division of sympathetic nerve or ganglion,Sympath nerve division
0511,Biopsy of sympathetic nerve or ganglion,Sympathetic nerve biopsy
0519,Other diagnostic procedures on sympathetic nerves or ganglia,Sympath nrv dx proc NEC
0521,Sphenopalatine ganglionectomy,Sphenopalatin ganglionec
0522,Cervical sympathectomy,Cervical sympathectomy
0523,Lumbar sympathectomy,Lumbar sympathectomy
0524,Presacral sympathectomy,Presacral sympathectomy
0525,Periarterial sympathectomy,Periart sympathectomy
0529,Other sympathectomy and ganglionectomy,Other sympathectomy
0531,Injection of anesthetic into sympathetic nerve for analgesia,Anesth inject symp nerve
0532,Injection of neurolytic agent into sympathetic nerve,Neurolyt injec-symp nrv
0539,Other injection into sympathetic nerve or ganglion,Sympath nerve inject NEC
0581,Repair of sympathetic nerve or ganglion,Sympathetic nerve repair
0589,Other operations on sympathetic nerves or ganglia,Sympathetic nerve op NEC
059,Other operations on nervous system,Other nervous system ops
0601,Aspiration of thyroid field,Thyroid field aspiration
0602,Reopening of wound of thyroid field,Reopen thyroid field wnd
0609,Other incision of thyroid field,Incis thyroid field NEC
0611,Closed [percutaneous] [needle] biopsy of thyroid gland,Closed thyroid gland bx
0612,Open biopsy of thyroid gland,Open thyroid gland bx
0613,Biopsy of parathyroid gland,Parathyroid biopsy
0619,Other diagnostic procedures on thyroid and parathyroid glands,Thyr/parathy dx proc NEC
062,Unilateral thyroid lobectomy,Unilat thyroid lobectomy
0631,Excision of lesion of thyroid,Excision thyroid lesion
0639,Other partial thyroidectomy,Part thyroidectomy NEC
064,Complete thyroidectomy,Complete thyroidectomy
0650,"Substernal thyroidectomy, not otherwise specified",Substern thyroidect NOS
0651,Partial substernal thyroidectomy,Part substern thyroidect
0652,Complete substernal thyroidectomy,Tot substern thyroidect
066,Excision of lingual thyroid,Lingual thyroid excision
067,Excision of thyroglossal duct or tract,Thyrogloss duct excision
0681,Complete parathyroidectomy,Total parathyroidectomy
0689,Other parathyroidectomy,Other parathyroidectomy
0691,Division of thyroid isthmus,Thyroid isthmus division
0692,Ligation of thyroid vessels,Thyroid vessel ligation
0693,Suture of thyroid gland,Thyroid suture
0694,Thyroid tissue reimplantation,Thyroid reimplantation
0695,Parathyroid tissue reimplantation,Parathyroid reimplant
0698,Other operations on thyroid glands,Other thyroid operations
0699,Other operations on parathyroid glands,Other parathyroid ops
0700,"Exploration of adrenal field, not otherwise specified",Adrenal exploration NOS
0701,Unilateral exploration of adrenal field,Unilat adrenal explorat
0702,Bilateral exploration of adrenal field,Bilat adrenal explorat
0711,Closed [percutaneous] [needle] biopsy of adrenal gland,Closed adrenal gland bx
0712,Open biopsy of adrenal gland,Open adrenal gland bx
0713,"Biopsy of pituitary gland, transfrontal approach",Transfront pituitary bx
0714,"Biopsy of pituitary gland, transsphenoidal approach",Transphen pituitary bx
0715,"Biopsy of pituitary gland, unspecified approach",Pituitary biopsy NOS
0716,Biopsy of thymus,Thymus biopsy
0717,Biopsy of pineal gland,Pineal biopsy
0719,"Other diagnostic procedures on adrenal glands, pituitary gland, pineal gland, and thymus",Endocrine dx proc NEC
0721,Excision of lesion of adrenal gland,Adrenal lesion excision
0722,Unilateral adrenalectomy,Unilateral adrenalectomy
0729,Other partial adrenalectomy,Part adrenalectomy NEC
073,Bilateral adrenalectomy,Bilateral adrenalectomy
0741,Incision of adrenal gland,Adrenal incision
0742,Division of nerves to adrenal glands,Adrenal nerve division
0743,Ligation of adrenal vessels,Adrenal vessel ligation
0744,Repair of adrenal gland,Adrenal repair
0745,Reimplantation of adrenal tissue,Adrenal reimplantation
0749,"Other operations on adrenal glands, nerves, and vessels",Adrenal operation NEC
0751,Exploration of pineal field,Pineal field exploration
0752,Incision of pineal gland,Pineal gland incision
0753,Partial excision of pineal gland,Partial pinealectomy
0754,Total excision of pineal gland,Total pinealectomy
0759,Other operations on pineal gland,Pineal operation NEC
0761,"Partial excision of pituitary gland, transfrontal approach",Exc pituit les-transfron
0762,"Partial excision of pituitary gland, transsphenoidal approach",Exc pituit les-transphen
0763,"Partial excision of pituitary gland, unspecified approach",Part excis pituitary NOS
0764,"Total excision of pituitary gland, transfrontal approach",Tot exc pituit-transfron
0765,"Total excision of pituitary gland, transsphenoidal approach",Tot exc pituit-transphen
0768,"Total excision of pituitary gland, other specified approach",Total exc pituitary NEC
0769,"Total excision of pituitary gland, unspecified approach",Total exc pituitary NOS
0771,Exploration of pituitary fossa,Pituitary fossa explorat
0772,Incision of pituitary gland,Pituitary gland incision
0779,Other operations on hypophysis,Pituitary operation NEC
0780,"Thymectomy, not otherwise specified",Thymectomy NOS
0781,Other partial excision of thymus,Oth part excision thymus
0782,Other total excision of thymus,Oth totl excision thymus
0783,Thoracoscopic partial excision of thymus,Thorac part exisn thymus
0784,Thoracoscopic total excision of thymus,Thorac total exc thymus
0791,Exploration of thymus field,Thymus field exploration
0792,Other incision of thymus,Other incision of thymus
0793,Repair of thymus,Repair of thymus
0794,Transplantation of thymus,Thymus transplantation
0795,Thoracoscopic incision of thymus,Thorac incision thymus
0798,Other and unspecified thoracoscopic operations on thymus,Oth thorac op thymus NOS
0799,Other and unspecified operations on thymus,Other thymus ops NOS
0801,Incision of lid margin,Incision of lid margin
0802,Severing of blepharorrhaphy,Blepharorrhaphy severing
0809,Other incision of eyelid,Other eyelid incision
0811,Biopsy of eyelid,Eyelid biopsy
0819,Other diagnostic procedures on eyelid,Eyelid dx procedure NEC
0820,"Removal of lesion of eyelid, not otherwise specified",Remove eyelid lesion NOS
0821,Excision of chalazion,Chalazion excision
0822,Excision of other minor lesion of eyelid,Excise minor les lid NEC
0823,"Excision of major lesion of eyelid, partial-thickness",Exc maj les lid prt-thic
0824,"Excision of major lesion of eyelid, full-thickness",Exc maj les lid ful-thic
0825,Destruction of lesion of eyelid,Destruction lid lesion
0831,Repair of blepharoptosis by frontalis muscle technique with suture,Ptosis rep-front mus sut
0832,Repair of blepharoptosis by frontalis muscle technique with fascial sling,Ptosis rep-fron mus slng
0833,Repair of blepharoptosis by resection or advancement of levator muscle or aponeurosis,Ptosis rep-levat mus adv
0834,Repair of blepharoptosis by other levator muscle techniques,Ptosis rep-levat mus NEC
0835,Repair of blepharoptosis by tarsal technique,Ptos rep-tarsal techniq
0836,Repair of blepharoptosis by other techniques,Blepharoptos repair NEC
0837,Reduction of overcorrection of ptosis,Reduc overcorrect ptosis
0838,Correction of lid retraction,Correct lid retraction
0841,Repair of entropion or ectropion by thermocauterization,Thermocaut/entropion rep
0842,Repair of entropion or ectropion by suture technique,Suture entropion repair
0843,Repair of entropion or ectropion with wedge resection,Wedg resec entropion rep
0844,Repair of entropion or ectropion with lid reconstruction,Lid recons entropion rep
0849,Other repair of entropion or ectropion,Entropion/ectrop rep NEC
0851,Canthotomy,Canthotomy
0852,Blepharorrhaphy,Blepharorrhaphy
0859,Other adjustment of lid position,Adjust lid position NEC
0861,Reconstruction of eyelid with skin flap or graft,Lid reconst w skin graft
0862,Reconstruction of eyelid with mucous membrane flap or graft,Lid reconst w muc graft
0863,Reconstruction of eyelid with hair follicle graft,Lid reconst w hair graft
0864,Reconstruction of eyelid with tarsoconjunctival flap,Lid recon-tarsoconj flap
0869,Other reconstruction of eyelid with flaps or grafts,Lid reconstr w graft NEC
0870,"Reconstruction of eyelid, not otherwise specified",Lid reconstruction NOS
0871,"Reconstruction of eyelid involving lid margin, partial-thickness",Lid marg recon-part thic
0872,"Other reconstruction of eyelid, partial-thickness",Lid recons-part thic NEC
0873,"Reconstruction of eyelid involving lid margin, full-thickness",Lid marg recons ful thic
0874,"Other reconstruction of eyelid, full-thickness",Lid reconst-ful thic NEC
0881,Linear repair of laceration of eyelid or eyebrow,Linear rep lid lacer
0882,"Repair of laceration involving lid margin, partial-thickness",Lid marg lac rx-part th
0883,"Other repair of laceration of eyelid, partial-thickness",Lid lacer rx-prt th NEC
0884,"Repair of laceration involving lid margin, full-thickness",Lid marg lac rx-ful thic
0885,"Other repair of laceration of eyelid, full-thickness",Lid lac rx-ful thic NEC
0886,Lower eyelid rhytidectomy,Lower lid rhytidectomy
0887,Upper eyelid rhytidectomy,Upper lid rhytidectomy
0889,Other eyelid repair,Eyelid repair NEC
0891,Electrosurgical epilation of eyelid,Electrosurg lid epilat
0892,Cryosurgical epilation of eyelid,Cryosurg lid epilation
0893,Other epilation of eyelid,Eyelid epilation NEC
0899,Other operations on eyelids,Eyelid operation NEC
090,Incision of lacrimal gland,Lacrimal gland incision
0911,Biopsy of lacrimal gland,Lacrimal gland biopsy
0912,Biopsy of lacrimal sac,Lacrimal sac biopsy
0919,Other diagnostic procedures on lacrimal system,Lacrimal sys dx proc NEC
0920,"Excision of lacrimal gland, not otherwise specified",Exc lacrimal gland NOS
0921,Excision of lesion of lacrimal gland,Excis les lacrimal gland
0922,Other partial dacryoadenectomy,Part dacryoadenect NEC
0923,Total dacryoadenectomy,Total dacryoadenectomy
093,Other operations on lacrimal gland,Other lacrimal gland ops
0941,Probing of lacrimal punctum,Lacrimal punctum probe
0942,Probing of lacrimal canaliculi,Lac canaliculi probe
0943,Probing of nasolacrimal duct,Nasolacrimal duct probe
0944,Intubation of nasolacrimal duct,Nasolac duct intubat
0949,Other manipulation of lacrimal passage,Lac passage manip NEC
0951,Incision of lacrimal punctum,Lac punctum incision
0952,Incision of lacrimal canaliculi,Lac canaliculi incision
0953,Incision of lacrimal sac,Lacrimal sac incision
0959,Other incision of lacrimal passages,Lacrim passage incis NEC
096,Excision of lacrimal sac and passage,Lacrim sac/passage excis
0971,Correction of everted punctum,Correct everted punctum
0972,Other repair of punctum,Punctum repair NEC
0973,Repair of canaliculus,Canaliculus repair
0981,Dacryocystorhinostomy [DCR],Dacryocystorhinostomy
0982,Conjunctivocystorhinostomy,Conjunctivocystorhinost
0983,Conjunctivorhinostomy with insertion of tube or stent,Conjunctivorhinos w tube
0991,Obliteration of lacrimal punctum,Lac punctum obliteration
0999,Other operations on lacrimal system,Lacrimal system op NEC
100,Removal of embedded foreign body from conjunctiva by incision,Incise/remov conjunct FB
101,Other incision of conjunctiva,Conjunctiva incision NEC
1021,Biopsy of conjunctiva,Conjunctival biopsy
1029,Other diagnostic procedures on conjunctiva,Conjunctiva dx proc NEC
1031,Excision of lesion or tissue of conjunctiva,Excise conjunctiv lesion
1032,Destruction of lesion of conjunctiva,Destruct conjunc les NEC
1033,Other destructive procedures on conjunctiva,Oth conjunc destruc proc
1041,Repair of symblepharon with free graft,Symbleph rep w free grft
1042,Reconstruction of conjunctival cul-de-sac with free graft,Graft conjunc cul-de-sac
1043,Other reconstruction of conjunctival cul-de-sac,Conjun cul-de-sac rx NEC
1044,Other free graft to conjunctiva,Conjunc free graft NEC
1049,Other conjunctivoplasty,Conjunctivoplasty NEC
105,Lysis of adhesions of conjunctiva and eyelid,Conjunc/lid adhesiolysis
106,Repair of laceration of conjunctiva,Repair conjunct lacerat
1091,Subconjunctival injection,Subconjunctival inject
1099,Other operations on conjunctiva,Conjunctival op NEC
110,Magnetic removal of embedded foreign body from cornea,Magnet removal cornea FB
111,Incision of cornea,Corneal incision
1121,Scraping of cornea for smear or culture,Corneal scrape for smear
1122,Biopsy of cornea,Corneal biopsy
1129,Other diagnostic procedures on cornea,Corneal dx proc NEC
1131,Transposition of pterygium,Pterygium transposition
1132,Excision of pterygium with corneal graft,Pteryg exc w cornea grft
1139,Other excision of pterygium,Pterygium excision NEC
1141,Mechanical removal of corneal epithelium,Mech remov cornea epith
1142,Thermocauterization of corneal lesion,Thermocaut cornea lesion
1143,Cryotherapy of corneal lesion,Cryotherap cornea lesion
1149,Other removal or destruction of corneal lesion,Destruct cornea les NEC
1151,Suture of corneal laceration,Suture cornea laceration
1152,Repair of postoperative wound dehiscence of cornea,Rep cornea postop dehisc
1153,Repair of corneal laceration or wound with conjunctival flap,Rx cornea lac w conj flp
1159,Other repair of cornea,Corneal repair NEC
1160,"Corneal transplant, not otherwise specified",Corneal transplant NOS
1161,Lamellar keratoplasty with autograft,Lam keratplast w autgrft
1162,Other lamellar keratoplasty,Lamellar keratoplast NEC
1163,Penetrating keratoplasty with autograft,Perf keratopl w autogrft
1164,Other penetrating keratoplasty,Perforat keratoplast NEC
1169,Other corneal transplant,Corneal transplant NEC
1171,Keratomileusis,Keratomileusis
1172,Keratophakia,Keratophakia
1173,Keratoprosthesis,Keratoprosthesis
1174,Thermokeratoplasty,Thermokeratoplasty
1175,Radial keratotomy,Radial keratotomy
1176,Epikeratophakia,Epikeratophakia
1179,Other reconstructive and refractive surgery on cornea,Cornea reconstruct NEC
1191,Tattooing of cornea,Corneal tattooing
1192,Removal of artificial implant from cornea,Remove corneal implant
1199,Other operations on cornea,Corneal operation NEC
1200,"Removal of intraocular foreign body from anterior segment of eye, not otherwise specified",Remov ant segmnt FB NOS
1201,Removal of intraocular foreign body from anterior segment of eye with use of magnet,Magnet remov ant seg FB
1202,Removal of intraocular foreign body from anterior segment of eye without use of magnet,Nonmag remov ant seg FB
1211,Iridotomy with transfixion,Iridotomy w transfixion
1212,Other iridotomy,Iridotomy NEC
1213,Excision of prolapsed iris,Prolapsed iris excision
1214,Other iridectomy,Iridectomy NEC
1221,Diagnostic aspiration of anterior chamber of eye,Dx aspirat-ant chamber
1222,Biopsy of iris,Iris biopsy
1229,"Other diagnostic procedures on iris, ciliary body, sclera, and anterior chamber",Ant segment dx proc NEC
1231,Lysis of goniosynechiae,Goniosynechiae lysis
1232,Lysis of other anterior synechiae,Ant synechia lysis NEC
1233,Lysis of posterior synechiae,Post synechiae lysis
1234,Lysis of corneovitreal adhesions,Corneovitreal adhesiolys
1235,Coreoplasty,Coreoplasty
1239,Other iridoplasty,Iridoplasty NEC
1240,"Removal of lesion of anterior segment of eye, not otherwise specified",Remov ant segmnt les NOS
1241,"Destruction of lesion of iris, nonexcisional",Nonexc destruc iris les
1242,Excision of lesion of iris,Excision of iris lesion
1243,"Destruction of lesion of ciliary body, nonexcisional",Nonexc destr cil bod les
1244,Excision of lesion of ciliary body,Excise ciliary body les
1251,Goniopuncture without goniotomy,Goniopuncture
1252,Goniotomy without goniopuncture,Goniotomy
1253,Goniotomy with goniopuncture,Goniotomy w goniopunctur
1254,Trabeculotomy ab externo,Trabeculotomy ab externo
1255,Cyclodialysis,Cyclodialysis
1259,Other facilitation of intraocular circulation,Facilit intraoc circ NEC
1261,Trephination of sclera with iridectomy,Trephin sclera w iridect
1262,Thermocauterization of sclera with iridectomy,Thermcaut scler w iridec
1263,Iridencleisis and iridotasis,Iridencleisis/iridotasis
1264,Trabeculectomy ab externo,Trabeculectom ab externo
1265,Other scleral fistulization with iridectomy,Scler fistuliz w iridect
1266,Postoperative revision of scleral fistulization procedure,Postop revis scl fistul
1267,Insertion of aqueous drainage device,Insert aqueous drain dev
