INPUT_LAYER_TABLE_NAME,CLAIM_TYPE,FIELD_NAME,RED,GREEN,UNIQUE_VALUES_EXPECTED_FLAG
MEDICAL_CLAIM,institutional,PROCEDURE_DATE_1,0,40,0
MEDICAL_CLAIM,professional,PROCEDURE_DATE_1,30,40,0
MEDICAL_CLAIM,institutional,PROCEDURE_DATE_2,0,1,0
MEDICAL_CLAIM,professional,PROCEDURE_DATE_2,0,30,0
MEDICAL_CLAIM,institutional,PROCEDURE_DATE_3,0,1,0
MEDICAL_CLAIM,professional,PROCEDURE_DATE_3,0,10,0
MEDICAL_CLAIM,institutional,RENDERING_NPI,90,99,0
MEDICAL_CLAIM,professional,RENDERING_NPI,90,99,0
MEDICAL_CLAIM,institutional,REVENUE_CENTER_CODE,10,50,0
MEDICAL_CLAIM,professional,REVENUE_CENTER_CODE,0,1,0
MEDICAL_CLAIM,institutional,SERVICE_UNIT_QUANTITY,0,1,0
MEDICAL_CLAIM,professional,SERVICE_UNIT_QUANTITY,0,1,0
MEDICAL_CLAIM,institutional,TOTAL_COST_AMOUNT,0,1,0
MEDICAL_CLAIM,professional,TOTAL_COST_AMOUNT,0,1,0
CONDITION,CLINICAL,CLAIM_ID,0,1,0
CONDITION,CLINICAL,CONDITION_ID,90,99,1
CONDITION,CLINICAL,CONDITION_RANK,90,99,0
CONDITION,CLINICAL,CONDITION_TYPE,90,99,0
CONDITION,CLINICAL,DATA_SOURCE,90,99,0
CONDITION,CLINICAL,ENCOUNTER_ID,90,99,0
CONDITION,CLINICAL,NORMALIZED_CODE,90,99,0
CONDITION,CLINICAL,NORMALIZED_CODE_TYPE,90,99,0
CONDITION,CLINICAL,NORMALIZED_DESCRIPTION,90,99,0
CONDITION,CLINICAL,ONSET_DATE,90,99,0
CONDITION,CLINICAL,PATIENT_ID,90,99,0
CONDITION,CLINICAL,PRESENT_ON_ADMIT_CODE,0,1,0
CONDITION,CLINICAL,PRESENT_ON_ADMIT_DESCRIPTION,0,1,0
CONDITION,CLINICAL,RECORDED_DATE,90,99,0
CONDITION,CLINICAL,RESOLVED_DATE,0,1,0
CONDITION,CLINICAL,SOURCE_CODE,90,99,0
CONDITION,CLINICAL,SOURCE_CODE_TYPE,90,99,0
CONDITION,CLINICAL,SOURCE_DESCRIPTION,90,99,0
CONDITION,CLINICAL,STATUS,90,99,0
ENCOUNTER,CLINICAL,ADMIT_SOURCE_CODE,0,1,0
ENCOUNTER,CLINICAL,ADMIT_SOURCE_DESCRIPTION,0,1,0
ENCOUNTER,CLINICAL,ADMIT_TYPE_CODE,0,1,0
ENCOUNTER,CLINICAL,ADMIT_TYPE_DESCRIPTION,0,1,0
ENCOUNTER,CLINICAL,ALLOWED_AMOUNT,0,1,0
ENCOUNTER,CLINICAL,APR_DRG_CODE,0,1,0
ENCOUNTER,CLINICAL,APR_DRG_DESCRIPTION,0,1,0
ENCOUNTER,CLINICAL,ATTENDING_PROVIDER_ID,0,1,0
ENCOUNTER,CLINICAL,CHARGE_AMOUNT,90,99,0
ENCOUNTER,CLINICAL,DATA_SOURCE,90,99,0
ENCOUNTER,CLINICAL,DISCHARGE_DISPOSITION_CODE,90,99,0
ENCOUNTER,CLINICAL,DISCHARGE_DISPOSITION_DESCRIPTION,0,1,0
ENCOUNTER,CLINICAL,ENCOUNTER_END_DATE,90,99,0
ENCOUNTER,CLINICAL,ENCOUNTER_ID,90,99,1
ENCOUNTER,CLINICAL,ENCOUNTER_START_DATE,90,99,0
ENCOUNTER,CLINICAL,ENCOUNTER_TYPE,90,99,0
ENCOUNTER,CLINICAL,FACILITY_NPI,90,99,0
ENCOUNTER,CLINICAL,LENGTH_OF_STAY,0,1,0
ENCOUNTER,CLINICAL,MS_DRG_CODE,90,99,0
ENCOUNTER,CLINICAL,MS_DRG_DESCRIPTION,90,99,0
ENCOUNTER,CLINICAL,PAID_AMOUNT,90,99,0
ENCOUNTER,CLINICAL,PATIENT_ID,90,99,0
ENCOUNTER,CLINICAL,PRIMARY_DIAGNOSIS_CODE,90,99,0
ENCOUNTER,CLINICAL,PRIMARY_DIAGNOSIS_CODE_TYPE,90,99,0
ENCOUNTER,CLINICAL,PRIMARY_DIAGNOSIS_DESCRIPTION,90,99,0
LAB_RESULT,CLINICAL,ACCESSION_NUMBER,0,1,0
LAB_RESULT,CLINICAL,COLLECTION_DATE,90,99,0
LAB_RESULT,CLINICAL,DATA_SOURCE,90,99,0
LAB_RESULT,CLINICAL,ENCOUNTER_ID,90,99,0
LAB_RESULT,CLINICAL,LAB_RESULT_ID,90,99,1
LAB_RESULT,CLINICAL,NORMALIZED_ABNORMAL_FLAG,90,99,0
LAB_RESULT,CLINICAL,NORMALIZED_CODE,90,99,0
LAB_RESULT,CLINICAL,NORMALIZED_CODE_TYPE,90,99,0
LAB_RESULT,CLINICAL,NORMALIZED_COMPONENT,90,99,0
LAB_RESULT,CLINICAL,NORMALIZED_DESCRIPTION,90,99,0
LAB_RESULT,CLINICAL,NORMALIZED_REFERENCE_RANGE_HIGH,0,1,0
LAB_RESULT,CLINICAL,NORMALIZED_REFERENCE_RANGE_LOW,0,1,0
LAB_RESULT,CLINICAL,NORMALIZED_UNITS,90,99,0
LAB_RESULT,CLINICAL,ORDERING_PRACTITIONER_ID,90,99,0
LAB_RESULT,CLINICAL,PATIENT_ID,90,99,0
LAB_RESULT,CLINICAL,RESULT,90,99,0
LAB_RESULT,CLINICAL,RESULT_DATE,90,99,0
LAB_RESULT,CLINICAL,SOURCE_ABNORMAL_FLAG,90,99,0
LAB_RESULT,CLINICAL,SOURCE_CODE,90,99,0
LAB_RESULT,CLINICAL,SOURCE_CODE_TYPE,90,99,0
LAB_RESULT,CLINICAL,SOURCE_COMPONENT,90,99,0
LAB_RESULT,CLINICAL,SOURCE_DESCRIPTION,90,99,0
LAB_RESULT,CLINICAL,SOURCE_REFERENCE_RANGE_HIGH,90,99,0
LAB_RESULT,CLINICAL,SOURCE_REFERENCE_RANGE_LOW,90,99,0
LAB_RESULT,CLINICAL,SOURCE_UNITS,90,99,0
LAB_RESULT,CLINICAL,SPECIMEN,0,1,0
LAB_RESULT,CLINICAL,STATUS,90,99,0
LOCATION,CLINICAL,ADDRESS,0,1,0
LOCATION,CLINICAL,CITY,0,1,0
LOCATION,CLINICAL,DATA_SOURCE,90,99,0
LOCATION,CLINICAL,FACILITY_TYPE,90,99,0
LOCATION,CLINICAL,LATITUDE,0,1,0
LOCATION,CLINICAL,LOCATION_ID,90,99,1
LOCATION,CLINICAL,LONGITUDE,0,1,0
LOCATION,CLINICAL,NAME,90,99,0
LOCATION,CLINICAL,NPI,90,99,0
LOCATION,CLINICAL,PARENT_ORGANIZATION,0,1,0
LOCATION,CLINICAL,STATE,0,1,0
LOCATION,CLINICAL,ZIP_CODE,0,1,0
MEDICATION,CLINICAL,ATC_CODE,0,1,0
MEDICATION,CLINICAL,ATC_DESCRIPTION,0,1,0
MEDICATION,CLINICAL,DATA_SOURCE,90,99,0
MEDICATION,CLINICAL,DAYS_SUPPLY,90,99,0
MEDICATION,CLINICAL,DISPENSING_DATE,90,99,0
MEDICATION,CLINICAL,ENCOUNTER_ID,90,99,0
MEDICATION,CLINICAL,MEDICATION_ID,90,99,1
MEDICATION,CLINICAL,NDC_CODE,90,99,0
MEDICATION,CLINICAL,NDC_DESCRIPTION,90,99,0
MEDICATION,CLINICAL,PATIENT_ID,90,99,0
MEDICATION,CLINICAL,PRACTITIONER_ID,90,99,0
MEDICATION,CLINICAL,PRESCRIBING_DATE,90,99,0
MEDICATION,CLINICAL,QUANTITY,90,99,0
MEDICATION,CLINICAL,QUANTITY_UNIT,90,99,0
MEDICATION,CLINICAL,ROUTE,0,1,0
MEDICATION,CLINICAL,RXNORM_CODE,90,99,0
MEDICATION,CLINICAL,RXNORM_DESCRIPTION,90,99,0
MEDICATION,CLINICAL,SOURCE_CODE,90,99,0
MEDICATION,CLINICAL,SOURCE_CODE_TYPE,90,99,0
MEDICATION,CLINICAL,SOURCE_DESCRIPTION,90,99,0
MEDICATION,CLINICAL,STRENGTH,90,99,0
OBSERVATION,CLINICAL,DATA_SOURCE,90,99,0
OBSERVATION,CLINICAL,ENCOUNTER_ID,90,99,0
OBSERVATION,CLINICAL,NORMALIZED_CODE,90,99,0
OBSERVATION,CLINICAL,NORMALIZED_CODE_TYPE,90,99,0
OBSERVATION,CLINICAL,NORMALIZED_DESCRIPTION,90,99,0
OBSERVATION,CLINICAL,NORMALIZED_REFERENCE_RANGE_HIGH,0,1,0
OBSERVATION,CLINICAL,NORMALIZED_REFERENCE_RANGE_LOW,0,1,0
OBSERVATION,CLINICAL,NORMALIZED_UNITS,90,99,0
OBSERVATION,CLINICAL,OBSERVATION_DATE,90,99,0
OBSERVATION,CLINICAL,OBSERVATION_ID,90,99,1
OBSERVATION,CLINICAL,OBSERVATION_TYPE,90,99,0
OBSERVATION,CLINICAL,PANEL_ID,0,1,0
OBSERVATION,CLINICAL,PATIENT_ID,90,99,0
OBSERVATION,CLINICAL,RESULT,90,99,0
OBSERVATION,CLINICAL,SOURCE_CODE,90,99,0
OBSERVATION,CLINICAL,SOURCE_CODE_TYPE,90,99,0
OBSERVATION,CLINICAL,SOURCE_DESCRIPTION,0,1,0
OBSERVATION,CLINICAL,SOURCE_REFERENCE_RANGE_HIGH,0,1,0
OBSERVATION,CLINICAL,SOURCE_REFERENCE_RANGE_LOW,0,1,0
OBSERVATION,CLINICAL,SOURCE_UNITS,90,99,0
PATIENT,CLINICAL,ADDRESS,0,1,0
PATIENT,CLINICAL,BIRTH_DATE,90,99,0
PATIENT,CLINICAL,CITY,0,1,0
PATIENT,CLINICAL,COUNTY,0,1,0
PATIENT,CLINICAL,DATA_SOURCE,90,99,0
PATIENT,CLINICAL,DEATH_DATE,0,1,0
PATIENT,CLINICAL,DEATH_FLAG,0,1,0
PATIENT,CLINICAL,FIRST_NAME,90,99,0
PATIENT,CLINICAL,LAST_NAME,90,99,0
PATIENT,CLINICAL,LATITUDE,0,1,0
PATIENT,CLINICAL,LONGITUDE,0,1,0
PATIENT,CLINICAL,PATIENT_ID,90,99,1
PATIENT,CLINICAL,RACE,0,1,0
PATIENT,CLINICAL,SEX,90,99,0
PATIENT,CLINICAL,STATE,0,1,0
PATIENT,CLINICAL,ZIP_CODE,0,1,0
PRACTITIONER,CLINICAL,DATA_SOURCE,90,99,0
PRACTITIONER,CLINICAL,FIRST_NAME,90,99,0
PRACTITIONER,CLINICAL,LAST_NAME,90,99,0
PRACTITIONER,CLINICAL,NPI,90,99,0
PRACTITIONER,CLINICAL,PRACTICE_AFFILIATION,0,1,0
PRACTITIONER,CLINICAL,PRACTITIONER_ID,0,1,1
PRACTITIONER,CLINICAL,SPECIALTY,0,1,0
PRACTITIONER,CLINICAL,SUB_SPECIALTY,0,1,0
PROCEDURE,CLINICAL,CLAIM_ID,0,1,0
PROCEDURE,CLINICAL,DATA_SOURCE,90,99,0
PROCEDURE,CLINICAL,ENCOUNTER_ID,90,99,0
PROCEDURE,CLINICAL,MODIFIER_1,0,1,0
PROCEDURE,CLINICAL,MODIFIER_2,0,1,0
PROCEDURE,CLINICAL,MODIFIER_3,0,1,0
PROCEDURE,CLINICAL,MODIFIER_4,0,1,0
PROCEDURE,CLINICAL,MODIFIER_5,0,1,0
PROCEDURE,CLINICAL,NORMALIZED_CODE,90,99,0
PROCEDURE,CLINICAL,NORMALIZED_CODE_TYPE,90,99,0
PROCEDURE,CLINICAL,NORMALIZED_DESCRIPTION,90,99,0
PROCEDURE,CLINICAL,PATIENT_ID,90,99,0
PROCEDURE,CLINICAL,PRACTITIONER_ID,90,99,0
PROCEDURE,CLINICAL,PROCEDURE_DATE,90,99,0
PROCEDURE,CLINICAL,PROCEDURE_ID,90,99,1
PROCEDURE,CLINICAL,SOURCE_CODE,90,99,0
PROCEDURE,CLINICAL,SOURCE_CODE_TYPE,90,99,0
PROCEDURE,CLINICAL,SOURCE_DESCRIPTION,0,1,0
