﻿INPUT_LAYER_TABLE_NAME,CLAIM_TYPE,FIELD_NAME,MART_NAME
MEDICAL_CLAIM,professional,CLAIM_LINE_NUMBER,CMS-HCC
MEDICAL_CLAIM,professional,CLAIM_TYPE,CMS-HCC
MEDICAL_CLAIM,professional,PATIENT_ID,CMS-HCC
MEDICAL_CLAIM,professional,CLAIM_START_DATE,CMS-HCC
MEDICAL_CLAIM,professional,CLAIM_END_DATE,CMS-HCC
MEDICAL_CLAIM,professional,HCPCS_CODE,CMS-HCC
MEDICAL_CLAIM,professional,CLAIM_ID,CCSR
MEDICAL_CLAIM,professional,PATIENT_ID,CCSR
MEDICAL_CLAIM,professional,PROCEDURE_CODE_1,CCSR
MEDICAL_CLAIM,professional,PROCEDURE_DATE_1,Chronic Conditions - CMS
MEDICAL_CLAIM,institutional,MS_DRG_CODE,Chronic Conditions - CMS
MEDICAL_CLAIM,professional,DATA_SOURCE,Chronic Conditions - CMS
MEDICAL_CLAIM,professional,CLAIM_ID,Chronic Conditions - CMS
MEDICAL_CLAIM,professional,PATIENT_ID,ED Classification
MEDICAL_CLAIM,professional,PATIENT_ID,Financial PMPM
MEDICAL_CLAIM,professional,CLAIM_ID,Financial PMPM
MEDICAL_CLAIM,professional,CLAIM_LINE_NUMBER,Financial PMPM
MEDICAL_CLAIM,professional,DATA_SOURCE,Financial PMPM
MEDICAL_CLAIM,professional,CLAIM_ID,HCC Suspecting
MEDICAL_CLAIM,professional,PATIENT_ID,HCC Suspecting
MEDICAL_CLAIM,professional,DATA_SOURCE,HCC Suspecting
MEDICAL_CLAIM,professional,PATIENT_ID,Quality Measures
MEDICAL_CLAIM,professional,PLACE_OF_SERVICE_CODE,Quality Measures
MEDICAL_CLAIM,professional,HCPCS_CODE,Quality Measures
MEDICAL_CLAIM,professional,DIAGNOSIS_CODE_1,CCSR
MEDICAL_CLAIM,professional,DIAGNOSIS_CODE_1,HCC Suspecting
MEDICAL_CLAIM,professional,CLAIM_ID,Service Category
MEDICAL_CLAIM,professional,CLAIM_LINE_NUMBER,Service Category
MEDICAL_CLAIM,professional,CLAIM_TYPE,Service Category
MEDICAL_CLAIM,institutional,APR_DRG_CODE,Service Category
MEDICAL_CLAIM,professional,HCPCS_CODE,Service Category
MEDICAL_CLAIM,institutional,MS_DRG_CODE,Service Category
MEDICAL_CLAIM,professional,PLACE_OF_SERVICE_CODE,Service Category
MEDICAL_CLAIM,institutional,CLAIM_ID,Service Category
MEDICAL_CLAIM,institutional,CLAIM_LINE_NUMBER,Service Category
MEDICAL_CLAIM,institutional,CLAIM_TYPE,Service Category
MEDICAL_CLAIM,institutional,BILL_TYPE_CODE,Service Category
MEDICAL_CLAIM,institutional,REVENUE_CENTER_CODE,Service Category
MEDICAL_CLAIM,institutional,CLAIM_ID,Acute Inpatient Encounters
MEDICAL_CLAIM,institutional,CLAIM_LINE_NUMBER,Acute Inpatient Encounters
MEDICAL_CLAIM,institutional,PATIENT_ID,Acute Inpatient Encounters
MEDICAL_CLAIM,institutional,CLAIM_TYPE,Acute Inpatient Encounters
MEDICAL_CLAIM,institutional,CLAIM_START_DATE,Acute Inpatient Encounters
MEDICAL_CLAIM,institutional,CLAIM_END_DATE,Acute Inpatient Encounters
MEDICAL_CLAIM,institutional,DATA_SOURCE,Acute Inpatient Encounters
MEDICAL_CLAIM,institutional,CLAIM_ID,Emergency Department Encounters
MEDICAL_CLAIM,institutional,CLAIM_LINE_NUMBER,Emergency Department Encounters
MEDICAL_CLAIM,institutional,PATIENT_ID,Emergency Department Encounters
MEDICAL_CLAIM,institutional,CLAIM_TYPE,Emergency Department Encounters
MEDICAL_CLAIM,institutional,DATA_SOURCE,Emergency Department Encounters
MEDICAL_CLAIM,professional,CLAIM_ID,Emergency Department Encounters
MEDICAL_CLAIM,professional,CLAIM_LINE_NUMBER,Emergency Department Encounters
MEDICAL_CLAIM,professional,PATIENT_ID,Emergency Department Encounters
MEDICAL_CLAIM,professional,CLAIM_TYPE,Emergency Department Encounters
MEDICAL_CLAIM,professional,DATA_SOURCE,Emergency Department Encounters
PHARMACY_CLAIM,PHARMACY,CLAIM_ID,Chronic Conditions - CMS
PHARMACY_CLAIM,PHARMACY,DATA_SOURCE,Chronic Conditions - CMS
PHARMACY_CLAIM,PHARMACY,DISPENSING_DATE,Quality Measures
PHARMACY_CLAIM,PHARMACY,MEMBER_ID,Chronic Conditions - CMS
PHARMACY_CLAIM,PHARMACY,PAID_AMOUNT,Financial PMPM
PHARMACY_CLAIM,PHARMACY,NDC_CODE,Chronic Conditions - CMS
PHARMACY_CLAIM,PHARMACY,PATIENT_ID,Quality Measures
PHARMACY_CLAIM,PHARMACY,PATIENT_ID,Chronic Conditions - CMS
PHARMACY_CLAIM,PHARMACY,DATA_SOURCE,Financial PMPM
PHARMACY_CLAIM,PHARMACY,PATIENT_ID,Financial PMPM
PHARMACY_CLAIM,PHARMACY,CLAIM_ID,Core
PHARMACY_CLAIM,PHARMACY,CLAIM_LINE_NUMBER,Core
PHARMACY_CLAIM,PHARMACY,DATA_SOURCE,Core
PHARMACY_CLAIM,PHARMACY,PATIENT_ID,Core
PHARMACY_CLAIM,PHARMACY,DISPENSING_DATE,Financial PMPM
PHARMACY_CLAIM,PHARMACY,NDC_CODE,Quality Measures
CONDITION,CLINICAL,CONDITION_ID,Core
CONDITION,CLINICAL,CONDITION_RANK,CCSR
CONDITION,CLINICAL,DATA_SOURCE,Core
CONDITION,CLINICAL,DATA_SOURCE,Chronic Conditions - CMS
CONDITION,CLINICAL,DATA_SOURCE,HCC Suspecting
ENCOUNTER,CLINICAL,DATA_SOURCE,Core
ENCOUNTER,CLINICAL,DISCHARGE_DISPOSITION_CODE,Readmissions
ENCOUNTER,CLINICAL,ENCOUNTER_END_DATE,Core
ENCOUNTER,CLINICAL,ENCOUNTER_END_DATE,Readmissions
ENCOUNTER,CLINICAL,ENCOUNTER_END_DATE,Quality Measures
ENCOUNTER,CLINICAL,ENCOUNTER_ID,Core
ENCOUNTER,CLINICAL,ENCOUNTER_ID,Readmissions
ENCOUNTER,CLINICAL,ENCOUNTER_ID,ED Classification
ENCOUNTER,CLINICAL,ENCOUNTER_ID,Quality Measures
ENCOUNTER,CLINICAL,ENCOUNTER_START_DATE,Core
ENCOUNTER,CLINICAL,ENCOUNTER_START_DATE,Readmissions
LAB_RESULT,CLINICAL,CODE,HCC Suspecting
LAB_RESULT,CLINICAL,DATA_SOURCE,Core
LAB_RESULT,CLINICAL,LAB_RESULT_ID,Core
LAB_RESULT,CLINICAL,LAB_RESULT_ID,HCC Suspecting
LAB_RESULT,CLINICAL,PATIENT_ID,HCC Suspecting
LAB_RESULT,CLINICAL,PATIENT_ID,Quality Measures
LAB_RESULT,CLINICAL,RESULT,HCC Suspecting
LAB_RESULT,CLINICAL,RESULT,Quality Measures
LOCATION,CLINICAL,DATA_SOURCE,Core
LOCATION,CLINICAL,LOCATION_ID,Core
MEDICATION,CLINICAL,DATA_SOURCE,Core
MEDICATION,CLINICAL,DISPENSING_DATE,Quality Measures
MEDICATION,CLINICAL,MEDICATION_ID,Core
MEDICATION,CLINICAL,NDC_CODE,Quality Measures
MEDICATION,CLINICAL,PATIENT_ID,Quality Measures
OBSERVATION,CLINICAL,CODE,HCC Suspecting
OBSERVATION,CLINICAL,DATA_SOURCE,Core
OBSERVATION,CLINICAL,DATA_SOURCE,HCC Suspecting
OBSERVATION,CLINICAL,OBSERVATION_DATE,HCC Suspecting
OBSERVATION,CLINICAL,OBSERVATION_DATE,Quality Measures
OBSERVATION,CLINICAL,OBSERVATION_ID,Core
PATIENT,CLINICAL,BIRTH_DATE,CMS-HCC
PATIENT,CLINICAL,BIRTH_DATE,HCC Suspecting
PATIENT,CLINICAL,DATA_SOURCE,Core
PATIENT,CLINICAL,DEATH_DATE,CMS-HCC
PRACTITIONER,CLINICAL,DATA_SOURCE,Core
PRACTITIONER,CLINICAL,PRACTITIONER_ID,Core
PROCEDURE,CLINICAL,DATA_SOURCE,Core
PROCEDURE,CLINICAL,DATA_SOURCE,Chronic Conditions - CMS
PROCEDURE,CLINICAL,ENCOUNTER_ID,Readmissions
PROCEDURE,CLINICAL,ENCOUNTER_ID,CCSR
PROCEDURE,CLINICAL,NORMALIZED_CODE,Readmissions
PROCEDURE,CLINICAL,NORMALIZED_CODE,CCSR
PROCEDURE,CLINICAL,NORMALIZED_CODE,Chronic Conditions - CMS
CONDITION,CLINICAL,ENCOUNTER_ID,CCSR
CONDITION,CLINICAL,NORMALIZED_CODE,CMS-HCC
ENCOUNTER,CLINICAL,ENCOUNTER_START_DATE,Quality Measures
ENCOUNTER,CLINICAL,ENCOUNTER_TYPE,ED Classification
ENCOUNTER,CLINICAL,ENCOUNTER_TYPE,Quality Measures
ENCOUNTER,CLINICAL,FACILITY_NPI,Readmissions
MEDICAL_CLAIM,professional,MS_DRG_CODE,Chronic Conditions - CMS
PROCEDURE,CLINICAL,NORMALIZED_CODE_TYPE,Chronic Conditions - CMS
CONDITION,CLINICAL,NORMALIZED_CODE,CCSR
CONDITION,CLINICAL,NORMALIZED_CODE,Chronic Conditions - Tuva
CONDITION,CLINICAL,NORMALIZED_CODE,Chronic Conditions - CMS
CONDITION,CLINICAL,NORMALIZED_CODE,HCC Suspecting
PATIENT,CLINICAL,PATIENT_ID,Core
PATIENT,CLINICAL,PATIENT_ID,CMS-HCC
PATIENT,CLINICAL,PATIENT_ID,Chronic Conditions - Tuva
CONDITION,CLINICAL,NORMALIZED_CODE_TYPE,CMS-HCC
CONDITION,CLINICAL,NORMALIZED_CODE_TYPE,Chronic Conditions - CMS
PROCEDURE,CLINICAL,PATIENT_ID,Core
CONDITION,CLINICAL,PATIENT_ID,Core
CONDITION,CLINICAL,PATIENT_ID,CMS-HCC
CONDITION,CLINICAL,PATIENT_ID,CCSR
CONDITION,CLINICAL,PATIENT_ID,Chronic Conditions - Tuva
CONDITION,CLINICAL,PATIENT_ID,Chronic Conditions - CMS
CONDITION,CLINICAL,PATIENT_ID,HCC Suspecting
CONDITION,CLINICAL,PATIENT_ID,Quality Measures
PROCEDURE,CLINICAL,PATIENT_ID,CCSR
PROCEDURE,CLINICAL,PATIENT_ID,Chronic Conditions - CMS
PROCEDURE,CLINICAL,PATIENT_ID,Quality Measures
PROCEDURE,CLINICAL,PROCEDURE_DATE,Chronic Conditions - CMS
ENCOUNTER,CLINICAL,PATIENT_ID,Core
ENCOUNTER,CLINICAL,PATIENT_ID,Readmissions
ENCOUNTER,CLINICAL,PATIENT_ID,ED Classification
ENCOUNTER,CLINICAL,PATIENT_ID,Quality Measures
ENCOUNTER,CLINICAL,PRIMARY_DIAGNOSIS_CODE,Readmissions
PATIENT,CLINICAL,PATIENT_ID,HCC Suspecting
CONDITION,CLINICAL,RECORDED_DATE,CMS-HCC
CONDITION,CLINICAL,RECORDED_DATE,Chronic Conditions - Tuva
CONDITION,CLINICAL,RECORDED_DATE,Chronic Conditions - CMS
LAB_RESULT,CLINICAL,RESULT_DATE,Quality Measures
LAB_RESULT,CLINICAL,SOURCE_CODE,Core
LAB_RESULT,CLINICAL,SOURCE_CODE,Quality Measures
OBSERVATION,CLINICAL,PATIENT_ID,Core
OBSERVATION,CLINICAL,PATIENT_ID,HCC Suspecting
OBSERVATION,CLINICAL,PATIENT_ID,Quality Measures
OBSERVATION,CLINICAL,RESULT,HCC Suspecting
PATIENT,CLINICAL,PATIENT_ID,Quality Measures
PATIENT,CLINICAL,SEX,CMS-HCC
CONDITION,CLINICAL,RECORDED_DATE,Quality Measures
CONDITION,CLINICAL,SOURCE_CODE,Core
CONDITION,CLINICAL,SOURCE_CODE,Quality Measures
CONDITION,CLINICAL,SOURCE_CODE_TYPE,Core
MEDICATION,CLINICAL,SOURCE_CODE,Core
MEDICATION,CLINICAL,SOURCE_CODE,Quality Measures
OBSERVATION,CLINICAL,RESULT,Quality Measures
OBSERVATION,CLINICAL,SOURCE_CODE,Core
OBSERVATION,CLINICAL,SOURCE_CODE,Quality Measures
PATIENT,CLINICAL,SEX,HCC Suspecting
PROCEDURE,CLINICAL,PROCEDURE_DATE,Quality Measures
PROCEDURE,CLINICAL,SOURCE_CODE,Core
PROCEDURE,CLINICAL,SOURCE_CODE,Quality Measures
MEDICAL_CLAIM,institutional,MS_DRG_CODE,Acute Inpatient Encounters
MEDICAL_CLAIM,institutional,APR_DRG_CODE,Acute Inpatient Encounters
MEDICAL_CLAIM,institutional,BILL_TYPE_CODE,Acute Inpatient Encounters
MEDICAL_CLAIM,institutional,REVENUE_CENTER_CODE,Acute Inpatient Encounters
PHARMACY_CLAIM,PHARMACY,NDC_CODE,Core
MEDICAL_CLAIM,institutional,REVENUE_CENTER_CODE,Emergency Department Encounters
MEDICAL_CLAIM,institutional,REVENUE_CENTER_CODE,Financial PMPM
MEDICAL_CLAIM,institutional,BILL_TYPE_CODE,Financial PMPM
MEDICAL_CLAIM,professional,PLACE_OF_SERVICE_CODE,Financial PMPM
MEDICAL_CLAIM,institutional,DIAGNOSIS_CODE_1,ED Classification
MEDICAL_CLAIM,institutional,REVENUE_CENTER_CODE,ED Classification
ENCOUNTER,CLINICAL,PRIMARY_DIAGNOSIS_CODE,ED Classification
ELIGIBILITY,ELIGIBILITY,ZIP,Geospatial
MEDICAL_CLAIM,institutional,BILL_TYPE_CODE,Readmissions
