"icd_10_pcs","description","ccs_code_and_description","specialty_cohort"
"02160AP","Bypass Right Atrium to Pulmonary Trunk with Autologous Arterial Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02160AQ","Bypass Right Atrium to Right Pulmonary Artery with Autologous Arterial Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02160AR","Bypass Right Atrium to Left Pulmonary Artery with Autologous Arterial Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02160JP","Bypass Right Atrium to Pulmonary Trunk with Synthetic Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02160JQ","Bypass Right Atrium to Right Pulmonary Artery with Synthetic Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02160JR","Bypass Right Atrium to Left Pulmonary Artery with Synthetic Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02160KP","Bypass Right Atrium to Pulmonary Trunk with Nonautologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02160KQ","Bypass Right Atrium to Right Pulmonary Artery with Nonautologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02160KR","Bypass Right Atrium to Left Pulmonary Artery with Nonautologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02160Z7","Bypass Right Atrium to Left Atrium, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02160ZP","Bypass Right Atrium to Pulmonary Trunk, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02160ZQ","Bypass Right Atrium to Right Pulmonary Artery, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02160ZR","Bypass Right Atrium to Left Pulmonary Artery, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021708P","Bypass Left Atrium to Pulmonary Trunk with Zooplastic Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021708Q","Bypass Left Atrium to Right Pulmonary Artery with Zooplastic Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021708R","Bypass Left Atrium to Left Pulmonary Artery with Zooplastic Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021708S","Bypass Left Atrium to Right Pulmonary Vein with Zooplastic Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021708T","Bypass Left Atrium to Left Pulmonary Vein with Zooplastic Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021708U","Bypass Left Atrium to Pulmonary Vein Confluence with Zooplastic Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021709P","Bypass Left Atrium to Pulmonary Trunk with Autologous Venous Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021709Q","Bypass Left Atrium to Right Pulmonary Artery with Autologous Venous Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021709R","Bypass Left Atrium to Left Pulmonary Artery with Autologous Venous Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021709S","Bypass Left Atrium to Right Pulmonary Vein with Autologous Venous Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021709T","Bypass Left Atrium to Left Pulmonary Vein with Autologous Venous Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021709U","Bypass Left Atrium to Pulmonary Vein Confluence with Autologous Venous Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02170AP","Bypass Left Atrium to Pulmonary Trunk with Autologous Arterial Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02170AQ","Bypass Left Atrium to Right Pulmonary Artery with Autologous Arterial Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02170AR","Bypass Left Atrium to Left Pulmonary Artery with Autologous Arterial Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02170AS","Bypass Left Atrium to Right Pulmonary Vein with Autologous Arterial Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02170AT","Bypass Left Atrium to Left Pulmonary Vein with Autologous Arterial Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02170AU","Bypass Left Atrium to Pulmonary Vein Confluence with Autologous Arterial Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02170JP","Bypass Left Atrium to Pulmonary Trunk with Synthetic Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02170JQ","Bypass Left Atrium to Right Pulmonary Artery with Synthetic Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02170JR","Bypass Left Atrium to Left Pulmonary Artery with Synthetic Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02170JS","Bypass Left Atrium to Right Pulmonary Vein with Synthetic Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02170JT","Bypass Left Atrium to Left Pulmonary Vein with Synthetic Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02170JU","Bypass Left Atrium to Pulmonary Vein Confluence with Synthetic Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02170KP","Bypass Left Atrium to Pulmonary Trunk with Nonautologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02170KQ","Bypass Left Atrium to Right Pulmonary Artery with Nonautologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02170KR","Bypass Left Atrium to Left Pulmonary Artery with Nonautologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02170KS","Bypass Left Atrium to Right Pulmonary Vein with Nonautologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02170KT","Bypass Left Atrium to Left Pulmonary Vein with Nonautologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02170KU","Bypass Left Atrium to Pulmonary Vein Confluence with Nonautologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02170ZP","Bypass Left Atrium to Pulmonary Trunk, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02170ZQ","Bypass Left Atrium to Right Pulmonary Artery, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02170ZR","Bypass Left Atrium to Left Pulmonary Artery, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02170ZS","Bypass Left Atrium to Right Pulmonary Vein, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02170ZT","Bypass Left Atrium to Left Pulmonary Vein, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02170ZU","Bypass Left Atrium to Pulmonary Vein Confluence, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021K08P","Bypass Right Ventricle to Pulmonary Trunk with Zooplastic Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021K08Q","Bypass Right Ventricle to Right Pulmonary Artery with Zooplastic Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021K08R","Bypass Right Ventricle to Left Pulmonary Artery with Zooplastic Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021K09P","Bypass Right Ventricle to Pulmonary Trunk with Autologous Venous Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021K09Q","Bypass Right Ventricle to Right Pulmonary Artery with Autologous Venous Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021K09R","Bypass Right Ventricle to Left Pulmonary Artery with Autologous Venous Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021K0AP","Bypass Right Ventricle to Pulmonary Trunk with Autologous Arterial Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021K0AQ","Bypass Right Ventricle to Right Pulmonary Artery with Autologous Arterial Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021K0AR","Bypass Right Ventricle to Left Pulmonary Artery with Autologous Arterial Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021K0JP","Bypass Right Ventricle to Pulmonary Trunk with Synthetic Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021K0JQ","Bypass Right Ventricle to Right Pulmonary Artery with Synthetic Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021K0JR","Bypass Right Ventricle to Left Pulmonary Artery with Synthetic Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021K0KP","Bypass Right Ventricle to Pulmonary Trunk with Nonautologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021K0KQ","Bypass Right Ventricle to Right Pulmonary Artery with Nonautologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021K0KR","Bypass Right Ventricle to Left Pulmonary Artery with Nonautologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021K0Z5","Bypass Right Ventricle to Coronary Circulation, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021K0Z8","Bypass Right Ventricle to Right Internal Mammary, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021K0Z9","Bypass Right Ventricle to Left Internal Mammary, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021K0ZC","Bypass Right Ventricle to Thoracic Artery, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021K0ZF","Bypass Right Ventricle to Abdominal Artery, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021K0ZP","Bypass Right Ventricle to Pulmonary Trunk, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021K0ZQ","Bypass Right Ventricle to Right Pulmonary Artery, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021K0ZR","Bypass Right Ventricle to Left Pulmonary Artery, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021K0ZW","Bypass Right Ventricle to Aorta, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021L08P","Bypass Left Ventricle to Pulmonary Trunk with Zooplastic Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021L08Q","Bypass Left Ventricle to Right Pulmonary Artery with Zooplastic Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021L08R","Bypass Left Ventricle to Left Pulmonary Artery with Zooplastic Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021L09P","Bypass Left Ventricle to Pulmonary Trunk with Autologous Venous Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021L09Q","Bypass Left Ventricle to Right Pulmonary Artery with Autologous Venous Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021L09R","Bypass Left Ventricle to Left Pulmonary Artery with Autologous Venous Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021L0AP","Bypass Left Ventricle to Pulmonary Trunk with Autologous Arterial Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021L0AQ","Bypass Left Ventricle to Right Pulmonary Artery with Autologous Arterial Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021L0AR","Bypass Left Ventricle to Left Pulmonary Artery with Autologous Arterial Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021L0JP","Bypass Left Ventricle to Pulmonary Trunk with Synthetic Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021L0JQ","Bypass Left Ventricle to Right Pulmonary Artery with Synthetic Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021L0JR","Bypass Left Ventricle to Left Pulmonary Artery with Synthetic Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021L0KP","Bypass Left Ventricle to Pulmonary Trunk with Nonautologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021L0KQ","Bypass Left Ventricle to Right Pulmonary Artery with Nonautologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021L0KR","Bypass Left Ventricle to Left Pulmonary Artery with Nonautologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021L0Z5","Bypass Left Ventricle to Coronary Circulation, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021L0Z8","Bypass Left Ventricle to Right Internal Mammary, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021L0Z9","Bypass Left Ventricle to Left Internal Mammary, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021L0ZC","Bypass Left Ventricle to Thoracic Artery, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021L0ZF","Bypass Left Ventricle to Abdominal Artery, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021L0ZP","Bypass Left Ventricle to Pulmonary Trunk, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021L0ZQ","Bypass Left Ventricle to Right Pulmonary Artery, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021L0ZR","Bypass Left Ventricle to Left Pulmonary Artery, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"021L0ZW","Bypass Left Ventricle to Aorta, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02540ZZ","Destruction of Coronary Vein, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02550ZZ","Destruction of Atrial Septum, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02560ZZ","Destruction of Right Atrium, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02570ZZ","Destruction of Left Atrium, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02580ZZ","Destruction of Conduction Mechanism, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02590ZZ","Destruction of Chordae Tendineae, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"025D0ZZ","Destruction of Papillary Muscle, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"025F0ZZ","Destruction of Aortic Valve, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"025G0ZZ","Destruction of Mitral Valve, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"025H0ZZ","Destruction of Pulmonary Valve, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"025J0ZZ","Destruction of Tricuspid Valve, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"025K0ZZ","Destruction of Right Ventricle, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"025L0ZZ","Destruction of Left Ventricle, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"025M0ZZ","Destruction of Ventricular Septum, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"025N0ZZ","Destruction of Pericardium, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"027004Z","Dilation of Coronary Artery, One Artery with Drug-eluting Intraluminal Device, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"027005Z","Dilation of Coronary Artery, One Artery with Two Drug-eluting Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"027006Z","Dilation of Coronary Artery, One Artery with Three Drug-eluting Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"027007Z","Dilation of Coronary Artery, One Artery with Four or More Drug-eluting Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02700D6","Dilation of Coronary Artery, One Artery, Bifurcation, with Intraluminal Device, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02700DZ","Dilation of Coronary Artery, One Artery with Intraluminal Device, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02700EZ","Dilation of Coronary Artery, One Artery with Two Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02700F6","Dilation of Coronary Artery, One Artery, Bifurcation, with Three Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02700FZ","Dilation of Coronary Artery, One Artery with Three Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02700G6","Dilation of Coronary Artery, One Artery, Bifurcation, with Four or More Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02700GZ","Dilation of Coronary Artery, One Artery with Four or More Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02700T6","Dilation of Coronary Artery, One Artery, Bifurcation, with Radioactive Intraluminal Device, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02700TZ","Dilation of Coronary Artery, One Artery with Radioactive Intraluminal Device, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02700Z6","Dilation of Coronary Artery, One Artery, Bifurcation, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02700ZZ","Dilation of Coronary Artery, One Artery, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"027104Z","Dilation of Coronary Artery, Two Arteries with Drug-eluting Intraluminal Device, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"027105Z","Dilation of Coronary Artery, Two Arteries with Two Drug-eluting Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"027106Z","Dilation of Coronary Artery, Two Arteries with Three Drug-eluting Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"027107Z","Dilation of Coronary Artery, Two Arteries with Four or More Drug-eluting Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02710D6","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Intraluminal Device, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02710DZ","Dilation of Coronary Artery, Two Arteries with Intraluminal Device, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02710EZ","Dilation of Coronary Artery, Two Arteries with Two Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02710F6","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Three Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02710FZ","Dilation of Coronary Artery, Two Arteries with Three Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02710G6","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Four or More Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02710GZ","Dilation of Coronary Artery, Two Arteries with Four or More Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02710T6","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Radioactive Intraluminal Device, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02710TZ","Dilation of Coronary Artery, Two Arteries with Radioactive Intraluminal Device, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02710Z6","Dilation of Coronary Artery, Two Arteries, Bifurcation, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02710ZZ","Dilation of Coronary Artery, Two Arteries, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"027204Z","Dilation of Coronary Artery, Three Arteries with Drug-eluting Intraluminal Device, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"027205Z","Dilation of Coronary Artery, Three Arteries with Two Drug-eluting Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"027206Z","Dilation of Coronary Artery, Three Arteries with Three Drug-eluting Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"027207Z","Dilation of Coronary Artery, Three Arteries with Four or More Drug-eluting Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02720D6","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Intraluminal Device, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02720DZ","Dilation of Coronary Artery, Three Arteries with Intraluminal Device, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02720EZ","Dilation of Coronary Artery, Three Arteries with Two Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02720F6","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Three Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02720FZ","Dilation of Coronary Artery, Three Arteries with Three Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02720G6","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Four or More Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02720GZ","Dilation of Coronary Artery, Three Arteries with Four or More Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02720T6","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Radioactive Intraluminal Device, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02720TZ","Dilation of Coronary Artery, Three Arteries with Radioactive Intraluminal Device, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02720Z6","Dilation of Coronary Artery, Three Arteries, Bifurcation, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02720ZZ","Dilation of Coronary Artery, Three Arteries, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"027304Z","Dilation of Coronary Artery, Four or More Arteries with Drug-eluting Intraluminal Device, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"027305Z","Dilation of Coronary Artery, Four or More Arteries with Two Drug-eluting Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"027306Z","Dilation of Coronary Artery, Four or More Arteries with Three Drug-eluting Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"027307Z","Dilation of Coronary Artery, Four or More Arteries with Four or More Drug-eluting Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02730D6","Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Intraluminal Device, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02730DZ","Dilation of Coronary Artery, Four or More Arteries with Intraluminal Device, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02730EZ","Dilation of Coronary Artery, Four or More Arteries with Two Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
